# date	infections	deaths	new infections	new deaths
2020-03-04	50	0		
2020-03-05	73	0	23	0
2020-03-06	96	0	23	0
2020-03-07	170	0	74	0
2020-03-08	182	0	12	0
2020-03-09	204	0	22	0
2020-03-10	237	0	33	0
2020-03-11	277	0	40	0
2020-03-12	454	0	177	0
2020-03-13	454	0	0	0
2020-03-14	569	0	115	0
2020-03-15	827	0	258	0
2020-03-16	1105	0	278	0
2020-03-17	1479	2	374	2
2020-03-18	1609	2	130	0
2020-03-19	2155	6	546	4
2020-03-20	2746	10	591	4
2020-03-21	3668	16	922	6
2020-03-22	3807	21	139	5
