# date	infections	deaths	new infections	new deaths
2020-03-04	48	0		
2020-03-05	70	0	22	0
2020-03-06	117	0	47	0
2020-03-07	134	0	17	0
2020-03-08	172	0	38	0
2020-03-09	256	0	84	0
2020-03-10	314	0	58	0
2020-03-11	366	0	52	0
2020-03-12	500	0	134	0
2020-03-13	558	0	58	0
2020-03-14	681	0	123	0
2020-03-15	886	0	205	0
2020-03-16	1067	0	181	0
2020-03-17	1109	4	42	4
2020-03-18	1243	4	134	0
2020-03-19	1692	8	449	4
2020-03-20	2401	12	709	4
2020-03-21	2960	19	559	7
2020-03-22	3650	21	690	2
