# Region	Short	a	b	Cases	Doubling time	factor t+1	cases t+1	factor t+7	cases t+7
Baden-Württemberg	BW	7283	7359.762	0.178	3.885	1.195	8705	3.486	25389
Bayern	BY	7993	8216.103	0.206	3.370	1.228	9818	4.220	33727
Berlin	BE	1656	1702.044	0.158	4.379	1.172	1940	3.028	5014
Brandenburg	BB	477	494.040	0.171	4.055	1.186	565	3.308	1578
Bremen	HB	211	230.616	0.127	5.476	1.135	239	2.425	511
Hamburg	HH	1265	1404.932	0.161	4.304	1.175	1486	3.087	3905
Hessen	HE	2157	2202.175	0.174	3.974	1.191	2568	3.390	7313
Mecklenburg-Vorpommern	MV	244	259.935	0.142	4.894	1.152	281	2.695	657
Niedersachsen	NI	2347	2484.816	0.185	3.747	1.203	2823	3.651	8568
Nordrhein-Westfalen	NW	7924	8218.527	0.157	4.419	1.170	9269	2.998	23755
Rheinland-Pfalz	RP	1816	1895.199	0.166	4.185	1.180	2143	3.188	5789
Saarland	SL	433	454.096	0.200	3.462	1.222	528	4.062	1758
Sachsen	SN	1141	1170.586	0.189	3.659	1.209	1378	3.766	4296
Sachsen-Anhalt	ST	418	430.062	0.177	3.921	1.193	498	3.447	1440
Schleswig-Holstein	SH	675	681.331	0.175	3.961	1.191	804	3.404	2297
Thüringen	TH	468	479.514	0.209	3.318	1.232	576	4.315	2019
Deutschland	DE-total	36508	37631.039	0.176	3.929	1.193	43550	3.438	125502
