# Country	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Code	a	b	Deaths	Doubling time	Factor at t+1	Deaths at t+1	Factor at t+7	Deaths at t+7	Days till deaths/pop of Italy
Austria	2020-03-28	8271	68	929.054	7.638	AT	68	72.048	0.259	2.677	1.296	88	6.125	416	11.9
Belgium	2020-03-28	9134	353	793.172	30.654	BE	353	365.911	0.269	2.580	1.308	461	6.559	2315	6.3
Canada	2020-03-28	5576	61	147.144	1.610	CA	61	61.647	0.203	3.406	1.226	74	4.155	253	22.8
Czechia	2020-03-28	2631	11	247.047	1.033	CZ	11	12.271	0.327	2.121	1.386	15	9.848	108	15.5
Denmark	2020-03-28	2366	65	406.336	11.163	DK	65	66.183	0.232	2.990	1.261	81	5.066	329	11.6
Finland	2020-03-28	1167	9	211.369	1.630	FI	9	9.487	0.393	1.765	1.481	13	15.630	140	11.8
France	2020-03-28	38105	2317	568.545	34.571	FR	2317	2439.333	0.215	3.229	1.239	2871	4.493	10409	7.3
Germany	2020-03-28	57695	433	693.872	5.208	DE	433	436.117	0.251	2.763	1.285	556	5.788	2506	13.8
Greece	2020-03-28	1061	32	98.528	2.972	GR	32	33.874	0.159	4.357	1.172	37	3.046	97	25.3
Hungary	2020-03-28	343	11	35.098	1.126	HU	11	12.770	0.159	4.351	1.173	12	3.050	33	31.4
Iran	2020-03-28	35408	2517	425.660	30.258	IR	2517	2627.117	0.083	8.350	1.087	2734	1.788	4500	20.5
Italy	2020-03-28	92472	10023	1533.086	166.171	IT	10023	10416.270	0.119	5.828	1.126	11288	2.299	23044	0.0
Japan	2020-03-28	1693	52	13.421	0.412	JP	52	53.249	0.059	11.803	1.060	55	1.508	78	102.2
Korea, South	2020-03-28	9478	144	183.295	2.785	KR	144	146.296	0.053	13.066	1.054	151	1.450	208	77.1
Netherlands	2020-03-28	9819	640	563.501	36.729	NL	640	665.337	0.225	3.083	1.252	801	4.824	3087	6.7
Portugal	2020-03-28	5170	100	503.084	9.731	PT	100	102.752	0.305	2.276	1.356	135	8.428	842	9.3
Spain	2020-03-28	73235	5982	1567.093	128.004	ES	5982	6276.014	0.209	3.321	1.232	7370	4.311	25787	1.3
Sweden	2020-03-28	3447	105	333.577	10.161	SE	105	117.116	0.252	2.747	1.287	135	5.848	614	11.1
Switzerland	2020-03-28	14076	264	1642.446	30.805	CH	264	274.310	0.194	3.572	1.214	320	3.890	1026	8.7
Turkey	2020-03-28	7402	108	89.014	1.299	TR	108	116.316	0.264	2.623	1.302	140	6.359	686	18.4
United Kingdom	2020-03-28	17312	1021	256.300	15.116	UK	1021	985.593	0.227	3.047	1.255	1281	4.916	5018	10.5
US	2020-03-28	121478	2026	370.089	6.172	US	2026	2041.045	0.263	2.631	1.301	2636	6.324	12811	12.5
