# Country	Date	Confirmed	Deaths
Afghanistan	2020-03-26	94	4
Albania	2020-03-26	174	6
Algeria	2020-03-26	367	25
Andorra	2020-03-26	224	3
Angola	2020-03-26	4	0
Antigua and Barbuda	2020-03-26	7	0
Argentina	2020-03-26	502	9
Armenia	2020-03-26	290	1
Australia	2020-03-26	2810	13
Austria	2020-03-26	6909	49
Azerbaijan	2020-03-26	122	3
Bahamas	2020-03-26	9	0
Bahrain	2020-03-26	458	4
Bangladesh	2020-03-26	44	5
Barbados	2020-03-26	18	0
Belarus	2020-03-26	86	0
Belgium	2020-03-26	6235	220
Belize	2020-03-26	2	0
Benin	2020-03-26	6	0
Bhutan	2020-03-26	2	0
Bolivia	2020-03-26	43	0
Bosnia and Herzegovina	2020-03-26	191	3
Brazil	2020-03-26	2985	77
Brunei	2020-03-26	114	0
Bulgaria	2020-03-26	264	3
Burkina Faso	2020-03-26	152	7
Cabo Verde	2020-03-26	4	1
Cambodia	2020-03-26	96	0
Cameroon	2020-03-26	75	1
Canada	2020-03-26	4042	38
Central African Republic	2020-03-26	3	0
Chad	2020-03-26	3	0
Chile	2020-03-26	1306	4
China	2020-03-26	81782	3291
Colombia	2020-03-26	491	6
Congo (Brazzaville)	2020-03-26	4	0
Congo (Kinshasa)	2020-03-26	51	3
Costa Rica	2020-03-26	231	2
Cote d'Ivoire	2020-03-26	96	0
Croatia	2020-03-26	495	3
Cuba	2020-03-26	67	2
Cyprus	2020-03-26	146	3
Czechia	2020-03-26	1925	9
Denmark	2020-03-26	2023	41
Diamond Princess	2020-03-26	712	10
Djibouti	2020-03-26	11	0
Dominica	2020-03-26	11	0
Dominican Republic	2020-03-26	488	10
Ecuador	2020-03-26	1403	34
Egypt	2020-03-26	495	24
El Salvador	2020-03-26	13	0
Equatorial Guinea	2020-03-26	12	0
Eritrea	2020-03-26	6	0
Estonia	2020-03-26	538	1
Eswatini	2020-03-26	6	0
Ethiopia	2020-03-26	12	0
Fiji	2020-03-26	5	0
Finland	2020-03-26	958	5
France	2020-03-26	29551	1698
Gabon	2020-03-26	7	1
Gambia	2020-03-26	3	1
Georgia	2020-03-26	79	0
Germany	2020-03-26	43938	267
Ghana	2020-03-26	132	4
Greece	2020-03-26	892	26
Grenada	2020-03-26	7	0
Guatemala	2020-03-26	25	1
Guinea	2020-03-26	4	0
Guinea-Bissau	2020-03-26	2	0
Guyana	2020-03-26	5	1
Haiti	2020-03-26	8	0
Holy See	2020-03-26	4	0
Honduras	2020-03-26	52	1
Hungary	2020-03-26	261	10
Iceland	2020-03-26	802	2
India	2020-03-26	727	20
Indonesia	2020-03-26	893	78
Iran	2020-03-26	29406	2234
Iraq	2020-03-26	382	36
Ireland	2020-03-26	1819	19
Israel	2020-03-26	2693	8
Italy	2020-03-26	80589	8215
Jamaica	2020-03-26	26	1
Japan	2020-03-26	1387	47
Jordan	2020-03-26	212	0
Kazakhstan	2020-03-26	111	1
Kenya	2020-03-26	31	1
Korea, South	2020-03-26	9241	131
Kosovo	2020-03-26	71	1
Kuwait	2020-03-26	208	0
Kyrgyzstan	2020-03-26	44	0
Laos	2020-03-26	6	0
Latvia	2020-03-26	244	0
Lebanon	2020-03-26	368	6
Liberia	2020-03-26	3	0
Libya	2020-03-26	1	0
Liechtenstein	2020-03-26	56	0
Lithuania	2020-03-26	299	4
Luxembourg	2020-03-26	1453	9
Madagascar	2020-03-26	23	0
Malaysia	2020-03-26	2031	23
Maldives	2020-03-26	13	0
Mali	2020-03-26	4	0
Malta	2020-03-26	134	0
Mauritania	2020-03-26	3	0
Mauritius	2020-03-26	81	2
Mexico	2020-03-26	475	6
Moldova	2020-03-26	177	1
Monaco	2020-03-26	33	0
Mongolia	2020-03-26	11	0
Montenegro	2020-03-26	69	1
Morocco	2020-03-26	275	11
Mozambique	2020-03-26	7	0
Namibia	2020-03-26	8	0
Nepal	2020-03-26	3	0
Netherlands	2020-03-26	7468	435
New Zealand	2020-03-26	283	0
Nicaragua	2020-03-26	2	0
Niger	2020-03-26	10	1
Nigeria	2020-03-26	65	1
North Macedonia	2020-03-26	201	3
Norway	2020-03-26	3369	14
Oman	2020-03-26	109	0
Pakistan	2020-03-26	1201	9
Panama	2020-03-26	558	8
Papua New Guinea	2020-03-26	1	0
Paraguay	2020-03-26	41	3
Peru	2020-03-26	580	9
Philippines	2020-03-26	707	45
Poland	2020-03-26	1221	16
Portugal	2020-03-26	3544	60
Qatar	2020-03-26	549	0
Romania	2020-03-26	1029	23
Russia	2020-03-26	840	3
Rwanda	2020-03-26	50	0
Saint Kitts and Nevis	2020-03-26	2	0
Saint Lucia	2020-03-26	3	0
Saint Vincent and the Grenadines	2020-03-26	1	0
San Marino	2020-03-26	208	21
Saudi Arabia	2020-03-26	1012	3
Senegal	2020-03-26	105	0
Serbia	2020-03-26	384	1
Seychelles	2020-03-26	7	0
Singapore	2020-03-26	683	2
Slovakia	2020-03-26	226	0
Slovenia	2020-03-26	562	6
Somalia	2020-03-26	2	0
South Africa	2020-03-26	927	0
Spain	2020-03-26	57786	4365
Sri Lanka	2020-03-26	106	0
Sudan	2020-03-26	3	1
Suriname	2020-03-26	8	0
Sweden	2020-03-26	2840	77
Switzerland	2020-03-26	11811	191
Syria	2020-03-26	5	0
Taiwan*	2020-03-26	252	2
Tanzania	2020-03-26	13	0
Thailand	2020-03-26	1045	4
Timor-Leste	2020-03-26	1	0
Togo	2020-03-26	23	0
Trinidad and Tobago	2020-03-26	65	1
Tunisia	2020-03-26	197	6
Turkey	2020-03-26	3629	75
Uganda	2020-03-26	14	0
Ukraine	2020-03-26	196	5
United Arab Emirates	2020-03-26	333	2
United Kingdom	2020-03-26	11812	580
Uruguay	2020-03-26	217	0
US	2020-03-26	83836	1209
Uzbekistan	2020-03-26	75	0
Venezuela	2020-03-26	107	0
Vietnam	2020-03-26	153	0
West Bank and Gaza	2020-03-26	84	1
Zambia	2020-03-26	16	0
Zimbabwe	2020-03-26	3	1
