# Country	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million
Austria	2020-03-25	5588	30	627.682	3.370
Belgium	2020-03-25	4937	178	428.716	15.457
Canada	2020-03-25	3251	30	85.790	0.792
Czechia	2020-03-25	1654	6	155.308	0.563
France	2020-03-25	25600	1333	381.964	19.889
Germany	2020-03-25	37323	206	448.867	2.477
Hungary	2020-03-25	226	10	23.126	1.023
Iran	2020-03-25	27017	2077	324.787	24.969
Italy	2020-03-25	74386	7503	1233.240	124.392
Japan	2020-03-25	1307	45	10.361	0.357
Korea, South	2020-03-25	9137	126	176.700	2.437
Netherlands	2020-03-25	6438	357	369.470	20.488
Portugal	2020-03-25	2995	43	291.438	4.184
Spain	2020-03-25	49515	3647	1059.529	78.039
Sweden	2020-03-25	2526	62	244.449	6.000
Switzerland	2020-03-25	10897	153	1271.507	17.853
United Kingdom	2020-03-25	9640	466	142.718	6.899
US	2020-03-25	65778	942	200.396	2.870
