# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths
-63	2020-01-22	0	0	0.000	0.000				
-62	2020-01-23	0	0	0.000	0.000				
-61	2020-01-24	0	0	0.000	0.000				
-60	2020-01-25	0	0	0.000	0.000				
-59	2020-01-26	0	0	0.000	0.000				
-58	2020-01-27	0	0	0.000	0.000				
-57	2020-01-28	0	0	0.000	0.000				
-56	2020-01-29	0	0	0.000	0.000				
-55	2020-01-30	0	0	0.000	0.000				
-54	2020-01-31	0	0	0.000	0.000				
-53	2020-02-01	0	0	0.000	0.000				
-52	2020-02-02	0	0	0.000	0.000				
-51	2020-02-03	0	0	0.000	0.000				
-50	2020-02-04	1	0	0.087	0.000				
-49	2020-02-05	1	0	0.087	0.000				
-48	2020-02-06	1	0	0.087	0.000				
-47	2020-02-07	1	0	0.087	0.000				
-46	2020-02-08	1	0	0.087	0.000				
-45	2020-02-09	1	0	0.087	0.000				
-44	2020-02-10	1	0	0.087	0.000				
-43	2020-02-11	1	0	0.087	0.000				
-42	2020-02-12	1	0	0.087	0.000				
-41	2020-02-13	1	0	0.087	0.000				
-40	2020-02-14	1	0	0.087	0.000				
-39	2020-02-15	1	0	0.087	0.000				
-38	2020-02-16	1	0	0.087	0.000				
-37	2020-02-17	1	0	0.087	0.000				
-36	2020-02-18	1	0	0.087	0.000				
-35	2020-02-19	1	0	0.087	0.000				
-34	2020-02-20	1	0	0.087	0.000				
-33	2020-02-21	1	0	0.087	0.000				
-32	2020-02-22	1	0	0.087	0.000				
-31	2020-02-23	1	0	0.087	0.000				
-30	2020-02-24	1	0	0.087	0.000				
-29	2020-02-25	1	0	0.087	0.000				
-28	2020-02-26	1	0	0.087	0.000				
-27	2020-02-27	1	0	0.087	0.000				
-26	2020-02-28	1	0	0.087	0.000				
-25	2020-02-29	1	0	0.087	0.000				
-24	2020-03-01	2	0	0.174	0.000				
-23	2020-03-02	8	0	0.695	0.000				
-22	2020-03-03	13	0	1.129	0.000				
-21	2020-03-04	23	0	1.997	0.000				
-20	2020-03-05	50	0	4.342	0.000				
-19	2020-03-06	109	0	9.465	0.000				
-18	2020-03-07	169	0	14.675	0.000				
-17	2020-03-08	200	0	17.367	0.000				
-16	2020-03-09	239	0	20.754	0.000				
-15	2020-03-10	267	0	23.186	0.000				
-14	2020-03-11	314	3	27.267	0.261				0
-13	2020-03-12	314	3	27.267	0.261	0	0	1.000	1
-12	2020-03-13	559	3	48.542	0.261	245	0	1.000	2
-11	2020-03-14	689	4	59.831	0.347	130	1	1.333	3
-10	2020-03-15	886	4	76.938	0.347	197	0	1.000	4
-9	2020-03-16	1058	5	91.874	0.434	172	1	1.250	5
-8	2020-03-17	1243	10	107.939	0.868	185	5	2.000	6
-7	2020-03-18	1486	14	129.040	1.216	243	4	1.400	7
-6	2020-03-19	1795	21	155.873	1.824	309	7	1.500	8
-5	2020-03-20	2257	37	195.992	3.213	462	16	1.762	9
-4	2020-03-21	2815	67	244.447	5.818	558	30	1.811	10
-3	2020-03-22	3401	75	295.334	6.513	586	8	1.119	11
-2	2020-03-23	3743	88	325.032	7.642	342	13	1.173	12
-1	2020-03-24	4269	122	370.708	10.594	526	34	1.386	13
0	2020-03-25	4937	178	428.716	15.457	668	56	1.459	14
