#	Date	Confirmed	Deaths	Deaths	Confirmed per Million	Deaths per Million	Recovered per Million	Confirmed Change	Deaths Change	Recovered Change	Confirmed Change Factor	Deaths Change Factor	Recovered Change Factor
-29	23.02.2020	9	0	3	0.237	0.000	0.079						
-28	24.02.2020	10	0	3	0.264	0.000	0.079						
-27	25.02.2020	11	0	3	0.290	0.000	0.079						
-26	26.02.2020	11	0	3	0.290	0.000	0.079						
-25	27.02.2020	13	0	6	0.343	0.000	0.158						
-24	28.02.2020	14	0	6	0.369	0.000	0.158						
-23	29.02.2020	20	0	6	0.528	0.000	0.158						
-22	01.03.2020	24	0	6	0.633	0.000	0.158						
-21	02.03.2020	27	0	6	0.712	0.000	0.158						
-20	03.03.2020	30	0	6	0.792	0.000	0.158						
-19	04.03.2020	33	0	6	0.871	0.000	0.158						
-18	05.03.2020	37	0	6	0.976	0.000	0.158						
-17	06.03.2020	49	0	6	1.293	0.000	0.158						
-16	07.03.2020	54	0	8	1.425	0.000	0.211						
-15	08.03.2020	64	0	8	1.689	0.000	0.211						
-14	09.03.2020	77	1	8	2.032	0.026	0.211						
-13	10.03.2020	79	1	8	2.085	0.026	0.211	2	0	0		1.000	1.000
-12	11.03.2020	108	1	8	2.850	0.026	0.211	29	0	0		1.000	1.000
-11	12.03.2020	117	1	8	3.087	0.026	0.211	9	0	0		1.000	1.000
-10	13.03.2020	193	1	8	5.093	0.026	0.211	76	0	0		1.000	1.000
-9	14.03.2020	198	1	8	5.225	0.026	0.211	5	0	0		1.000	1.000
-8	15.03.2020	252	1	8	6.650	0.026	0.211	54	0	0		1.000	1.000
-7	16.03.2020	415	4	9	10.951	0.106	0.237	163	3	1		4.000	1.125
-6	17.03.2020	478	5	9	12.614	0.132	0.237	63	1	0		1.250	1.000
-5	18.03.2020	657	8	9	17.337	0.211	0.237	179	3	0		1.600	1.000
-4	19.03.2020	800	9	9	21.111	0.237	0.237	143	1	0		1.125	1.000
-3	20.03.2020	943	12	9	24.885	0.317	0.237	143	3	0		1.333	1.000
-2	21.03.2020	1278	19	10	33.725	0.501	0.264	335	7	1		1.583	1.111
-1	22.03.2020	1465	21	10	38.660	0.554	0.264	187	2	0		1.105	1.000
0	23.03.2020	1470	21	10	38.792	0.554	0.264	5	0	0		1.000	1.000
