# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths	Deaths Doublication Time
-68	2020-01-22	0	0	0.0	0.0					
-67	2020-01-23	0	0	0.0	0.0					
-66	2020-01-24	0	0	0.0	0.0					
-65	2020-01-25	0	0	0.0	0.0					
-64	2020-01-26	0	0	0.0	0.0					
-63	2020-01-27	0	0	0.0	0.0					
-62	2020-01-28	0	0	0.0	0.0					
-61	2020-01-29	0	0	0.0	0.0					
-60	2020-01-30	0	0	0.0	0.0					
-59	2020-01-31	0	0	0.0	0.0					
-58	2020-02-01	0	0	0.0	0.0					
-57	2020-02-02	0	0	0.0	0.0					
-56	2020-02-03	0	0	0.0	0.0					
-55	2020-02-04	0	0	0.0	0.0					
-54	2020-02-05	0	0	0.0	0.0					
-53	2020-02-06	0	0	0.0	0.0					
-52	2020-02-07	0	0	0.0	0.0					
-51	2020-02-08	0	0	0.0	0.0					
-50	2020-02-09	0	0	0.0	0.0					
-49	2020-02-10	0	0	0.0	0.0					
-48	2020-02-11	0	0	0.0	0.0					
-47	2020-02-12	0	0	0.0	0.0					
-46	2020-02-13	0	0	0.0	0.0					
-45	2020-02-14	0	0	0.0	0.0					
-44	2020-02-15	0	0	0.0	0.0					
-43	2020-02-16	0	0	0.0	0.0					
-42	2020-02-17	0	0	0.0	0.0					
-41	2020-02-18	0	0	0.0	0.0					
-40	2020-02-19	0	0	0.0	0.0					
-39	2020-02-20	0	0	0.0	0.0					
-38	2020-02-21	0	0	0.0	0.0					
-37	2020-02-22	0	0	0.0	0.0					
-36	2020-02-23	0	0	0.0	0.0					
-35	2020-02-24	0	0	0.0	0.0					
-34	2020-02-25	1	0	0.117	0.0					
-33	2020-02-26	1	0	0.117	0.0					
-32	2020-02-27	8	0	0.933	0.0					
-31	2020-02-28	8	0	0.933	0.0					
-30	2020-02-29	18	0	2.1	0.0					
-29	2020-03-01	27	0	3.15	0.0	9				
-28	2020-03-02	42	0	4.901	0.0	15				
-27	2020-03-03	56	0	6.534	0.0	14				5.0
-26	2020-03-04	90	0	10.502	0.0	34				5.0
-25	2020-03-05	114	1	13.302	0.117	24				
-24	2020-03-06	214	1	24.97	0.117	100	0	1.0		1.0
-23	2020-03-07	268	1	31.271	0.117	54	0	1.0		1.6
-22	2020-03-08	337	2	39.323	0.233	69	1	2.0	0	1.5
-21	2020-03-09	374	2	43.64	0.233	37	0	1.0	1	2.1
-20	2020-03-10	491	3	57.292	0.35	117	1	1.5	2	2.2
-19	2020-03-11	652	4	76.078	0.467	161	1	1.333	3	2.3
-18	2020-03-12	652	4	76.078	0.467	0	0	1.0	4	3.1
-17	2020-03-13	1139	11	132.903	1.284	487	7	2.75	5	1.5
-16	2020-03-14	1359	13	158.574	1.517	220	2	1.182	6	1.8
-15	2020-03-15	2200	14	256.705	1.634	841	1	1.077	7	2.3
-14	2020-03-16	2200	14	256.705	1.634	0	0	1.0	8	3.0
-13	2020-03-17	2700	27	315.047	3.15	500	13	1.929	9	2.4
-12	2020-03-18	3028	28	353.32	3.267	328	1	1.037	10	2.8
-11	2020-03-19	4075	41	475.488	4.784	1047	13	1.464	11	2.6
-10	2020-03-20	5294	54	617.726	6.301	1219	13	1.317	12	2.6
-9	2020-03-21	6575	75	767.198	8.751	1281	21	1.389	13	2.4
-8	2020-03-22	7474	98	872.097	11.435	899	23	1.307	14	2.4
-7	2020-03-23	8795	120	1026.237	14.002	1321	22	1.224	15	2.5
-6	2020-03-24	9877	122	1152.489	14.235	1082	2	1.017	16	3.2
-5	2020-03-25	10897	153	1271.507	17.853	1020	31	1.254	17	3.5
-4	2020-03-26	11811	191	1378.156	22.287	914	38	1.248	18	3.6
-3	2020-03-27	12928	231	1508.492	26.954	1117	40	1.209	19	3.7
-2	2020-03-28	14076	264	1642.446	30.805	1148	33	1.143	20	4.0
-1	2020-03-29	14829	300	1730.309	35.005	753	36	1.136	21	4.2
0	2020-03-30	15922	359	1857.845	41.89	1093	59	1.197	22	4.2
