# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths	Deaths Doublication Time	New Confirmed per Million	New Deaths per Million
-70	2020-01-22	0	0	0.0	0.0							
-69	2020-01-23	0	0	0.0	0.0							
-68	2020-01-24	0	0	0.0	0.0							
-67	2020-01-25	0	0	0.0	0.0							
-66	2020-01-26	0	0	0.0	0.0							
-65	2020-01-27	0	0	0.0	0.0							
-64	2020-01-28	0	0	0.0	0.0							
-63	2020-01-29	0	0	0.0	0.0							
-62	2020-01-30	0	0	0.0	0.0							
-61	2020-01-31	0	0	0.0	0.0							
-60	2020-02-01	0	0	0.0	0.0							
-59	2020-02-02	0	0	0.0	0.0							
-58	2020-02-03	0	0	0.0	0.0							
-57	2020-02-04	0	0	0.0	0.0							
-56	2020-02-05	0	0	0.0	0.0							
-55	2020-02-06	0	0	0.0	0.0							
-54	2020-02-07	0	0	0.0	0.0							
-53	2020-02-08	0	0	0.0	0.0							
-52	2020-02-09	0	0	0.0	0.0							
-51	2020-02-10	0	0	0.0	0.0							
-50	2020-02-11	0	0	0.0	0.0							
-49	2020-02-12	0	0	0.0	0.0							
-48	2020-02-13	0	0	0.0	0.0							
-47	2020-02-14	0	0	0.0	0.0							
-46	2020-02-15	0	0	0.0	0.0							
-45	2020-02-16	0	0	0.0	0.0							
-44	2020-02-17	0	0	0.0	0.0							
-43	2020-02-18	0	0	0.0	0.0							
-42	2020-02-19	0	0	0.0	0.0							
-41	2020-02-20	0	0	0.0	0.0							
-40	2020-02-21	0	0	0.0	0.0							
-39	2020-02-22	0	0	0.0	0.0							
-38	2020-02-23	0	0	0.0	0.0							
-37	2020-02-24	0	0	0.0	0.0							
-36	2020-02-25	0	0	0.0	0.0							
-35	2020-02-26	0	0	0.0	0.0							
-34	2020-02-27	1	0	0.172	0.0							
-33	2020-02-28	1	0	0.172	0.0							
-32	2020-02-29	3	0	0.515	0.0							
-31	2020-03-01	4	0	0.687	0.0							
-30	2020-03-02	4	0	0.687	0.0							
-29	2020-03-03	6	0	1.03	0.0							
-28	2020-03-04	11	0	1.889	0.0							
-27	2020-03-05	11	0	1.889	0.0	0				5.0	0.0	
-26	2020-03-06	24	0	4.122	0.0	13				5.0	2.233	
-25	2020-03-07	24	0	4.122	0.0	0				5.0	0.0	
-24	2020-03-08	37	0	6.354	0.0	13				5.0	2.233	
-23	2020-03-09	92	0	15.8	0.0	55				5.0	9.446	
-22	2020-03-10	264	0	45.339	0.0	172				5.0	29.539	
-21	2020-03-11	444	0	76.252	0.0	180				5.0	30.913	
-20	2020-03-12	617	0	105.963	0.0	173				5.0	29.711	
-19	2020-03-13	804	0	138.079	0.0	187				5.0	32.115	
-18	2020-03-14	836	1	143.574	0.172	32					5.496	
-17	2020-03-15	875	2	150.272	0.343	39	1	2.0	0	0.7	6.698	0.172
-16	2020-03-16	933	3	160.233	0.515	58	1	1.5	1	1.1	9.961	0.172
-15	2020-03-17	1025	4	176.033	0.687	92	1	1.333	2	1.4	15.8	0.172
-14	2020-03-18	1116	4	191.662	0.687	91	0	1.0	3	2.0	15.628	0.0
-13	2020-03-19	1225	6	210.381	1.03	109	2	1.5	4	2.2	18.72	0.343
-12	2020-03-20	1337	9	229.616	1.546	112	3	1.5	5	2.1	19.235	0.515
-11	2020-03-21	1420	13	243.87	2.233	83	4	1.444	6	2.1	14.254	0.687
-10	2020-03-22	1514	13	260.014	2.233	94	0	1.0	7	2.6	16.144	0.0
-9	2020-03-23	1572	24	269.975	4.122	58	11	1.846	8	2.1	9.961	1.889
-8	2020-03-24	1718	32	295.049	5.496	146	8	1.333	9	2.1	25.074	1.374
-7	2020-03-25	1862	34	319.779	5.839	144	2	1.062	10	2.5	24.731	0.343
-6	2020-03-26	2023	41	347.43	7.041	161	7	1.206	11	2.9	27.65	1.202
-5	2020-03-27	2200	52	377.828	8.93	177	11	1.268	12	3.1	30.398	1.889
-4	2020-03-28	2366	65	406.336	11.163	166	13	1.25	13	3.2	28.509	2.233
-3	2020-03-29	2564	72	440.341	12.365	198	7	1.108	14	3.5	34.004	1.202
-2	2020-03-30	2755	77	473.143	13.224	191	5	1.069	15	4.3	32.802	0.859
-1	2020-03-31	3039	90	521.917	15.457	284	13	1.169	16	4.7	48.774	2.233
0	2020-04-01	3290	104	565.024	17.861	251	14	1.156	17	4.8	43.107	2.404
