# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths	Deaths Doublication Time
-68	2020-01-22	0	0	0.0	0.0					
-67	2020-01-23	0	0	0.0	0.0					
-66	2020-01-24	0	0	0.0	0.0					
-65	2020-01-25	0	0	0.0	0.0					
-64	2020-01-26	0	0	0.0	0.0					
-63	2020-01-27	0	0	0.0	0.0					
-62	2020-01-28	0	0	0.0	0.0					
-61	2020-01-29	0	0	0.0	0.0					
-60	2020-01-30	0	0	0.0	0.0					
-59	2020-01-31	0	0	0.0	0.0					
-58	2020-02-01	1	0	0.021	0.0					
-57	2020-02-02	1	0	0.021	0.0					
-56	2020-02-03	1	0	0.021	0.0					
-55	2020-02-04	1	0	0.021	0.0					
-54	2020-02-05	1	0	0.021	0.0					
-53	2020-02-06	1	0	0.021	0.0					
-52	2020-02-07	1	0	0.021	0.0					
-51	2020-02-08	1	0	0.021	0.0					
-50	2020-02-09	2	0	0.043	0.0					
-49	2020-02-10	2	0	0.043	0.0					
-48	2020-02-11	2	0	0.043	0.0					
-47	2020-02-12	2	0	0.043	0.0					
-46	2020-02-13	2	0	0.043	0.0					
-45	2020-02-14	2	0	0.043	0.0					
-44	2020-02-15	2	0	0.043	0.0					
-43	2020-02-16	2	0	0.043	0.0					
-42	2020-02-17	2	0	0.043	0.0					
-41	2020-02-18	2	0	0.043	0.0					
-40	2020-02-19	2	0	0.043	0.0					
-39	2020-02-20	2	0	0.043	0.0					
-38	2020-02-21	2	0	0.043	0.0					
-37	2020-02-22	2	0	0.043	0.0					
-36	2020-02-23	2	0	0.043	0.0					
-35	2020-02-24	2	0	0.043	0.0					
-34	2020-02-25	6	0	0.128	0.0					
-33	2020-02-26	13	0	0.278	0.0					
-32	2020-02-27	15	0	0.321	0.0	2				
-31	2020-02-28	32	0	0.685	0.0	17				
-30	2020-02-29	45	0	0.963	0.0	13				
-29	2020-03-01	84	0	1.797	0.0	39				
-28	2020-03-02	120	0	2.568	0.0	36				
-27	2020-03-03	165	1	3.531	0.021	45				
-26	2020-03-04	222	2	4.75	0.043	57	1	2.0	0	
-25	2020-03-05	259	3	5.542	0.064	37	1	1.5	1	
-24	2020-03-06	400	5	8.559	0.107	141	2	1.667	2	
-23	2020-03-07	500	10	10.699	0.214	100	5	2.0	3	
-22	2020-03-08	673	17	14.401	0.364	173	7	1.7	4	
-21	2020-03-09	1073	28	22.96	0.599	400	11	1.647	5	
-20	2020-03-10	1695	35	36.27	0.749	622	7	1.25	6	
-19	2020-03-11	2277	54	48.724	1.155	582	19	1.543	7	
-18	2020-03-12	2277	55	48.724	1.177	0	1	1.019	8	
-17	2020-03-13	5232	133	111.955	2.846	2955	78	2.418	9	
-16	2020-03-14	6391	195	136.756	4.173	1159	62	1.466	10	
-15	2020-03-15	7798	289	166.863	6.184	1407	94	1.482	11	
-14	2020-03-16	9942	342	212.74	7.318	2144	53	1.183	12	
-13	2020-03-17	11748	533	251.385	11.405	1806	191	1.558	13	1.9
-12	2020-03-18	13910	623	297.648	13.331	2162	90	1.169	14	2.2
-11	2020-03-19	17963	830	384.375	17.76	4053	207	1.332	15	2.4
-10	2020-03-20	20410	1043	436.736	22.318	2447	213	1.257	16	2.6
-9	2020-03-21	25374	1375	542.956	29.422	4964	332	1.318	17	2.7
-8	2020-03-22	28768	1772	615.582	37.918	3394	397	1.289	18	2.7
-7	2020-03-23	35136	2311	751.845	49.451	6368	539	1.304	19	2.7
-6	2020-03-24	39885	2808	853.465	60.086	4749	497	1.215	20	2.8
-5	2020-03-25	49515	3647	1059.529	78.039	9630	839	1.299	21	2.8
-4	2020-03-26	57786	4365	1236.513	93.403	8271	718	1.197	22	3.0
-3	2020-03-27	65719	5138	1406.264	109.944	7933	773	1.177	23	3.2
-2	2020-03-28	73235	5982	1567.093	128.004	7516	844	1.164	24	3.5
-1	2020-03-29	80110	6803	1714.205	145.572	6875	821	1.137	25	3.9
0	2020-03-30	87956	7716	1882.095	165.108	7846	913	1.134	26	4.3
