# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths
-65	2020-01-22	0	0	0.000	0.000				
-64	2020-01-23	0	0	0.000	0.000				
-63	2020-01-24	0	0	0.000	0.000				
-62	2020-01-25	0	0	0.000	0.000				
-61	2020-01-26	0	0	0.000	0.000				
-60	2020-01-27	0	0	0.000	0.000				
-59	2020-01-28	0	0	0.000	0.000				
-58	2020-01-29	1	0	0.181	0.000				
-57	2020-01-30	1	0	0.181	0.000				
-56	2020-01-31	1	0	0.181	0.000				
-55	2020-02-01	1	0	0.181	0.000				
-54	2020-02-02	1	0	0.181	0.000				
-53	2020-02-03	1	0	0.181	0.000				
-52	2020-02-04	1	0	0.181	0.000				
-51	2020-02-05	1	0	0.181	0.000				
-50	2020-02-06	1	0	0.181	0.000				
-49	2020-02-07	1	0	0.181	0.000				
-48	2020-02-08	1	0	0.181	0.000				
-47	2020-02-09	1	0	0.181	0.000				
-46	2020-02-10	1	0	0.181	0.000				
-45	2020-02-11	1	0	0.181	0.000				
-44	2020-02-12	1	0	0.181	0.000				
-43	2020-02-13	1	0	0.181	0.000				
-42	2020-02-14	1	0	0.181	0.000				
-41	2020-02-15	1	0	0.181	0.000				
-40	2020-02-16	1	0	0.181	0.000				
-39	2020-02-17	1	0	0.181	0.000				
-38	2020-02-18	1	0	0.181	0.000				
-37	2020-02-19	1	0	0.181	0.000				
-36	2020-02-20	1	0	0.181	0.000				
-35	2020-02-21	1	0	0.181	0.000				
-34	2020-02-22	1	0	0.181	0.000				
-33	2020-02-23	1	0	0.181	0.000				
-32	2020-02-24	1	0	0.181	0.000				
-31	2020-02-25	1	0	0.181	0.000				
-30	2020-02-26	2	0	0.362	0.000				
-29	2020-02-27	2	0	0.362	0.000				
-28	2020-02-28	2	0	0.362	0.000				
-27	2020-02-29	3	0	0.543	0.000				
-26	2020-03-01	6	0	1.087	0.000				
-25	2020-03-02	6	0	1.087	0.000				
-24	2020-03-03	6	0	1.087	0.000				
-23	2020-03-04	6	0	1.087	0.000				
-22	2020-03-05	12	0	2.173	0.000				
-21	2020-03-06	15	0	2.717	0.000				
-20	2020-03-07	15	0	2.717	0.000				
-19	2020-03-08	23	0	4.166	0.000				
-18	2020-03-09	30	0	5.434	0.000				
-17	2020-03-10	40	0	7.245	0.000				
-16	2020-03-11	59	0	10.686	0.000				
-15	2020-03-12	59	0	10.686	0.000				
-14	2020-03-13	155	0	28.074	0.000				
-13	2020-03-14	225	0	40.752	0.000				
-12	2020-03-15	244	0	44.194	0.000				
-11	2020-03-16	277	0	50.171	0.000				
-10	2020-03-17	321	0	58.140	0.000				
-9	2020-03-18	336	0	60.857	0.000				
-8	2020-03-19	400	0	72.449	0.000				
-7	2020-03-20	450	0	81.505	0.000				
-6	2020-03-21	523	1	94.727	0.181				
-5	2020-03-22	626	1	113.382	0.181	103	0	1.000	
-4	2020-03-23	700	1	126.785	0.181	74	0	1.000	
-3	2020-03-24	792	1	143.448	0.181	92	0	1.000	
-2	2020-03-25	880	3	159.387	0.543	88	2	3.000	0
-1	2020-03-26	958	5	173.514	0.906	78	2	1.667	1
0	2020-03-27	1041	7	188.547	1.268	83	2	1.400	2
