# Day	Date	Confirmed	Deaths	Deaths	Confirmed per Million	Deaths per Million	Recovered per Million	Confirmed Change	Deaths Change	Recovered Change	Confirmed Change Factor	Deaths Change Factor	Recovered Change Factor	Days since 2 Deaths
-61	22.01.2020	0	0	0	0.000	0.000	0.000							
-60	23.01.2020	0	0	0	0.000	0.000	0.000							
-59	24.01.2020	2	0	0	0.030	0.000	0.000							
-58	25.01.2020	3	0	0	0.045	0.000	0.000							
-57	26.01.2020	3	0	0	0.045	0.000	0.000							
-56	27.01.2020	3	0	0	0.045	0.000	0.000							
-55	28.01.2020	4	0	0	0.060	0.000	0.000							
-54	29.01.2020	5	0	0	0.075	0.000	0.000							
-53	30.01.2020	5	0	0	0.075	0.000	0.000							
-52	31.01.2020	5	0	0	0.075	0.000	0.000							
-51	01.02.2020	6	0	0	0.090	0.000	0.000							
-50	02.02.2020	6	0	0	0.090	0.000	0.000							
-49	03.02.2020	6	0	0	0.090	0.000	0.000							
-48	04.02.2020	6	0	0	0.090	0.000	0.000							
-47	05.02.2020	6	0	0	0.090	0.000	0.000							
-46	06.02.2020	6	0	0	0.090	0.000	0.000							
-45	07.02.2020	6	0	0	0.090	0.000	0.000							
-44	08.02.2020	11	0	0	0.164	0.000	0.000							
-43	09.02.2020	11	0	0	0.164	0.000	0.000							
-42	10.02.2020	11	0	0	0.164	0.000	0.000							
-41	11.02.2020	11	0	0	0.164	0.000	0.000							
-40	12.02.2020	11	0	2	0.164	0.000	0.030							
-39	13.02.2020	11	0	2	0.164	0.000	0.030							
-38	14.02.2020	11	0	2	0.164	0.000	0.030							
-37	15.02.2020	12	1	4	0.179	0.015	0.060							
-36	16.02.2020	12	1	4	0.179	0.015	0.060	0	0	0		1.000	1.000	
-35	17.02.2020	12	1	4	0.179	0.015	0.060	0	0	0		1.000	1.000	
-34	18.02.2020	12	1	4	0.179	0.015	0.060	0	0	0		1.000	1.000	
-33	19.02.2020	12	1	4	0.179	0.015	0.060	0	0	0		1.000	1.000	
-32	20.02.2020	12	1	4	0.179	0.015	0.060	0	0	0		1.000	1.000	
-31	21.02.2020	12	1	4	0.179	0.015	0.060	0	0	0		1.000	1.000	
-30	22.02.2020	12	1	4	0.179	0.015	0.060	0	0	0		1.000	1.000	
-29	23.02.2020	12	1	4	0.179	0.015	0.060	0	0	0		1.000	1.000	
-28	24.02.2020	12	1	4	0.179	0.015	0.060	0	0	0		1.000	1.000	
-27	25.02.2020	14	1	11	0.209	0.015	0.164	2	0	7		1.000	2.750	
-26	26.02.2020	18	2	11	0.269	0.030	0.164	4	1	0		2.000	1.000	0
-25	27.02.2020	38	2	11	0.567	0.030	0.164	20	0	0		1.000	1.000	1
-24	28.02.2020	57	2	11	0.850	0.030	0.164	19	0	0		1.000	1.000	2
-23	29.02.2020	100	2	12	1.492	0.030	0.179	43	0	1		1.000	1.091	3
-22	01.03.2020	130	2	12	1.940	0.030	0.179	30	0	0		1.000	1.000	4
-21	02.03.2020	191	3	12	2.850	0.045	0.179	61	1	0		1.500	1.000	5
-20	03.03.2020	204	4	12	3.044	0.060	0.179	13	1	0		1.333	1.000	6
-19	04.03.2020	288	4	12	4.297	0.060	0.179	84	0	0		1.000	1.000	7
-18	05.03.2020	380	6	12	5.670	0.090	0.179	92	2	0		1.500	1.000	8
-17	06.03.2020	656	9	12	9.788	0.134	0.179	276	3	0		1.500	1.000	9
-16	07.03.2020	959	11	12	14.309	0.164	0.179	303	2	0		1.222	1.000	10
-15	08.03.2020	1136	19	12	16.950	0.283	0.179	177	8	0		1.727	1.000	11
-14	09.03.2020	1219	19	12	18.188	0.283	0.179	83	0	0		1.000	1.000	12
-13	10.03.2020	1794	33	12	26.767	0.492	0.179	575	14	0		1.737	1.000	13
-12	11.03.2020	2293	48	12	34.213	0.716	0.179	499	15	0		1.455	1.000	14
-11	12.03.2020	2293	48	12	34.213	0.716	0.179	0	0	0		1.000	1.000	15
-10	13.03.2020	3681	79	12	54.922	1.179	0.179	1388	31	0		1.646	1.000	16
-9	14.03.2020	4496	91	12	67.082	1.358	0.179	815	12	0		1.152	1.000	17
-8	15.03.2020	4532	91	12	67.620	1.358	0.179	36	0	0		1.000	1.000	18
-7	16.03.2020	6683	149	12	99.714	2.223	0.179	2151	58	0		1.637	1.000	19
-6	17.03.2020	7715	149	12	115.111	2.223	0.179	1032	0	0		1.000	1.000	20
-5	18.03.2020	9124	149	12	136.134	2.223	0.179	1409	0	0		1.000	1.000	21
-4	19.03.2020	10970	244	12	163.678	3.641	0.179	1846	95	0		1.638	1.000	22
-3	20.03.2020	12758	451	12	190.355	6.729	0.179	1788	207	0		1.848	1.000	23
-2	21.03.2020	14463	563	12	215.795	8.400	0.179	1705	112	0		1.248	1.000	24
-1	22.03.2020	16243	676	2206	242.353	10.086	32.915	1780	113	2194		1.201	183.833	25
0	23.03.2020	20123	862	2200	300.245	12.861	32.825	3880	186	-6		1.275	0.997	26
