# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths	Deaths Doublication Time	New Confirmed per Million	New Deaths per Million
-70	2020-01-22	0	0	0.0	0.0							
-69	2020-01-23	0	0	0.0	0.0							
-68	2020-01-24	0	0	0.0	0.0							
-67	2020-01-25	0	0	0.0	0.0							
-66	2020-01-26	0	0	0.0	0.0							
-65	2020-01-27	0	0	0.0	0.0							
-64	2020-01-28	0	0	0.0	0.0							
-63	2020-01-29	0	0	0.0	0.0							
-62	2020-01-30	0	0	0.0	0.0							
-61	2020-01-31	0	0	0.0	0.0							
-60	2020-02-01	0	0	0.0	0.0							
-59	2020-02-02	0	0	0.0	0.0							
-58	2020-02-03	0	0	0.0	0.0							
-57	2020-02-04	0	0	0.0	0.0							
-56	2020-02-05	0	0	0.0	0.0							
-55	2020-02-06	0	0	0.0	0.0							
-54	2020-02-07	0	0	0.0	0.0							
-53	2020-02-08	0	0	0.0	0.0							
-52	2020-02-09	0	0	0.0	0.0							
-51	2020-02-10	0	0	0.0	0.0							
-50	2020-02-11	0	0	0.0	0.0							
-49	2020-02-12	0	0	0.0	0.0							
-48	2020-02-13	0	0	0.0	0.0							
-47	2020-02-14	0	0	0.0	0.0							
-46	2020-02-15	0	0	0.0	0.0							
-45	2020-02-16	0	0	0.0	0.0							
-44	2020-02-17	0	0	0.0	0.0							
-43	2020-02-18	0	0	0.0	0.0							
-42	2020-02-19	0	0	0.0	0.0							
-41	2020-02-20	0	0	0.0	0.0							
-40	2020-02-21	0	0	0.0	0.0							
-39	2020-02-22	0	0	0.0	0.0							
-38	2020-02-23	0	0	0.0	0.0							
-37	2020-02-24	0	0	0.0	0.0							
-36	2020-02-25	0	0	0.0	0.0							
-35	2020-02-26	1	0	0.093	0.0							
-34	2020-02-27	3	0	0.279	0.0							
-33	2020-02-28	4	0	0.371	0.0							
-32	2020-02-29	4	0	0.371	0.0							
-31	2020-03-01	7	0	0.65	0.0							
-30	2020-03-02	7	0	0.65	0.0							
-29	2020-03-03	7	0	0.65	0.0							
-28	2020-03-04	9	0	0.836	0.0							
-27	2020-03-05	31	0	2.879	0.0					5.0		
-26	2020-03-06	45	0	4.179	0.0	14				5.0	1.3	
-25	2020-03-07	46	0	4.272	0.0	1				5.0	0.093	
-24	2020-03-08	73	0	6.779	0.0	27				5.0	2.507	
-23	2020-03-09	73	0	6.779	0.0	0				5.0	0.0	
-22	2020-03-10	89	0	8.265	0.0	16				5.0	1.486	
-21	2020-03-11	99	1	9.194	0.093	10					0.929	
-20	2020-03-12	99	1	9.194	0.093	0	0	1.0		1.0	0.0	0.0
-19	2020-03-13	190	1	17.644	0.093	91	0	1.0		1.6	8.451	0.0
-18	2020-03-14	228	3	21.173	0.279	38	2	3.0	0	1.1	3.529	0.186
-17	2020-03-15	331	4	30.738	0.371	103	1	1.333	1	1.4	9.565	0.093
-16	2020-03-16	331	4	30.738	0.371	0	0	1.0	2	2.0	0.0	0.0
-15	2020-03-17	387	5	35.938	0.464	56	1	1.25	3	2.4	5.2	0.093
-14	2020-03-18	418	5	38.817	0.464	31	0	1.0	4	3.3	2.879	0.0
-13	2020-03-19	418	6	38.817	0.557	0	1	1.2	5	3.8	0.0	0.093
-12	2020-03-20	495	6	45.968	0.557	77	0	1.0	6	5.0	7.151	0.0
-11	2020-03-21	530	13	49.218	1.207	35	7	2.167	7	3.2	3.25	0.65
-10	2020-03-22	624	15	57.947	1.393	94	2	1.154	8	2.8	8.729	0.186
-9	2020-03-23	695	17	64.54	1.579	71	2	1.133	9	2.9	6.593	0.186
-8	2020-03-24	743	20	68.998	1.857	48	3	1.176	10	3.1	4.457	0.279
-7	2020-03-25	821	22	76.241	2.043	78	2	1.1	11	3.5	7.243	0.186
-6	2020-03-26	892	26	82.834	2.414	71	4	1.182	12	3.9	6.593	0.371
-5	2020-03-27	966	28	89.706	2.6	74	2	1.077	13	4.6	6.872	0.186
-4	2020-03-28	1061	32	98.528	2.972	95	4	1.143	14	5.5	8.822	0.371
-3	2020-03-29	1156	38	107.35	3.529	95	6	1.188	15	5.3	8.822	0.557
-2	2020-03-30	1212	43	112.551	3.993	56	5	1.132	16	5.3	5.2	0.464
-1	2020-03-31	1314	49	122.023	4.55	102	6	1.14	17	5.3	9.472	0.557
0	2020-04-01	1415	50	131.402	4.643	101	1	1.02	18	5.8	9.379	0.093
