# Day	Date	Confirmed	Deaths	Deaths	Confirmed per Million	Deaths per Million	Recovered per Million	Confirmed Change	Deaths Change	Recovered Change	Confirmed Change Factor	Deaths Change Factor	Recovered Change Factor	Days since 2 Deaths
-61	22.01.2020	0	0	0	0.000	0.000	0.000							
-60	23.01.2020	0	0	0	0.000	0.000	0.000							
-59	24.01.2020	0	0	0	0.000	0.000	0.000							
-58	25.01.2020	0	0	0	0.000	0.000	0.000							
-57	26.01.2020	0	0	0	0.000	0.000	0.000							
-56	27.01.2020	0	0	0	0.000	0.000	0.000							
-55	28.01.2020	0	0	0	0.000	0.000	0.000							
-54	29.01.2020	0	0	0	0.000	0.000	0.000							
-53	30.01.2020	0	0	0	0.000	0.000	0.000							
-52	31.01.2020	2	0	0	0.033	0.000	0.000							
-51	01.02.2020	2	0	0	0.033	0.000	0.000							
-50	02.02.2020	2	0	0	0.033	0.000	0.000							
-49	03.02.2020	2	0	0	0.033	0.000	0.000							
-48	04.02.2020	2	0	0	0.033	0.000	0.000							
-47	05.02.2020	2	0	0	0.033	0.000	0.000							
-46	06.02.2020	2	0	0	0.033	0.000	0.000							
-45	07.02.2020	3	0	0	0.050	0.000	0.000							
-44	08.02.2020	3	0	0	0.050	0.000	0.000							
-43	09.02.2020	3	0	0	0.050	0.000	0.000							
-42	10.02.2020	3	0	0	0.050	0.000	0.000							
-41	11.02.2020	3	0	0	0.050	0.000	0.000							
-40	12.02.2020	3	0	0	0.050	0.000	0.000							
-39	13.02.2020	3	0	0	0.050	0.000	0.000							
-38	14.02.2020	3	0	0	0.050	0.000	0.000							
-37	15.02.2020	3	0	0	0.050	0.000	0.000							
-36	16.02.2020	3	0	0	0.050	0.000	0.000							
-35	17.02.2020	3	0	0	0.050	0.000	0.000							
-34	18.02.2020	3	0	0	0.050	0.000	0.000							
-33	19.02.2020	3	0	0	0.050	0.000	0.000							
-32	20.02.2020	3	0	0	0.050	0.000	0.000							
-31	21.02.2020	20	1	0	0.332	0.017	0.000							
-30	22.02.2020	62	2	1	1.028	0.033	0.017	42	1	1		2.000		0
-29	23.02.2020	155	3	2	2.570	0.050	0.033	93	1	1		1.500	2.000	1
-28	24.02.2020	229	7	1	3.797	0.116	0.017	74	4	-1		2.333	0.500	2
-27	25.02.2020	322	10	1	5.338	0.166	0.017	93	3	0		1.429	1.000	3
-26	26.02.2020	453	12	3	7.510	0.199	0.050	131	2	2		1.200	3.000	4
-25	27.02.2020	655	17	45	10.859	0.282	0.746	202	5	42		1.417	15.000	5
-24	28.02.2020	888	21	46	14.722	0.348	0.763	233	4	1		1.235	1.022	6
-23	29.02.2020	1128	29	46	18.701	0.481	0.763	240	8	0		1.381	1.000	7
-22	01.03.2020	1694	34	83	28.085	0.564	1.376	566	5	37		1.172	1.804	8
-21	02.03.2020	2036	52	149	33.755	0.862	2.470	342	18	66		1.529	1.795	9
-20	03.03.2020	2502	79	160	41.480	1.310	2.653	466	27	11		1.519	1.074	10
-19	04.03.2020	3089	107	276	51.212	1.774	4.576	587	28	116		1.354	1.725	11
-18	05.03.2020	3858	148	414	63.961	2.454	6.864	769	41	138		1.383	1.500	12
-17	06.03.2020	4636	197	523	76.860	3.266	8.671	778	49	109		1.331	1.263	13
-16	07.03.2020	5883	233	589	97.534	3.863	9.765	1247	36	66		1.183	1.126	14
-15	08.03.2020	7375	366	622	122.270	6.068	10.312	1492	133	33		1.571	1.056	15
-14	09.03.2020	9172	463	724	152.062	7.676	12.003	1797	97	102		1.265	1.164	16
-13	10.03.2020	10149	631	724	168.259	10.461	12.003	977	168	0		1.363	1.000	17
-12	11.03.2020	12462	827	1045	206.607	13.711	17.325	2313	196	321		1.311	1.443	18
-11	12.03.2020	12462	827	1045	206.607	13.711	17.325	0	0	0		1.000	1.000	19
-10	13.03.2020	17660	1266	1439	292.784	20.989	23.857	5198	439	394		1.531	1.377	20
-9	14.03.2020	21157	1441	1966	350.760	23.890	32.594	3497	175	527		1.138	1.366	21
-8	15.03.2020	24747	1809	2335	410.279	29.991	38.712	3590	368	369		1.255	1.188	22
-7	16.03.2020	27980	2158	2749	463.878	35.777	45.575	3233	349	414		1.193	1.177	23
-6	17.03.2020	31506	2503	2941	522.336	41.497	48.759	3526	345	192		1.160	1.070	24
-5	18.03.2020	35713	2978	4025	592.083	49.372	66.730	4207	475	1084		1.190	1.369	25
-4	19.03.2020	41035	3405	4440	680.316	56.451	73.610	5322	427	415		1.143	1.103	26
-3	20.03.2020	47021	4032	4440	779.558	66.846	73.610	5986	627	0		1.184	1.000	27
-2	21.03.2020	53578	4825	6072	888.266	79.993	100.667	6557	793	1632		1.197	1.368	28
-1	22.03.2020	59138	5476	7024	980.444	90.786	116.450	5560	651	952		1.135	1.157	29
0	23.03.2020	63927	6077	7024	1059.841	100.750	116.450	4789	601	0		1.110	1.000	30
