# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths	Deaths Doublication Time	New Confirmed per Million	New Deaths per Million
-70	2020-01-22	2	0	0.016	0.0							
-69	2020-01-23	2	0	0.016	0.0							
-68	2020-01-24	2	0	0.016	0.0							
-67	2020-01-25	2	0	0.016	0.0							
-66	2020-01-26	4	0	0.032	0.0							
-65	2020-01-27	4	0	0.032	0.0							
-64	2020-01-28	7	0	0.055	0.0							
-63	2020-01-29	7	0	0.055	0.0							
-62	2020-01-30	11	0	0.087	0.0							
-61	2020-01-31	15	0	0.119	0.0	4					0.032	
-60	2020-02-01	20	0	0.159	0.0	5					0.04	
-59	2020-02-02	20	0	0.159	0.0	0					0.0	
-58	2020-02-03	20	0	0.159	0.0	0					0.0	
-57	2020-02-04	22	0	0.174	0.0	2					0.016	
-56	2020-02-05	22	0	0.174	0.0	0					0.0	
-55	2020-02-06	22	0	0.174	0.0	0					0.0	
-54	2020-02-07	25	0	0.198	0.0	3					0.024	
-53	2020-02-08	25	0	0.198	0.0	0					0.0	
-52	2020-02-09	26	0	0.206	0.0	1					0.008	
-51	2020-02-10	26	0	0.206	0.0	0					0.0	
-50	2020-02-11	26	0	0.206	0.0	0					0.0	
-49	2020-02-12	28	0	0.222	0.0	2					0.016	
-48	2020-02-13	28	1	0.222	0.008	0					0.0	
-47	2020-02-14	29	1	0.23	0.008	1	0	1.0			0.008	0.0
-46	2020-02-15	43	1	0.341	0.008	14	0	1.0			0.111	0.0
-45	2020-02-16	59	1	0.468	0.008	16	0	1.0			0.127	0.0
-44	2020-02-17	66	1	0.523	0.008	7	0	1.0			0.055	0.0
-43	2020-02-18	74	1	0.587	0.008	8	0	1.0			0.063	0.0
-42	2020-02-19	84	1	0.666	0.008	10	0	1.0			0.079	0.0
-41	2020-02-20	94	1	0.745	0.008	10	0	1.0			0.079	0.0
-40	2020-02-21	105	1	0.832	0.008	11	0	1.0			0.087	0.0
-39	2020-02-22	122	1	0.967	0.008	17	0	1.0			0.135	0.0
-38	2020-02-23	147	1	1.165	0.008	25	0	1.0			0.198	0.0
-37	2020-02-24	159	1	1.26	0.008	12	0	1.0			0.095	0.0
-36	2020-02-25	170	1	1.348	0.008	11	0	1.0			0.087	0.0
-35	2020-02-26	189	2	1.498	0.016	19	1	2.0	0		0.151	0.008
-34	2020-02-27	214	4	1.696	0.032	25	2	2.0	1		0.198	0.016
-33	2020-02-28	228	4	1.807	0.032	14	0	1.0	2		0.111	0.0
-32	2020-02-29	241	5	1.91	0.04	13	1	1.25	3		0.103	0.008
-31	2020-03-01	256	6	2.029	0.048	15	1	1.2	4		0.119	0.008
-30	2020-03-02	274	6	2.172	0.048	18	0	1.0	5		0.143	0.0
-29	2020-03-03	293	6	2.323	0.048	19	0	1.0	6		0.151	0.0
-28	2020-03-04	331	6	2.624	0.048	38	0	1.0	7		0.301	0.0
-27	2020-03-05	360	6	2.854	0.048	29	0	1.0	8	12.3	0.23	0.0
-26	2020-03-06	420	6	3.329	0.048	60	0	1.0	9	18.3	0.476	0.0
-25	2020-03-07	461	6	3.654	0.048	41	0	1.0	10	50.2	0.325	0.0
-24	2020-03-08	502	6	3.979	0.048	41	0	1.0	11	639398828.4	0.325	0.0
-23	2020-03-09	511	10	4.051	0.079	9	4	1.667	12	12.1	0.071	0.032
-22	2020-03-10	581	10	4.606	0.079	70	0	1.0	13	7.6	0.555	0.0
-21	2020-03-11	639	15	5.065	0.119	58	5	1.5	14	4.2	0.46	0.04
-20	2020-03-12	639	16	5.065	0.127	0	1	1.067	15	3.8	0.0	0.008
-19	2020-03-13	701	19	5.557	0.151	62	3	1.188	16	3.7	0.491	0.024
-18	2020-03-14	773	22	6.128	0.174	72	3	1.158	17	3.8	0.571	0.024
-17	2020-03-15	839	22	6.651	0.174	66	0	1.0	18	4.6	0.523	0.0
-16	2020-03-16	839	27	6.651	0.214	0	5	1.227	19	5.1	0.0	0.04
-15	2020-03-17	878	29	6.96	0.23	39	2	1.074	20	5.5	0.309	0.016
-14	2020-03-18	889	29	7.047	0.23	11	0	1.0	21	7.1	0.087	0.0
-13	2020-03-19	924	29	7.325	0.23	35	0	1.0	22	8.8	0.277	0.0
-12	2020-03-20	963	33	7.634	0.262	39	4	1.138	23	10.0	0.309	0.032
-11	2020-03-21	1007	35	7.983	0.277	44	2	1.061	24	10.9	0.349	0.016
-10	2020-03-22	1101	41	8.728	0.325	94	6	1.171	25	9.5	0.745	0.048
-9	2020-03-23	1128	42	8.942	0.333	27	1	1.024	26	10.0	0.214	0.008
-8	2020-03-24	1193	43	9.457	0.341	65	1	1.024	27	10.1	0.515	0.008
-7	2020-03-25	1307	45	10.361	0.357	114	2	1.047	28	10.2	0.904	0.016
-6	2020-03-26	1387	47	10.995	0.373	80	2	1.044	29	11.2	0.634	0.016
-5	2020-03-27	1468	49	11.637	0.388	81	2	1.043	30	13.4	0.642	0.016
-4	2020-03-28	1693	52	13.421	0.412	225	3	1.061	31	14.7	1.784	0.024
-3	2020-03-29	1866	54	14.792	0.428	173	2	1.038	32	16.7	1.371	0.016
-2	2020-03-30	1866	54	14.792	0.428	0	0	1.0	33	17.4	0.0	0.0
-1	2020-03-31	1953	56	15.482	0.444	87	2	1.037	34	18.4	0.69	0.016
0	2020-04-01	2178	57	17.265	0.452	225	1	1.018	35	20.9	1.784	0.008
