# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths
-65	2020-01-22	0	0	0.000	0.000				
-64	2020-01-23	0	0	0.000	0.000				
-63	2020-01-24	0	0	0.000	0.000				
-62	2020-01-25	0	0	0.000	0.000				
-61	2020-01-26	0	0	0.000	0.000				
-60	2020-01-27	0	0	0.000	0.000				
-59	2020-01-28	0	0	0.000	0.000				
-58	2020-01-29	0	0	0.000	0.000				
-57	2020-01-30	0	0	0.000	0.000				
-56	2020-01-31	0	0	0.000	0.000				
-55	2020-02-01	0	0	0.000	0.000				
-54	2020-02-02	0	0	0.000	0.000				
-53	2020-02-03	0	0	0.000	0.000				
-52	2020-02-04	0	0	0.000	0.000				
-51	2020-02-05	0	0	0.000	0.000				
-50	2020-02-06	0	0	0.000	0.000				
-49	2020-02-07	0	0	0.000	0.000				
-48	2020-02-08	0	0	0.000	0.000				
-47	2020-02-09	0	0	0.000	0.000				
-46	2020-02-10	0	0	0.000	0.000				
-45	2020-02-11	0	0	0.000	0.000				
-44	2020-02-12	0	0	0.000	0.000				
-43	2020-02-13	0	0	0.000	0.000				
-42	2020-02-14	0	0	0.000	0.000				
-41	2020-02-15	0	0	0.000	0.000				
-40	2020-02-16	0	0	0.000	0.000				
-39	2020-02-17	0	0	0.000	0.000				
-38	2020-02-18	0	0	0.000	0.000				
-37	2020-02-19	0	0	0.000	0.000				
-36	2020-02-20	0	0	0.000	0.000				
-35	2020-02-21	0	0	0.000	0.000				
-34	2020-02-22	0	0	0.000	0.000				
-33	2020-02-23	0	0	0.000	0.000				
-32	2020-02-24	0	0	0.000	0.000				
-31	2020-02-25	0	0	0.000	0.000				
-30	2020-02-26	0	0	0.000	0.000				
-29	2020-02-27	0	0	0.000	0.000				
-28	2020-02-28	0	0	0.000	0.000				
-27	2020-02-29	0	0	0.000	0.000				
-26	2020-03-01	0	0	0.000	0.000				
-25	2020-03-02	0	0	0.000	0.000				
-24	2020-03-03	0	0	0.000	0.000				
-23	2020-03-04	0	0	0.000	0.000				
-22	2020-03-05	0	0	0.000	0.000				
-21	2020-03-06	0	0	0.000	0.000				
-20	2020-03-07	0	0	0.000	0.000				
-19	2020-03-08	0	0	0.000	0.000				
-18	2020-03-09	0	0	0.000	0.000				
-17	2020-03-10	0	0	0.000	0.000				
-16	2020-03-11	1	0	0.012	0.000				
-15	2020-03-12	1	0	0.012	0.000				
-14	2020-03-13	5	0	0.060	0.000				
-13	2020-03-14	5	0	0.060	0.000				
-12	2020-03-15	6	0	0.072	0.000				
-11	2020-03-16	18	0	0.216	0.000				
-10	2020-03-17	47	1	0.565	0.012				
-9	2020-03-18	98	1	1.179	0.012	51	0	1.000	
-8	2020-03-19	192	3	2.309	0.036	94	2	3.000	0
-7	2020-03-20	359	4	4.317	0.048	167	1	1.333	1
-6	2020-03-21	670	9	8.057	0.108	311	5	2.250	2
-5	2020-03-22	1236	30	14.864	0.361	566	21	3.333	3
-4	2020-03-23	1529	37	18.387	0.445	293	7	1.233	4
-3	2020-03-24	1872	44	22.512	0.529	343	7	1.189	5
-2	2020-03-25	2433	59	29.259	0.710	561	15	1.341	6
-1	2020-03-26	3629	75	43.641	0.902	1196	16	1.271	7
0	2020-03-27	5698	92	68.523	1.106	2069	17	1.227	8
