Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-146	2020-01-28	0	0	0	0	0	0	0	0	0	0	0	0
-145	2020-01-29	0	0	0	0	0	0	0	0	0	0	0	0
-144	2020-01-30	0	0	0	0	0	0	0	0	0	0	0	0
-143	2020-01-31	0	0	0	0	0	0	0	0	0	0	0	0
-142	2020-02-01	0	0	0	0	0	0	0	0	0	0	0	0
-141	2020-02-02	0	0	0	0	0	0	0	0	0	0	0	0
-140	2020-02-03	0	0	0	0	0	0	0	0	0	0	0	0
-139	2020-02-04	0	0	0	0	0	0	0	0	0	0	0	0
-138	2020-02-05	0	0	0	0	0	0	0	0	0	0	0	0
-137	2020-02-06	0	0	0	0	0	0	0	0	0	0	0	0
-136	2020-02-07	0	0	0	0	0	0	0	0	0	0	0	0
-135	2020-02-08	0	0	0	0	0	0	0	0	0	0	0	0
-134	2020-02-09	0	0	0	0	0	0	0	0	0	0	0	0
-133	2020-02-10	0	0	0	0	0	0	0	0	0	0	0	0
-132	2020-02-11	0	0	0	0	0	0	0	0	0	0	0	0
-131	2020-02-12	0	0	0	0	0	0	0	0	0	0	0	0
-130	2020-02-13	0	0	0	0	0	0	0	0	0	0	0	0
-129	2020-02-14	0	0	0	0	0	0	0	0	0	0	0	0
-128	2020-02-15	0	0	0	0	0	0	0	0	0	0	0	0
-127	2020-02-16	0	0	0	0	0	0	0	0	0	0	0	0
-126	2020-02-17	0	0	0	0	0	0	0	0	0	0	0	0
-125	2020-02-18	0	0	0	0	0	0	0	0	0	0	0	0
-124	2020-02-19	0	0	0	0	0	0	0	0	0	0	0	0
-123	2020-02-20	0	0	0	0	0	0	0	0	0	0	0	0
-122	2020-02-21	0	0	0	0	0	0	0	0	0	0	0	0
-121	2020-02-22	0	0	0	0	0	0	0	0	0	0	0	0
-120	2020-02-23	0	0	0	0	0	0	0	0	0	0	0	0
-119	2020-02-24	0	0	0	0	0	0	0	0	0	0	0	0
-118	2020-02-25	0	0	0	0	0	0	0	0	0	0	0	0
-117	2020-02-26	0	0	0	0	0	0	0	0	0	0	0	0
-116	2020-02-27	0	0	0	0	0	0	0	0	0	0	0	0
-115	2020-02-28	0	0	0	0	0	0	0	0	0	0	0	0
-114	2020-02-29	0	0	0	0	0	0	0	0	0	0	0	0
-113	2020-03-01	0	0	0	0	0	0	0	0	0	0	0	0
-112	2020-03-02	0	0	0	0	0	0	0	0	0	0	0	0
-111	2020-03-03	0	0	0	0	0	0	0	0	0	0	0	0
-110	2020-03-04	0	0	0	0	0	0	0	0	0	0	0	0
-109	2020-03-05	1	0	1	0	1	0	5	0	5	0	5	0
-108	2020-03-06	1	0	0	0	1	0	5	0	0	0	5	0
-107	2020-03-07	1	0	0	0	1	0	5	0	0	0	5	0
-106	2020-03-08	1	0	0	0	1	0	5	0	0	0	5	0
-105	2020-03-09	1	0	0	0	1	0	5	0	0	0	5	0
-104	2020-03-10	1	0	0	0	1	0	5	0	0	0	5	0
-103	2020-03-11	1	0	0	0	1	0	5	0	0	0	5	0
-102	2020-03-12	5	0	4	0	4	0	23	0	19	0	19	0
-101	2020-03-13	6	0	1	0	5	0	28	0	5	0	23	0
-100	2020-03-14	6	0	0	0	5	0	28	0	0	0	23	0
-99	2020-03-15	8	0	2	0	7	0	37	0	9	0	33	0
-98	2020-03-16	8	0	0	0	7	0	37	0	0	0	33	0
-97	2020-03-17	11	0	3	0	10	0	51	0	14	0	47	0
-96	2020-03-18	16	0	5	0	15	0	75	0	23	0	70	0
-95	2020-03-19	19	0	3	0	14	0	89	0	14	0	65	0
-94	2020-03-20	24	0	5	0	18	0	112	0	23	0	84	0
-93	2020-03-21	29	0	5	0	23	0	135	0	23	0	107	0
-92	2020-03-22	32	0	3	0	24	0	149	0	14	0	112	0
-91	2020-03-23	42	0	10	0	34	0	196	0	47	0	158	0
-90	2020-03-24	45	0	3	0	34	0	210	0	14	0	158	0
-89	2020-03-25	62	0	17	0	46	0	289	0	79	0	214	0
-88	2020-03-26	72	0	10	0	53	0	335	0	47	0	247	0
-87	2020-03-27	76	0	4	0	52	0	354	0	19	0	242	0
-86	2020-03-28	78	0	2	0	49	0	363	0	9	0	228	0
-85	2020-03-29	80	0	2	0	48	0	373	0	9	0	224	0
-84	2020-03-30	94	1	14	1	52	1	438	5	65	5	242	5
-83	2020-03-31	119	5	25	4	74	5	554	23	116	19	345	23
-82	2020-04-01	131	6	12	1	69	6	610	28	56	5	321	28
-81	2020-04-02	169	10	38	4	97	10	787	47	177	19	452	47
-80	2020-04-03	200	12	31	2	124	12	932	56	144	9	578	56
-79	2020-04-04	203	12	3	0	125	12	946	56	14	0	582	56
-78	2020-04-05	208	12	5	0	128	12	969	56	23	0	596	56
-77	2020-04-06	219	14	11	2	125	13	1020	65	51	9	582	61
-76	2020-04-07	229	14	10	0	110	9	1067	65	47	0	512	42
-75	2020-04-08	236	14	7	0	105	8	1099	65	33	0	489	37
-74	2020-04-09	249	14	13	0	80	4	1160	65	61	0	373	19
