Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	1062330	632638	59.6		
2020-04-23	1138354	652664	57.3		
2020-04-24	1106360	667114	60.3	91392	8.3
2020-04-25	1100614	661028	60.1	90508	8.2
2020-04-26	1090856	641444	58.8		
2020-04-27	1060422	629772	59.4	80949	7.6
2020-04-28	1038272	615360	59.3	79072	7.6
2020-04-29	1020489	621488	60.9	73656	7.2
2020-04-30	982560	597300	60.8	69780	7.1
2020-05-01	955782	580696	60.8	65337	6.8
2020-05-02	917084	556192	60.6	59808	6.5
2020-05-03	862650	508815	59.0	53703	6.2
2020-05-04	829764	491036	59.2	51298	6.2
2020-05-05	818050	499250	61.0	47675	5.8
2020-05-06	786552	483144	61.4	45288	5.8
2020-05-07	753687	468234	62.1	42688	5.7
2020-05-08	720478	447216	62.1	39468	5.5
2020-05-09	684999	423339	61.8	34083	5.0
2020-05-10	647580	395760	61.1	31780	4.9
2020-05-11	605853	364591	60.2	30134	5.0
2020-05-12	582858	355032	60.9	28584	4.9
2020-05-13	560813	349435	62.3	24973	4.5
2020-05-14	519808	325536	62.6	22000	4.2
2020-05-15	487215	303765	62.3	19755	4.1
2020-05-16	456036	288792	63.3	17318	3.8
2020-05-17	418834	261144	62.4	15379	3.7
2020-05-18	381588	232308	60.9	13428	3.5
2020-05-19	355960	216920	60.9	12463	3.5
2020-05-20	324580	205890	63.4	10400	3.2
2020-05-21	292977	185184	63.2	9162	3.1
2020-05-22	258008	162208	62.9	7736	3.0
2020-05-23	225967	139727	61.8	6643	2.9
2020-05-24	193626	119178	61.6	5490	2.8
2020-05-25	158015	95430	60.4	4370	2.8
2020-05-26	129304	78804	60.9	3444	2.7
2020-05-27	97650	62076	63.6	2268	2.3
2020-05-28	65062	41340	63.5	1490	2.3
2020-05-29	32408	20711	63.9	737	2.3
