Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	2625	1489	56.7		
2020-04-23	2766	1612	58.3		
2020-04-24	2856	1576	55.2	163	5.7
2020-04-25	2858	1566	54.8	163	5.7
2020-04-26	2785	1448	52.0		
2020-04-27	2754	1497	54.4	159	5.8
2020-04-28	2754	1496	54.3	159	5.8
2020-04-29	2817	1612	57.2	147	5.2
2020-04-30	2816	1602	56.9	147	5.2
2020-05-01	2831	1584	56.0	136	4.8
2020-05-02	2828	1586	56.1	127	4.5
2020-05-03	2767	1460	52.8	124	4.5
2020-05-04	2794	1464	52.4	124	4.4
2020-05-05	2805	1580	56.3	109	3.9
2020-05-06	2808	1592	56.7	103	3.7
2020-05-07	2766	1567	56.7	110	4.0
2020-05-08	2881	1606	55.7	119	4.1
2020-05-09	2827	1511	53.4	101	3.6
2020-05-10	2828	1474	52.1	99	3.5
2020-05-11	2768	1452	52.5	99	3.6
2020-05-12	2803	1503	53.6	98	3.5
2020-05-13	2851	1588	55.7	95	3.3
2020-05-14	2905	1635	56.3	87	3.0
2020-05-15	2900	1621	55.9	75	2.6
