Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	550	268	48.7		
2020-04-23	647	313	48.4		
2020-04-24	655	316	48.2	60	9.2
2020-04-25	655	316	48.2	60	9.2
2020-04-26	647	306	47.3		
2020-04-27	648	318	49.1	46	7.1
2020-04-28	681	335	49.2	48	7.0
2020-04-29	729	360	49.4	49	6.7
2020-04-30	677	354	52.3	44	6.5
2020-05-01	676	360	53.3	41	6.1
2020-05-02	667	355	53.2	34	5.1
2020-05-03	690	345	50.0	34	4.9
2020-05-04	674	337	50.0	36	5.3
2020-05-05	654	362	55.4	21	3.2
