Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	898	496	55.2		
2020-04-23	946	530	56.0		
2020-04-24	1159	672	58.0	30	2.6
2020-04-25	1159	669	57.7	30	2.6
2020-04-26	1096	651	59.4		
2020-04-27	1103	670	60.7	24	2.2
2020-04-28	1157	697	60.2	24	2.1
2020-04-29	1151	713	61.9	23	2.0
2020-04-30	1155	719	62.3	22	1.9
2020-05-01	1183	712	60.2	17	1.4
2020-05-02	1148	672	58.5	16	1.4
2020-05-03	1024	584	57.0	15	1.5
2020-05-04	1022	581	56.8	15	1.5
2020-05-05	1149	701	61.0	20	1.7
2020-05-06	1144	696	60.8	20	1.7
2020-05-07	1141	698	61.2	20	1.8
2020-05-08	1141	706	61.9	20	1.8
2020-05-09	1065	659	61.9	19	1.8
2020-05-10	1056	644	61.0	19	1.8
2020-05-11	1035	632	61.1	18	1.7
2020-05-12	1018	653	64.1	19	1.9
2020-05-13	1057	679	64.2	15	1.4
2020-05-14	1060	675	63.7	15	1.4
2020-05-15	1072	685	63.9	16	1.5
2020-05-16	1052	708	67.3	14	1.3
2020-05-17	1041	690	66.3	14	1.3
2020-05-18	1043	659	63.2	13	1.2
2020-05-19	1048	657	62.7	13	1.2
2020-05-20	1048	690	65.8	9	0.9
