Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-05-24	72	54	75.0	0	0.0	0	0
2020-06-17	45	36	80.0	0	0.0	0	0
2020-06-28	73	51	69.9	0	0.0	0	0
2020-06-18	43	39	90.7	0	0.0	0	0
2020-05-30	71	51	71.8	1	1.4	0	0.0
2020-04-27	71	48	67.6	0	0.0	0	0
2020-06-13	71	54	76.1	0	0.0	0	0
2020-06-11	71	51	71.8	0	0.0	0	0
2020-05-25	71	58	81.7	0	0.0	0	0
2020-06-22	7	5	71.4	0	0.0	0	0
2020-06-14	71	52	73.2	0	0.0	0	0
2020-05-11	71	54	76.1	0	0.0	0	0
2020-05-21	72	59	81.9	0	0.0	0	0
2020-06-07	72	54	75.0	0	0.0	0	0
2020-06-03	70	51	72.9	0	0.0	0	0
2020-06-02	71	48	67.6	1	1.4	0	0.0
2020-06-25	72	59	81.9	0	0.0	0	0
2020-05-06	70	53	75.7	1	1.4	1	100.0
2020-06-24	7	6	85.7	0	0.0	0	0
2020-05-22	71	48	67.6	0	0.0	0	0
2020-04-30	71	57	80.3	0	0.0	0	0
2020-05-14	74	55	74.3	0	0.0	0	0
2020-05-29	71	53	74.6	1	1.4	0	0.0
2020-05-12	72	59	81.9	0	0.0	0	0
2020-05-07	72	55	76.4	0	0.0	0	0
2020-05-16	70	56	80.0	0	0.0	0	0
2020-05-31	71	45	63.4	1	1.4	0	0.0
2020-05-08	71	50	70.4	0	0.0	0	0
2020-06-08	71	57	80.3	0	0.0	0	0
2020-05-23	71	48	67.6	0	0.0	0	0
2020-05-28	72	56	77.8	0	0.0	0	0
2020-06-20	44	31	70.5	0	0.0	0	0
2020-06-12	71	53	74.6	0	0.0	0	0
2020-04-28	77	49	63.6	0	0.0	0	0
2020-06-21	7	6	85.7	0	0.0	0	0
2020-04-29	71	54	76.1	0	0.0	0	0
2020-05-04	64	49	76.6	1	1.6	0	0.0
2020-05-17	71	55	77.5	0	0.0	0	0
2020-05-05	71	56	78.9	1	1.4	1	100.0
2020-05-18	69	53	76.8	0	0.0	0	0
2020-05-02	72	53	73.6	1	1.4	0	0.0
2020-06-16	44	33	75.0	0	0.0	0	0
2020-05-20	72	59	81.9	0	0.0	0	0
2020-06-15	71	50	70.4	0	0.0	0	0
2020-05-19	71	58	81.7	0	0.0	0	0
2020-05-27	72	61	84.7	0	0.0	0	0
2020-05-10	72	52	72.2	0	0.0	0	0
2020-06-05	71	48	67.6	0	0.0	0	0
2020-06-23	7	5	71.4	0	0.0	0	0
2020-06-04	71	48	67.6	0	0.0	0	0
2020-06-26	72	46	63.9	0	0.0	0	0
2020-06-06	72	50	69.4	0	0.0	0	0
2020-05-03	72	53	73.6	1	1.4	0	0.0
2020-06-09	72	55	76.4	0	0.0	0	0
2020-06-19	44	37	84.1	0	0.0	0	0
2020-06-01	71	48	67.6	1	1.4	0	0.0
2020-06-27	72	52	72.2	0	0.0	0	0
2020-05-26	72	59	81.9	0	0.0	0	0
2020-05-13	71	57	80.3	0	0.0	0	0
2020-04-26	72	46	63.9	0	0.0	0	0
2020-05-01	71	51	71.8	0	0.0	0	0
2020-06-10	71	50	70.4	0	0.0	0	0
2020-05-09	71	49	69.0	0	0.0	0	0
2020-05-15	72	56	77.8	0	0.0	0	0
