#	date	infections	deaths	new infections	new deaths
-25	2020-02-28	10	0	10	0
-24	2020-02-29	14	0	4	0
-23	2020-03-01	15	0	1	0
-22	2020-03-02	20	0	5	0
-21	2020-03-03	28	0	8	0
-20	2020-03-04	50	0	22	0
-19	2020-03-05	73	0	23	0
-18	2020-03-06	96	0	23	0
-17	2020-03-07	170	0	74	0
-16	2020-03-08	182	0	12	0
-15	2020-03-09	204	0	22	0
-14	2020-03-10	237	0	33	0
-13	2020-03-11	277	0	40	0
-12	2020-03-12	454	0	177	0
-11	2020-03-13	454	0	0	0
-10	2020-03-14	569	0	115	0
-9	2020-03-15	827	0	258	0
-8	2020-03-16	1105	0	278	0
-7	2020-03-17	1479	2	374	2
-6	2020-03-18	1609	2	130	0
-5	2020-03-19	2155	6	546	4
-4	2020-03-20	2746	10	591	4
-3	2020-03-21	3668	16	922	6
-2	2020-03-22	3807	21	139	5
-1	2020-03-23	3811	21	4	0
0	2020-03-24	5348	30	1537	9
