#	date	infections	deaths	new infections	new deaths
-24	2020-02-28	0	0	0	0
-23	2020-02-29	0	0	0	0
-22	2020-03-01	1	0	1	0
-21	2020-03-02	1	0	0	0
-20	2020-03-03	2	0	1	0
-19	2020-03-04	7	0	5	0
-18	2020-03-05	18	0	11	0
-17	2020-03-06	18	0	0	0
-16	2020-03-07	19	0	1	0
-15	2020-03-08	21	0	2	0
-14	2020-03-09	38	0	17	0
-13	2020-03-10	49	0	11	0
-12	2020-03-11	75	0	26	0
-11	2020-03-12	129	0	54	0
-10	2020-03-13	230	0	101	0
-9	2020-03-14	253	0	23	0
-8	2020-03-15	287	0	34	0
-7	2020-03-16	391	0	104	0
-6	2020-03-17	325	0	-66	0
-5	2020-03-18	478	0	153	0
-4	2020-03-19	669	0	191	0
-3	2020-03-20	803	0	134	0
-2	2020-03-21	1023	0	220	0
-1	2020-03-22	1306	1	283	1
0	2020-03-23	1483	4	177	3
