# State	Code	Population	Pop Density	Date	Infections	Deaths	New Infections	New Deaths	Infections per Million	Deaths per Million
Brandenburg	BB	2511900	84.0	2020-03-25	429	1	86	1	170.787	0.398
Berlin	BE	3644800	4055.0	2020-03-25	1428	2	208	1	391.791	0.549
Baden-Württemberg	BW	11069500	308.0	2020-03-25	6069	37	721	7	548.263	3.343
Bayern	BY	13076700	184.0	2020-03-25	6558	37	804	7	501.503	2.829
Bremen	HB	683000	1624.0	2020-03-25	200	0	17	0	292.826	0.000
Hessen	HE	6265800	296.0	2020-03-25	1754	4	134	0	279.932	0.638
Hamburg	HH	1841200	2424.0	2020-03-25	1262	0	219	0	685.423	0.000
Mecklenburg-Vorpommern	MV	1609700	69.0	2020-03-25	218	0	19	0	135.429	0.000
Niedersachsen	NI	7982400	167.0	2020-03-25	2140	7	376	1	268.090	0.877
Nordrhein-Westfalen	NW	17932700	525.0	2020-03-25	7197	43	879	10	401.334	2.398
Rheinland-Pfalz	RP	4084800	205.0	2020-03-25	1591	5	221	0	389.493	1.224
Schleswig-Holstein	SH	2896700	183.0	2020-03-25	577	3	99	1	199.192	1.036
Saarland	SL	990500	387.0	2020-03-25	403	2	66	1	406.865	2.019
Sachsen	SN	4077900	221.0	2020-03-25	959	6	148	5	235.170	1.471
Sachsen-Anhalt	ST	2208300	109.0	2020-03-25	375	1	54	1	169.814	0.453
Thüringen	TH	2143100	133.0	2020-03-25	394	1	67	0	183.846	0.467
# Deutschland	DE-total	83019200	232.0	2020-03-25	31554	149	4118	35	380.081	1.795
