Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-115	2020-02-28	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
-114	2020-02-29	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
-113	2020-03-01	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
-112	2020-03-02	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
-111	2020-03-03	1	0	1	0	0	0	0.398	0.0	0.398	0.0	0.0	0.0		
-110	2020-03-04	1	0	0	0	0	0	0.398	0.0	0.0	0.0	0.0	0.0		
-109	2020-03-05	1	0	0	0	0	0	0.398	0.0	0.0	0.0	0.0	0.0		
-108	2020-03-06	2	0	1	0	2	0	0.796	0.0	0.398	0.0	0.796	0.0		
-107	2020-03-07	2	0	0	0	2	0	0.796	0.0	0.0	0.0	0.796	0.0		
-106	2020-03-08	4	0	2	0	4	0	1.592	0.0	0.796	0.0	1.592	0.0		
-105	2020-03-09	6	0	2	0	6	0	2.389	0.0	0.796	0.0	2.389	0.0		
-104	2020-03-10	9	0	3	0	8	0	3.583	0.0	1.194	0.0	3.185	0.0		
-103	2020-03-11	24	0	15	0	23	0	9.555	0.0	5.972	0.0	9.156	0.0		
-102	2020-03-12	30	0	6	0	29	0	11.943	0.0	2.389	0.0	11.545	0.0		
-101	2020-03-13	44	0	14	0	42	0	17.517	0.0	5.573	0.0	16.72	0.0		
-100	2020-03-14	61	0	17	0	59	0	24.284	0.0	6.768	0.0	23.488	0.0		
-99	2020-03-15	84	0	23	0	80	0	33.441	0.0	9.156	0.0	31.848	0.0		
-98	2020-03-16	94	0	10	0	88	0	37.422	0.0	3.981	0.0	35.033	0.0		
-97	2020-03-17	73	0	0	0	64	0	29.062	0.0	0.0	0.0	25.479	0.0		
-96	2020-03-18	92	0	19	0	68	0	36.626	0.0	7.564	0.0	27.071	0.0		
-95	2020-03-19	134	0	42	0	104	0	53.346	0.0	16.72	0.0	41.403	0.0		
-94	2020-03-20	192	0	58	0	148	0	76.436	0.0	23.09	0.0	58.92	0.0		
-93	2020-03-21	254	0	62	0	193	0	101.119	0.0	24.683	0.0	76.834	0.0		
-92	2020-03-22	274	0	20	0	190	0	109.081	0.0	7.962	0.0	75.64	0.0		
-91	2020-03-23	288	0	14	0	194	0	114.654	0.0	5.573	0.0	77.232	0.0		
-90	2020-03-24	343	0	55	0	270	0	136.55	0.0	21.896	0.0	107.488	0.0		
-89	2020-03-25	429	1	86	1	337	1	170.787	0.398	34.237	0.398	134.161	0.398		
-88	2020-03-26	477	1	48	0	343	1	189.896	0.398	19.109	0.0	136.55	0.398		
-87	2020-03-27	537	1	60	0	345	1	213.782	0.398	23.886	0.0	137.346	0.398		
-86	2020-03-28	645	1	108	0	391	1	256.778	0.398	42.995	0.0	155.659	0.398		
-85	2020-03-29	721	1	76	0	447	1	287.034	0.398	30.256	0.0	177.953	0.398		
-84	2020-03-30	761	2	40	1	473	2	302.958	0.796	15.924	0.398	188.304	0.796		
-83	2020-03-31	798	2	37	0	455	2	317.688	0.796	14.73	0.0	181.138	0.796		
-82	2020-04-01	881	4	83	2	452	3	350.731	1.592	33.043	0.796	179.943	1.194		
-81	2020-04-02	995	7	114	3	518	6	396.114	2.787	45.384	1.194	206.218	2.389		
-80	2020-04-03	1075	9	80	2	538	8	427.963	3.583	31.848	0.796	214.181	3.185		
-79	2020-04-04	1211	12	136	3	566	11	482.105	4.777	54.142	1.194	225.327	4.379		
-78	2020-04-05	1305	17	94	5	584	16	519.527	6.768	37.422	1.991	232.493	6.37		
