# Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doublication_Time	Deaths_Doublication_Time
-41	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0		
-40	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0		
-39	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0		
-38	2020-03-02	1	0	1	0	0.274	0.0	0.274	0.0		
-37	2020-03-03	3	0	2	0	0.823	0.0	0.549	0.0		
-36	2020-03-04	7	0	4	0	1.921	0.0	1.097	0.0		
-35	2020-03-05	13	0	6	0	3.567	0.0	1.646	0.0		
-34	2020-03-06	19	0	6	0	5.213	0.0	1.646	0.0		
-33	2020-03-07	28	0	9	0	7.682	0.0	2.469	0.0		
-32	2020-03-08	40	0	12	0	10.975	0.0	3.292	0.0		
-31	2020-03-09	48	0	8	0	13.169	0.0	2.195	0.0		
-30	2020-03-10	48	0	0	0	13.169	0.0	0.0	0.0		
-29	2020-03-11	90	0	42	0	24.693	0.0	11.523	0.0		
-28	2020-03-12	137	0	47	0	37.588	0.0	12.895	0.0		
-27	2020-03-13	174	0	37	0	47.739	0.0	10.151	0.0	2.1	
-26	2020-03-14	216	0	42	0	59.263	0.0	11.523	0.0	2.3	
-25	2020-03-15	265	0	49	0	72.706	0.0	13.444	0.0	2.5	
-24	2020-03-16	300	0	35	0	82.309	0.0	9.603	0.0	2.9	
-23	2020-03-17	345	0	45	0	94.655	0.0	12.346	0.0	3.4	
-22	2020-03-18	391	0	46	0	107.276	0.0	12.621	0.0	4.0	
-21	2020-03-19	573	0	182	0	157.21	0.0	49.934	0.0	3.6	
-20	2020-03-20	731	0	158	0	200.56	0.0	43.349	0.0	3.2	
-19	2020-03-21	866	1	135	1	237.599	0.274	37.039	0.274	3.2	
-18	2020-03-22	1024	1	158	0	280.948	0.274	43.349	0.0	3.3	
-17	2020-03-23	1077	1	53	0	295.489	0.274	14.541	0.0	3.8	5146980.5
-16	2020-03-24	1220	1	143	0	334.723	0.274	39.234	0.0	4.3	11494254.4
-15	2020-03-25	1428	2	208	1	391.791	0.549	57.068	0.274	4.7	3.4
-14	2020-03-26	1656	4	228	2	454.346	1.097	62.555	0.549	5.1	1.5
-13	2020-03-27	1955	8	299	4	536.381	2.195	82.035	1.097	5.0	1.1
-12	2020-03-28	2161	8	206	0	592.899	2.195	56.519	0.0	5.1	1.8
-11	2020-03-29	2360	9	199	1	647.498	2.469	54.598	0.274	5.4	2.3
-10	2020-03-30	2464	11	104	2	676.032	3.018	28.534	0.549	5.9	2.6
-9	2020-03-31	2575	13	111	2	706.486	3.567	30.454	0.549	7.0	3.1
-8	2020-04-01	2754	16	179	3	755.597	4.39	49.111	0.823	8.4	3.5
-7	2020-04-02	2970	19	216	3	814.86	5.213	59.263	0.823	9.6	3.9
-6	2020-04-03	3202	20	232	1	878.512	5.487	63.652	0.274	10.5	4.6
-5	2020-04-04	3471	22	269	2	952.316	6.036	73.804	0.549	10.4	4.9
-4	2020-04-05	3613	24	142	2	991.275	6.585	38.96	0.549	10.6	5.5
-3	2020-04-06	3670	26	57	2	1006.914	7.133	15.639	0.549	11.3	6.3
-2	2020-04-07	3845	28	175	2	1054.928	7.682	48.014	0.549	12.3	7.2
-1	2020-04-08	4028	32	183	4	1105.136	8.78	50.209	1.097	13.7	7.6
0	2020-04-09	4202	37	174	5	1152.875	10.151	47.739	1.372	15.3	7.1
