# Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-46	2020-02-28	15	0	15	0	1.147	0.0	1.147	0.0		
-45	2020-02-29	15	0	0	0	1.147	0.0	0.0	0.0		
-44	2020-03-01	23	0	8	0	1.759	0.0	0.612	0.0		
-43	2020-03-02	26	0	3	0	1.988	0.0	0.229	0.0		
-42	2020-03-03	37	0	11	0	2.829	0.0	0.841	0.0		
-41	2020-03-04	48	0	11	0	3.671	0.0	0.841	0.0		
-40	2020-03-05	70	0	22	0	5.353	0.0	1.682	0.0		
-39	2020-03-06	117	0	47	0	8.947	0.0	3.594	0.0		
-38	2020-03-07	134	0	17	0	10.247	0.0	1.3	0.0		
-37	2020-03-08	172	0	38	0	13.153	0.0	2.906	0.0		
-36	2020-03-09	256	0	84	0	19.577	0.0	6.424	0.0		
-35	2020-03-10	314	0	58	0	24.012	0.0	4.435	0.0		
-34	2020-03-11	366	0	52	0	27.989	0.0	3.977	0.0		
-33	2020-03-12	500	0	134	0	38.236	0.0	10.247	0.0		
-32	2020-03-13	558	0	58	0	42.671	0.0	4.435	0.0		
-31	2020-03-14	681	0	123	0	52.077	0.0	9.406	0.0		
-30	2020-03-15	886	0	205	0	67.754	0.0	15.677	0.0		
-29	2020-03-16	1067	0	181	0	81.596	0.0	13.841	0.0		
-28	2020-03-17	1109	4	42	4	84.807	0.306	3.212	0.306		
-27	2020-03-18	1243	4	134	0	95.055	0.306	10.247	0.0	4.4	
-26	2020-03-19	1692	8	449	4	129.39	0.612	34.336	0.306	4.1	1.6
-25	2020-03-20	2401	12	709	4	183.609	0.918	54.219	0.306	3.3	1.6
-24	2020-03-21	2960	19	559	7	226.357	1.453	42.748	0.535	3.1	1.5
-23	2020-03-22	3650	21	690	2	279.122	1.606	52.766	0.153	3.0	2.1
-22	2020-03-23	4892	26	1242	5	374.1	1.988	94.978	0.382	2.8	2.4
-21	2020-03-24	5754	30	862	4	440.019	2.294	65.919	0.306	2.9	2.8
-20	2020-03-25	6558	37	804	7	501.503	2.829	61.483	0.535	3.2	3.1
-19	2020-03-26	7993	47	1435	10	611.24	3.594	109.737	0.765	3.5	3.3
-18	2020-03-27	9481	55	1488	8	725.03	4.206	113.79	0.612	3.7	3.5
-17	2020-03-28	11150	77	1669	22	852.662	5.888	127.632	1.682	3.9	3.2
-16	2020-03-29	12881	107	1731	30	985.034	8.182	132.373	2.294	4.1	2.7
-15	2020-03-30	13989	127	1108	20	1069.765	9.712	84.731	1.529	4.6	2.8
-14	2020-03-31	14810	162	821	35	1132.549	12.388	62.783	2.677	5.3	2.8
-13	2020-04-01	16497	225	1687	63	1261.557	17.206	129.008	4.818	5.9	2.6
-12	2020-04-02	18496	268	1999	43	1414.424	20.494	152.867	3.288	6.4	2.8
-11	2020-04-03	20237	307	1741	39	1547.562	23.477	133.138	2.982	6.9	3.1
-10	2020-04-04	21908	349	1671	42	1675.346	26.689	127.785	3.212	7.4	3.5
-9	2020-04-05	23846	396	1938	47	1823.549	30.283	148.203	3.594	7.6	4.0
-8	2020-04-06	24974	437	1128	41	1909.809	33.418	86.26	3.135	8.1	4.5
-7	2020-04-07	26163	481	1189	44	2000.734	36.783	90.925	3.365	8.9	5.3
-6	2020-04-08	27564	564	1401	83	2107.871	43.13	107.137	6.347	10.1	5.6
-5	2020-04-09	28827	635	1263	71	2204.455	48.56	96.584	5.43	11.5	5.7
-4	2020-04-10	30363	703	1536	68	2321.916	53.76	117.461	5.2	12.7	5.8
-3	2020-04-11	31453	747	1090	44	2405.27	57.125	83.354	3.365	14.0	6.3
-2	2020-04-12	32282	786	829	39	2468.666	60.107	63.395	2.982	15.6	7.0
-1	2020-04-13	33015	820	733	34	2524.72	62.707	56.054	2.6	17.2	8.0
0	2020-04-14	33569	872	554	52	2567.085	66.683	42.365	3.977	19.8	9.3
