# Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doublication_Time	Deaths_Doublication_Time
-45	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0		
-44	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0		
-43	2020-03-01	1	0	1	0	1.464	0.0	1.464	0.0		
-42	2020-03-02	1	0	0	0	1.464	0.0	0.0	0.0		
-41	2020-03-03	2	0	1	0	2.928	0.0	1.464	0.0		
-40	2020-03-04	3	0	1	0	4.392	0.0	1.464	0.0		
-39	2020-03-05	3	0	0	0	4.392	0.0	0.0	0.0		
-38	2020-03-06	4	0	1	0	5.857	0.0	1.464	0.0		
-37	2020-03-07	4	0	0	0	5.857	0.0	0.0	0.0		
-36	2020-03-08	4	0	0	0	5.857	0.0	0.0	0.0		
-35	2020-03-09	4	0	0	0	5.857	0.0	0.0	0.0		
-34	2020-03-10	4	0	0	0	5.857	0.0	0.0	0.0		
-33	2020-03-11	21	0	17	0	30.747	0.0	24.89	0.0		
-32	2020-03-12	38	0	17	0	55.637	0.0	24.89	0.0		
-31	2020-03-13	42	0	4	0	61.493	0.0	5.857	0.0		
-30	2020-03-14	50	0	8	0	73.206	0.0	11.713	0.0		
-29	2020-03-15	53	0	3	0	77.599	0.0	4.392	0.0		
-28	2020-03-16	56	0	3	0	81.991	0.0	4.392	0.0		
-27	2020-03-17	57	0	1	0	83.455	0.0	1.464	0.0	4.5	
-26	2020-03-18	69	0	12	0	101.025	0.0	17.57	0.0	6.2	
-25	2020-03-19	80	0	11	0	117.13	0.0	16.105	0.0	7.0	
-24	2020-03-20	121	0	41	0	177.16	0.0	60.029	0.0	4.5	
-23	2020-03-21	142	0	21	0	207.906	0.0	30.747	0.0	3.7	
-22	2020-03-22	165	0	23	0	241.581	0.0	33.675	0.0	3.5	
-21	2020-03-23	170	0	5	0	248.902	0.0	7.321	0.0	3.9	
-20	2020-03-24	183	0	13	0	267.936	0.0	19.034	0.0	4.6	
-19	2020-03-25	200	0	17	0	292.826	0.0	24.89	0.0	5.5	
-18	2020-03-26	211	1	11	1	308.931	1.464	16.105	1.464	6.8	
-17	2020-03-27	241	1	30	0	352.855	1.464	43.924	0.0	8.0	
-16	2020-03-28	260	2	19	1	380.673	2.928	27.818	1.464	8.4	1.6
-15	2020-03-29	275	2	15	0	402.635	2.928	21.962	0.0	8.7	2.7
-14	2020-03-30	286	2	11	0	418.741	2.928	16.105	0.0	9.0	4.0
-13	2020-03-31	294	4	8	2	430.454	5.857	11.713	2.928	10.2	2.4
-12	2020-04-01	311	5	17	1	455.344	7.321	24.89	1.464	11.5	2.3
-11	2020-04-02	327	6	16	1	478.77	8.785	23.426	1.464	12.8	2.5
-10	2020-04-03	341	6	14	0	499.268	8.785	20.498	0.0	14.8	3.2
-9	2020-04-04	354	6	13	0	518.302	8.785	19.034	0.0	15.8	4.2
-8	2020-04-05	394	6	40	0	576.867	8.785	58.565	0.0	13.9	5.5
-7	2020-04-06	397	8	3	2	581.259	11.713	4.392	2.928	13.8	6.0
-6	2020-04-07	399	9	2	1	584.187	13.177	2.928	1.464	15.0	7.1
-5	2020-04-08	424	10	25	1	620.791	14.641	36.603	1.464	15.9	6.9
-4	2020-04-09	445	11	21	1	651.537	16.105	30.747	1.464	16.3	6.5
-3	2020-04-10	454	13	9	2	664.714	19.034	13.177	2.928	17.5	5.6
-2	2020-04-11	469	15	15	2	686.676	21.962	21.962	2.928	19.1	5.2
-1	2020-04-12	480	15	11	0	702.782	21.962	16.105	0.0	21.9	5.8
0	2020-04-13	486	17	6	2	711.567	24.89	8.785	2.928	22.2	6.5
