Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-114	2020-02-28	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
-113	2020-02-29	3	0	3	0	0	0	0.479	0.0	0.479	0.0	0.0	0.0		
-112	2020-03-01	8	0	5	0	0	0	1.277	0.0	0.798	0.0	0.0	0.0		
-111	2020-03-02	10	0	2	0	0	0	1.596	0.0	0.319	0.0	0.0	0.0		
-110	2020-03-03	12	0	2	0	0	0	1.915	0.0	0.319	0.0	0.0	0.0		
-109	2020-03-04	12	0	0	0	0	0	1.915	0.0	0.0	0.0	0.0	0.0		
-108	2020-03-05	14	0	2	0	0	0	2.234	0.0	0.319	0.0	0.0	0.0		
-107	2020-03-06	16	0	2	0	16	0	2.554	0.0	0.319	0.0	2.554	0.0		
-106	2020-03-07	17	0	1	0	14	0	2.713	0.0	0.16	0.0	2.234	0.0		
-105	2020-03-08	19	0	2	0	11	0	3.032	0.0	0.319	0.0	1.756	0.0		
-104	2020-03-09	26	0	7	0	16	0	4.15	0.0	1.117	0.0	2.554	0.0		
-103	2020-03-10	35	0	9	0	23	0	5.586	0.0	1.436	0.0	3.671	0.0		
-102	2020-03-11	48	0	13	0	36	0	7.661	0.0	2.075	0.0	5.745	0.0		
-101	2020-03-12	99	0	51	0	85	0	15.8	0.0	8.139	0.0	13.566	0.0		
-100	2020-03-13	148	0	49	0	132	0	23.62	0.0	7.82	0.0	21.067	0.0		
-99	2020-03-14	203	0	55	0	186	0	32.398	0.0	8.778	0.0	29.685	0.0		
-98	2020-03-15	286	0	83	0	267	0	45.645	0.0	13.247	0.0	42.612	0.0		
-97	2020-03-16	342	0	56	0	316	0	54.582	0.0	8.937	0.0	50.433	0.0		
-96	2020-03-17	373	0	31	0	338	0	59.53	0.0	4.947	0.0	53.944	0.0		
-95	2020-03-18	432	0	59	0	384	0	68.946	0.0	9.416	0.0	61.285	0.0		
-94	2020-03-19	682	0	250	0	583	0	108.845	0.0	39.899	0.0	93.045	0.0		
-93	2020-03-20	813	1	131	1	665	1	129.752	0.16	20.907	0.16	106.132	0.16		
-92	2020-03-21	1080	2	267	1	877	2	172.364	0.319	42.612	0.16	139.966	0.319		
-91	2020-03-22	1175	2	95	0	889	2	187.526	0.319	15.162	0.0	141.881	0.319		
-90	2020-03-23	1347	3	172	1	1005	3	214.977	0.479	27.451	0.16	160.395	0.479		
-89	2020-03-24	1620	4	273	1	1247	4	258.546	0.638	43.57	0.16	199.017	0.638		
-88	2020-03-25	1754	4	134	0	1322	4	279.932	0.638	21.386	0.0	210.987	0.638		
-87	2020-03-26	2157	6	403	2	1475	6	344.25	0.958	64.317	0.319	235.405	0.958		
