Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-67	2020-02-28	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
-66	2020-02-29	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
-65	2020-03-01	1	0	1	0	0	0	0.543	0.0	0.543	0.0	0.0	0.0		
-64	2020-03-02	2	0	1	0	0	0	1.086	0.0	0.543	0.0	0.0	0.0		
-63	2020-03-03	2	0	0	0	0	0	1.086	0.0	0.0	0.0	0.0	0.0		
-62	2020-03-04	3	0	1	0	0	0	1.629	0.0	0.543	0.0	0.0	0.0		
-61	2020-03-05	5	0	2	0	0	0	2.716	0.0	1.086	0.0	0.0	0.0		
-60	2020-03-06	11	0	6	0	11	0	5.974	0.0	3.259	0.0	5.974	0.0		
-59	2020-03-07	13	0	2	0	13	0	7.061	0.0	1.086	0.0	7.061	0.0		
-58	2020-03-08	13	0	0	0	12	0	7.061	0.0	0.0	0.0	6.517	0.0		
-57	2020-03-09	17	0	4	0	15	0	9.233	0.0	2.172	0.0	8.147	0.0		
-56	2020-03-10	29	0	12	0	27	0	15.751	0.0	6.517	0.0	14.664	0.0		
-55	2020-03-11	48	0	19	0	45	0	26.07	0.0	10.319	0.0	24.441	0.0		
-54	2020-03-12	88	0	40	0	83	0	47.795	0.0	21.725	0.0	45.079	0.0		
-53	2020-03-13	99	0	11	0	88	0	53.769	0.0	5.974	0.0	47.795	0.0		
-52	2020-03-14	158	0	59	0	145	0	85.814	0.0	32.044	0.0	78.753	0.0		
-51	2020-03-15	162	0	4	0	149	0	87.986	0.0	2.172	0.0	80.925	0.0		
-50	2020-03-16	260	0	98	0	243	0	141.212	0.0	53.226	0.0	131.979	0.0		
-49	2020-03-17	310	0	50	0	281	0	168.368	0.0	27.156	0.0	152.618	0.0		
-48	2020-03-18	358	0	48	0	310	0	194.438	0.0	26.07	0.0	168.368	0.0		
-47	2020-03-19	432	0	74	0	344	0	234.63	0.0	40.191	0.0	186.835	0.0		
-46	2020-03-20	586	0	154	0	487	0	318.271	0.0	83.641	0.0	264.501	0.0		
-45	2020-03-21	587	0	1	0	429	0	318.814	0.0	0.543	0.0	233.0	0.0		
-44	2020-03-22	872	0	285	0	710	0	473.604	0.0	154.79	0.0	385.618	0.0		
-43	2020-03-23	943	0	71	0	683	0	512.166	0.0	38.562	0.0	370.954	0.0		
-42	2020-03-24	1043	0	100	0	733	0	566.478	0.0	54.312	0.0	398.11	0.0		
-41	2020-03-25	1262	0	219	0	904	0	685.423	0.0	118.944	0.0	490.984	0.0		
-40	2020-03-26	1265	0	3	0	833	0	687.052	0.0	1.629	0.0	452.422	0.0		
-39	2020-03-27	1693	2	428	2	1107	2	919.509	1.086	232.457	1.086	601.238	1.086		
-38	2020-03-28	1765	2	72	0	1178	2	958.614	1.086	39.105	0.0	639.8	1.086		
-37	2020-03-29	1846	4	81	2	974	4	1002.607	2.172	43.993	1.086	529.003	2.172		
-36	2020-03-30	2053	5	207	1	1110	5	1115.034	2.716	112.427	0.543	602.868	2.716		
-35	2020-03-31	2191	9	138	4	1148	9	1189.985	4.888	74.951	2.172	623.506	4.888		
-34	2020-04-01	2311	14	120	5	1049	14	1255.16	7.604	65.175	2.716	569.737	7.604		
-33	2020-04-02	2406	14	95	0	1141	14	1306.756	7.604	51.597	0.0	619.705	7.604		
-32	2020-04-03	2596	16	190	2	903	14	1409.95	8.69	103.194	1.086	490.441	7.604		
-31	2020-04-04	2697	16	101	0	932	14	1464.806	8.69	54.856	0.0	506.192	7.604		
-30	2020-04-05	2945	19	248	3	1099	15	1599.5	10.319	134.695	1.629	596.893	8.147		
-29	2020-04-06	2993	19	48	0	940	14	1625.57	10.319	26.07	0.0	510.537	7.604		
-28	2020-04-07	3059	20	66	1	868	11	1661.416	10.862	35.846	0.543	471.432	5.974		
-27	2020-04-08	3165	23	106	3	854	9	1718.988	12.492	57.571	1.629	463.828	4.888	16.0	9.2
-26	2020-04-09	3320	44	155	21	914	30	1803.172	23.897	84.184	11.406	496.415	16.294	18.0	3.6
-25	2020-04-10	3551	53	231	9	955	37	1928.633	28.786	125.462	4.888	518.683	20.096	17.2	2.7
-24	2020-04-11	3663	56	112	3	966	40	1989.463	30.415	60.83	1.629	524.658	21.725	17.6	3.0
-23	2020-04-12	3742	56	79	0	797	37	2032.37	30.415	42.907	0.0	432.87	20.096	16.9	3.8
-22	2020-04-13	3770	56	28	0	777	37	2047.578	30.415	15.207	0.0	422.007	20.096	18.8	5.2
-21	2020-04-14	3808	59	38	3	749	39	2068.216	32.044	20.639	1.629	406.8	21.182	23.4	7.9
-20	2020-04-15	3869	67	61	8	704	44	2101.347	36.389	33.131	4.345	382.359	23.897	31.9	13.4
-19	2020-04-16	3953	80	84	13	633	36	2146.969	43.45	45.622	7.061	343.798	19.552	43.5	10.6
-18	2020-04-17	4005	84	52	4	454	31	2175.212	45.622	28.242	2.172	246.578	16.837	48.0	8.5
-17	2020-04-18	4118	90	113	6	455	34	2236.585	48.881	61.373	3.259	247.121	18.466	43.2	7.5
-16	2020-04-19	4167	91	49	1	425	35	2263.198	49.424	26.613	0.543	230.828	19.009	39.4	8.1
-15	2020-04-20	4185	91	18	0	415	35	2272.974	49.424	9.776	0.0	225.396	19.009	41.3	10.6
-14	2020-04-21	4204	91	19	0	396	32	2283.294	49.424	10.319	0.0	215.077	17.38	48.7	17.0
-13	2020-04-22	4204	91	0	0	335	24	2283.294	49.424	0.0	0.0	181.947	13.035	66.1	36.5
-12	2020-04-23	4286	113	82	22	333	33	2327.83	61.373	44.536	11.949	180.86	17.923	77.1	19.7
-11	2020-04-24	4358	122	72	9	353	38	2366.935	66.261	39.105	4.888	191.723	20.639	83.5	12.9
-10	2020-04-25	4400	139	42	17	282	49	2389.746	75.494	22.811	9.233	153.161	26.613	73.0	8.5
-9	2020-04-26	4429	140	29	1	262	49	2405.496	76.037	15.751	0.543	142.299	26.613	65.1	7.9
-8	2020-04-27	4475	142	46	2	290	51	2430.48	77.124	24.984	1.086	157.506	27.699	61.2	8.6
-7	2020-04-28	4505	142	30	0	301	51	2446.774	77.124	16.294	0.0	163.48	27.699	63.1	11.3
-6	2020-04-29	4525	153	20	11	321	62	2457.636	83.098	10.862	5.974	174.343	33.674	79.3	16.5
-5	2020-04-30	4562	155	37	2	276	42	2477.732	84.184	20.096	1.086	149.902	22.811	92.5	21.5
-4	2020-05-01	4604	163	42	8	246	41	2500.543	88.529	22.811	4.345	133.609	22.268	94.1	25.0
-3	2020-05-02	4609	163	5	0	209	24	2503.259	88.529	2.716	0.0	113.513	13.035		23.6
-2	2020-05-03	4631	164	22	1	202	24	2515.207	89.072	11.949	0.543	109.711	13.035		25.7
-1	2020-05-04	4636	166	5	2	161	24	2517.923	90.159	2.716	1.086	87.443	13.035		30.5
0	2020-05-05	4644	172	8	6	139	30	2522.268	93.417	4.345	3.259	75.494	16.294		39.4
