Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-150	2020-02-28	25	0	25	0	0	0	1	0	1	0.0	0	0.0		
-149	2020-02-29	30	0	5	0	0	0	1	0	0	0.0	0	0.0		
-148	2020-03-01	74	0	44	0	0	0	4	0	2	0.0	0	0.0		
-147	2020-03-02	90	0	16	0	0	0	5	0	0	0.0	0	0.0		
-146	2020-03-03	103	0	13	0	0	0	5	0	0	0.0	0	0.0		
-145	2020-03-04	115	0	12	0	0	0	6	0	0	0.0	0	0.0		
-144	2020-03-05	181	0	66	0	0	0	10	0	3	0.0	0	0.0		
-143	2020-03-06	329	0	148	0	304	0	18	0	8	0.0	16	0.0		
-142	2020-03-07	373	0	44	0	343	0	20	0	2	0.0	19	0.0		
-141	2020-03-08	398	0	25	0	324	0	22	0	1	0.0	18	0.0		
-140	2020-03-09	484	0	86	0	394	0	26	0	4	0.0	21	0.0		
-139	2020-03-10	484	0	0	0	381	0	26	0	0	0.0	21	0.0		
-138	2020-03-11	484	0	0	0	369	0	26	0	0	0.0	20	0.0		
-137	2020-03-12	688	0	204	0	507	0	38	0	11	0.0	28	0.0		
-136	2020-03-13	936	0	248	0	607	0	52	0	13	0.0	33	0.0		
-135	2020-03-14	1154	0	218	0	781	0	64	0	12	0.0	43	0.0		
-134	2020-03-15	1407	0	253	0	1009	0	78	0	14	0.0	56	0.0		
-133	2020-03-16	1541	0	134	0	1057	0	85	0	7	0.0	58	0.0		
-132	2020-03-17	2105	6	564	6	1621	6	117	0	31	0.335	90	0.33		
-131	2020-03-18	2372	6	267	0	1888	6	132	0	14	0.0	105	0.33		
-130	2020-03-19	3033	6	661	0	2345	6	169	0	36	0.0	130	0.33		
-129	2020-03-20	3497	6	464	0	2561	6	195	0	25	0.0	142	0.33		
-128	2020-03-21	3542	6	45	0	2388	6	197	0	2	0.0	133	0.33		
-127	2020-03-22	3545	6	3	0	2138	6	197	0	0	0.0	119	0.33		
-126	2020-03-23	5615	28	2070	22	4074	28	313	1	115	1.227	227	1.56		
-125	2020-03-24	6318	33	703	5	4213	27	352	1	39	0.279	234	1.51		
-124	2020-03-25	7197	43	879	10	4825	37	401	2	49	0.558	269	2.06		
-123	2020-03-26	7924	53	727	10	4891	47	441	2	40	0.558	272	2.62		
-122	2020-03-27	9235	72	1311	19	5738	66	514	4	73	1.06	319	3.68		
-121	2020-03-28	10607	80	1372	8	7065	74	591	4	76	0.446	393	4.13		
-120	2020-03-29	11400	98	793	18	7855	92	635	5	44	1.004	438	5.13		
-119	2020-03-30	12178	101	778	3	6563	73	679	5	43	0.167	365	4.07		
-118	2020-03-31	13225	117	1047	16	6907	84	737	6	58	0.892	385	4.68		
-117	2020-04-01	14351	134	1126	17	7154	91	800	7	62	0.948	398	5.07		
-116	2020-04-02	15427	161	1076	27	7503	108	860	8	60	1.506	418	6.02		
-115	2020-04-03	16606	178	1179	17	7371	106	926	9	65	0.948	411	5.91		
-114	2020-04-04	17885	200	1279	22	7278	120	997	11	71	1.227	405	6.69		
-113	2020-04-05	18735	245	850	45	7335	147	1044	13	47	2.509	409	8.2		
-112	2020-04-06	19384	255	649	10	7206	154	1080	14	36	0.558	401	8.59		
-111	2020-04-07	20220	282	836	27	6995	165	1127	15	46	1.506	390	9.2		
-110	2020-04-08	20929	348	709	66	6578	214	1167	19	39	3.68	366	11.93		
-109	2020-04-09	21961	384	1032	36	6534	223	1224	21	57	2.008	364	12.44		
-108	2020-04-10	23028	446	1067	62	6422	268	1284	24	59	3.457	358	14.94		
-107	2020-04-11	23644	472	616	26	5759	272	1318	26	34	1.45	321	15.17		
-106	2020-04-12	24267	495	623	23	5532	250	1353	27	34	1.283	308	13.94		
-105	2020-04-13	24883	518	616	23	5499	263	1387	28	34	1.283	306	14.67		
-104	2020-04-14	25300	545	417	27	5080	263	1410	30	23	1.506	283	14.67		
-103	2020-04-15	25835	607	535	62	4906	259	1440	33	29	3.457	273	14.44		
-102	2020-04-16	26383	663	548	56	4422	279	1471	36	30	3.123	246	15.56		
-101	2020-04-17	27030	726	647	63	4002	280	1507	40	36	3.513	223	15.61		
-100	2020-04-18	28006	791	976	65	4362	319	1561	44	54	3.625	243	17.79		
-99	2020-04-19	28471	814	465	23	4204	319	1587	45	25	1.283	234	17.79		
-98	2020-04-20	28971	857	500	43	4088	339	1615	47	27	2.398	227	18.9		
-97	2020-04-21	29389	896	418	39	4089	351	1638	49	23	2.175	228	19.57		
-96	2020-04-22	30185	964	796	68	4350	357	1683	53	44	3.792	242	19.91		
-95	2020-04-23	30584	999	399	35	4201	336	1705	55	22	1.952	234	18.74		
-94	2020-04-24	31106	1052	522	53	4076	326	1734	58	29	2.955	227	18.18		
-93	2020-04-25	31465	1084	359	32	3459	293	1754	60	20	1.784	192	16.34		
-92	2020-04-26	31669	1096	204	12	3198	282	1765	61	11	0.669	178	15.73		
-91	2020-04-27	31879	1131	210	35	2908	274	1777	63	11	1.952	162	15.28		
-90	2020-04-28	32184	1171	305	40	2795	275	1794	65	17	2.231	155	15.34		
-89	2020-04-29	32429	1200	245	29	2244	236	1808	66	13	1.617	125	13.16		
-88	2020-04-30	32687	1219	258	19	2103	220	1822	67	14	1.06	117	12.27		
-87	2020-05-01	33058	1261	371	42	1952	209	1843	70	20	2.342	108	11.65		
-86	2020-05-02	33216	1268	158	7	1751	184	1852	70	8	0.39	97	10.26		
-85	2020-05-03	33428	1287	212	19	1759	191	1864	71	11	1.06	98	10.65		
-84	2020-05-04	33560	1290	132	3	1681	159	1871	71	7	0.167	93	8.87		
-83	2020-05-05	33728	1332	168	42	1544	161	1880	74	9	2.342	86	8.98		
-82	2020-05-06	33977	1358	249	26	1548	158	1894	75	13	1.45	86	8.81		
-81	2020-05-07	34249	1372	272	14	1562	153	1909	76	15	0.781	87	8.53		
-80	2020-05-08	34522	1397	273	25	1464	136	1925	77	15	1.394	81	7.58		
-79	2020-05-09	34817	1424	295	27	1601	156	1941	79	16	1.506	89	8.7		
-78	2020-05-10	34964	1425	147	1	1536	138	1949	79	8	0.056	85	7.7		
-77	2020-05-11	35132	1437	168	12	1572	147	1959	80	9	0.669	87	8.2		
-76	2020-05-12	35333	1456	201	19	1605	124	1970	81	11	1.06	89	6.91		
-75	2020-05-13	35555	1473	222	17	1578	115	1982	82	12	0.948	87	6.41		
-74	2020-05-14	35741	1483	186	10	1492	111	1993	82	10	0.558	83	6.19		
-73	2020-05-15	35967	1493	226	10	1445	96	2005	83	12	0.558	80	5.35		
-72	2020-05-16	36065	1500	98	7	1248	76	2011	83	5	0.39	69	4.24		
-71	2020-05-17	36286	1505	221	5	1322	80	2023	83	12	0.279	73	4.46		
-70	2020-05-18	36365	1512	79	7	1233	75	2027	84	4	0.39	68	4.18		
-69	2020-05-19	36485	1525	120	13	1152	69	2034	85	6	0.725	64	3.85		
-68	2020-05-20	36766	1537	281	12	1211	64	2050	85	15	0.669	67	3.57		
-67	2020-05-21	36912	1546	146	9	1171	63	2058	86	8	0.502	65	3.51		
-66	2020-05-22	37010	1547	98	1	1043	54	2063	86	5	0.056	58	3.01		
-65	2020-05-23	37139	1555	129	8	1074	55	2071	86	7	0.446	59	3.07		
-64	2020-05-24	37223	1563	84	8	937	58	2075	87	4	0.446	52	3.23		
-63	2020-05-25	37298	1565	75	2	933	53	2079	87	4	0.112	52	2.96		
-62	2020-05-26	37395	1571	97	6	910	46	2085	87	5	0.335	50	2.57		
-61	2020-05-27	37541	1577	146	6	775	40	2093	87	8	0.335	43	2.23		
-60	2020-05-28	37698	1582	157	5	786	36	2102	88	8	0.279	43	2.01		
-59	2020-05-29	37803	1588	105	6	793	41	2108	88	5	0.335	44	2.29		
-58	2020-05-30	37910	1595	107	7	771	40	2114	88	5	0.39	42	2.23		
-57	2020-05-31	38000	1597	90	2	777	34	2119	89	5	0.112	43	1.9		
-56	2020-06-01	38046	1598	46	1	748	33	2121	89	2	0.056	41	1.84		
-55	2020-06-02	38100	1599	54	1	705	28	2124	89	3	0.056	39	1.56		
-54	2020-06-03	38185	1607	85	8	644	30	2129	89	4	0.446	35	1.67		
-53	2020-06-04	38297	1611	112	4	599	29	2135	89	6	0.223	33	1.62		
-52	2020-06-05	38439	1617	142	6	636	29	2143	90	7	0.335	35	1.62		
-51	2020-06-06	38524	1622	85	5	614	27	2148	90	4	0.279	34	1.51		
-50	2020-06-07	38616	1623	92	1	616	26	2153	90	5	0.056	34	1.45		
-49	2020-06-08	38660	1623	44	0	614	25	2155	90	2	0.0	34	1.39		
-48	2020-06-09	38743	1635	83	12	643	36	2160	91	4	0.669	35	2.01		
-47	2020-06-10	38845	1636	102	1	660	29	2166	91	5	0.056	36	1.62		
-46	2020-06-11	38983	1641	138	5	686	30	2173	91	7	0.279	38	1.67		
-45	2020-06-12	39060	1643	77	2	621	26	2178	91	4	0.112	34	1.45		
-44	2020-06-13	39137	1643	77	0	613	21	2182	91	4	0.0	34	1.17		
-43	2020-06-14	39233	1645	96	2	617	22	2187	91	5	0.112	34	1.23		
-42	2020-06-15	39307	1646	74	1	647	23	2191	91	4	0.056	36	1.28		
-41	2020-06-16	39415	1648	108	2	672	13	2197	91	6	0.112	37	0.72		
-40	2020-06-17	39573	1655	158	7	728	19	2206	92	8	0.39	40	1.06		
-39	2020-06-18	39777	1658	204	3	794	17	2218	92	11	0.167	44	0.95		
-38	2020-06-19	40156	1660	379	2	1096	17	2239	92	21	0.112	61	0.95		
-37	2020-06-20	40372	1663	216	3	1235	20	2251	92	12	0.167	68	1.12		
-36	2020-06-21	40921	1663	549	0	1688	18	2281	92	30	0.0	94	1.0		
-35	2020-06-22	41218	1663	297	0	1911	17	2298	92	16	0.0	106	0.95		
-34	2020-06-23	41418	1665	200	2	2003	17	2309	92	11	0.112	111	0.95		
-33	2020-06-24	41678	1668	260	3	2105	13	2324	93	14	0.167	117	0.72		
-32	2020-06-25	41992	1669	314	1	2215	11	2341	93	17	0.056	123	0.61		
-31	2020-06-26	42150	1673	158	4	1994	13	2350	93	8	0.223	111	0.72		
-30	2020-06-27	42571	1674	421	1	2199	11	2373	93	23	0.056	122	0.61		
-29	2020-06-28	42723	1674	152	0	1802	11	2382	93	8	0.0	100	0.61		
-28	2020-06-29	42869	1678	146	4	1651	15	2390	93	8	0.223	92	0.84		
-27	2020-06-30	43066	1680	197	2	1648	15	2401	93	10	0.112	91	0.84		
-26	2020-07-01	43242	1683	176	3	1564	15	2411	93	9	0.167	87	0.84		
-25	2020-07-02	43436	1684	194	1	1444	15	2422	93	10	0.056	80	0.84		
-24	2020-07-03	43660	1686	224	2	1510	13	2434	94	12	0.112	84	0.72		
-23	2020-07-04	43853	1688	193	2	1282	14	2445	94	10	0.112	71	0.78		
-22	2020-07-05	43990	1687	137	0	1267	13	2453	94	7	0.0	70	0.72		
-21	2020-07-06	44064	1689	74	2	1195	11	2457	94	4	0.112	66	0.61		
-20	2020-07-07	44158	1689	94	0	1092	9	2462	94	5	0.0	60	0.5		
-19	2020-07-08	44306	1696	148	7	1064	13	2470	94	8	0.39	59	0.72		
-18	2020-07-09	44492	1698	186	2	1056	14	2481	94	10	0.112	58	0.78		
-17	2020-07-10	44645	1701	153	3	985	15	2489	94	8	0.167	54	0.84		
-16	2020-07-11	44788	1704	143	3	935	16	2497	95	7	0.167	52	0.89		
-15	2020-07-12	44915	1704	127	0	925	17	2504	95	7	0.0	51	0.95		
-14	2020-07-13	44974	1705	59	1	910	16	2507	95	3	0.056	50	0.89		
-13	2020-07-14	45115	1707	141	2	957	18	2515	95	7	0.112	53	1.0		
-12	2020-07-15	45233	1708	118	1	927	12	2522	95	6	0.056	51	0.67		
-11	2020-07-16	45388	1711	155	3	896	13	2531	95	8	0.167	49	0.72		
-10	2020-07-17	45710	1711	322	0	1065	10	2548	95	17	0.0	59	0.56		
-9	2020-07-18	45910	1712	200	1	1122	8	2560	95	11	0.056	62	0.45		
-8	2020-07-19	46024	1712	114	0	1109	8	2566	95	6	0.0	61	0.45		
-7	2020-07-20	46075	1713	51	1	1101	8	2569	95	2	0.056	61	0.45		
-6	2020-07-21	46213	1714	138	1	1098	7	2577	95	7	0.056	61	0.39		
-5	2020-07-22	46367	1717	154	3	1134	9	2585	95	8	0.167	63	0.5		
-4	2020-07-23	46615	1721	248	4	1227	10	2599	95	13	0.223	68	0.56		
-3	2020-07-24	46956	1726	341	5	1246	15	2618	96	19	0.279	69	0.84		
-2	2020-07-25	47257	1728	301	2	1347	16	2635	96	16	0.112	75	0.89		
-1	2020-07-26	47430	1728	173	0	1406	16	2644	96	9	0.0	78	0.89		
0	2020-07-27	47471	1728	41	0	1396	15	2647	96	2	0.0	77	0.84		
