Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-116	2020-02-28	2	0	2	0	0	0	0	0	0	0	0	0		
-115	2020-02-29	1	0	0	0	0	0	0	0	0	0	0	0		
-114	2020-03-01	2	0	1	0	0	0	0	0	0	0	0	0		
-113	2020-03-02	2	0	0	0	0	0	0	0	0	0	0	0		
-112	2020-03-03	2	0	0	0	0	0	0	0	0	0	0	0		
-111	2020-03-04	7	0	5	0	0	0	2	0	1	0	0	0		
-110	2020-03-05	8	0	1	0	0	0	2	0	0	0	0	0		
-109	2020-03-06	10	0	2	0	8	0	2	0	0	0	2	0		
-108	2020-03-07	13	0	3	0	12	0	3	0	1	0	3	0		
-107	2020-03-08	19	0	6	0	17	0	5	0	1	0	4	0		
-106	2020-03-09	17	0	0	0	15	0	4	0	0	0	4	0		
-105	2020-03-10	25	0	8	0	23	0	6	0	2	0	6	0		
-104	2020-03-11	25	0	0	0	18	0	6	0	0	0	4	0		
-103	2020-03-12	52	0	27	0	44	0	13	0	7	0	11	0		
-102	2020-03-13	102	0	50	0	92	0	25	0	12	0	23	0		
-101	2020-03-14	121	0	19	0	108	0	30	0	5	0	26	0		
-100	2020-03-15	168	0	47	0	149	0	41	0	12	0	36	0		
-99	2020-03-16	325	0	157	0	308	0	80	0	38	0	75	0		
-98	2020-03-17	442	0	117	0	417	0	108	0	29	0	102	0		
-97	2020-03-18	474	0	32	0	449	0	116	0	8	0	110	0		
-96	2020-03-19	637	0	163	0	585	0	156	0	40	0	143	0		
-95	2020-03-20	801	1	164	1	699	1	196	0	40	0	171	0		
-94	2020-03-21	938	1	137	0	817	1	230	0	34	0	200	0		
-93	2020-03-22	1053	2	115	1	885	2	258	0	28	0	217	0		
-92	2020-03-23	1177	2	124	0	852	2	288	0	30	0	209	0		
-91	2020-03-24	1370	5	193	3	928	5	335	1	47	1	227	1		
-90	2020-03-25	1591	5	221	0	1117	5	389	1	54	0	273	1		
-89	2020-03-26	1816	6	225	1	1179	6	445	1	55	0	289	1		
-88	2020-03-27	1971	8	155	2	1170	7	483	2	38	0	286	2		
-87	2020-03-28	2212	11	241	3	1274	10	542	3	59	1	312	2		
-86	2020-03-29	2396	12	184	1	1343	10	587	3	45	0	329	2		
-85	2020-03-30	2584	18	188	6	1407	16	633	4	46	1	344	4		
-84	2020-03-31	2726	19	142	1	1356	14	667	5	35	0	332	3		
-83	2020-04-01	2899	23	173	4	1308	18	710	6	42	1	320	4		
-82	2020-04-02	3132	26	233	3	1316	20	767	6	57	1	322	5		
-81	2020-04-03	3362	26	230	0	1391	18	823	6	56	0	341	4		
-80	2020-04-04	3504	29	142	3	1292	18	858	7	35	1	316	4		
-79	2020-04-05	3663	32	159	3	1267	20	897	8	39	1	310	5		
-78	2020-04-06	3882	32	219	0	1298	14	950	8	54	0	318	3		
-77	2020-04-07	3992	34	110	2	1266	15	977	8	27	0	310	4		
-76	2020-04-08	4148	45	156	11	1249	22	1015	11	38	3	306	5		
-75	2020-04-09	4336	50	188	5	1204	24	1061	12	46	1	295	6		
-74	2020-04-10	4440	51	104	1	1078	25	1087	12	25	0	264	6		
-73	2020-04-11	4622	59	182	8	1118	30	1132	14	45	2	274	7		
-72	2020-04-12	4734	64	112	5	1071	32	1159	16	27	1	262	8		
-71	2020-04-13	4810	68	76	4	928	36	1178	17	19	1	227	9		
-70	2020-04-14	4880	70	70	2	888	36	1195	17	17	0	217	9		
-69	2020-04-15	5004	77	124	7	856	32	1225	19	30	2	210	8		
-68	2020-04-16	5087	87	83	10	751	37	1245	21	20	2	184	9		
-67	2020-04-17	5211	92	124	5	771	41	1276	23	30	1	189	10		
-66	2020-04-18	5324	99	113	7	702	40	1303	24	28	2	172	10		
-65	2020-04-19	5432	106	108	7	698	42	1330	26	26	2	171	10		
-64	2020-04-20	5523	107	91	1	713	39	1352	26	22	0	175	10		
-63	2020-04-21	5561	116	38	9	681	46	1361	28	9	2	167	11		
-62	2020-04-22	5593	122	32	6	589	45	1369	30	8	1	144	11		
-61	2020-04-23	5643	131	50	9	556	44	1381	32	12	2	136	11		
-60	2020-04-24	5731	136	88	5	520	44	1403	33	22	1	127	11		
-59	2020-04-25	5767	138	36	2	443	39	1412	34	9	0	108	10		
-58	2020-04-26	5835	147	68	9	403	41	1428	36	17	2	99	10		
-57	2020-04-27	5879	152	44	5	356	45	1439	37	11	1	87	11		
-56	2020-04-28	5928	157	49	5	367	41	1451	38	12	1	90	10		
-55	2020-04-29	5982	161	54	4	389	39	1464	39	13	1	95	10		
-54	2020-04-30	6029	166	47	5	386	35	1476	41	12	1	94	9		
-53	2020-05-01	6086	172	57	6	355	36	1490	42	14	1	87	9		
-52	2020-05-02	6099	173	13	1	332	35	1493	42	3	0	81	9		
-51	2020-05-03	6133	176	34	3	298	29	1501	43	8	1	73	7		
-50	2020-05-04	6150	177	17	1	271	25	1506	43	4	0	66	6		
-49	2020-05-05	6160	182	10	5	232	25	1508	45	2	1	57	6		
-48	2020-05-06	6191	187	31	5	209	26	1516	46	8	1	51	6		
-47	2020-05-07	6213	189	22	2	184	23	1521	46	5	0	45	6		
-46	2020-05-08	6241	192	28	3	155	20	1528	47	7	1	38	5		
-45	2020-05-09	6282	195	41	3	183	22	1538	48	10	1	45	5		
-44	2020-05-10	6291	195	9	0	158	19	1540	48	2	0	39	5		
-43	2020-05-11	6313	195	22	0	163	18	1545	48	5	0	40	4		
-42	2020-05-12	6355	206	42	11	195	24	1556	50	10	3	48	6		
-41	2020-05-13	6360	207	5	1	169	20	1557	51	1	0	41	5		
-40	2020-05-14	6382	212	22	5	169	23	1562	52	5	1	41	6		
-39	2020-05-15	6413	213	31	1	172	21	1570	52	8	0	42	5		
-38	2020-05-16	6449	216	36	3	167	21	1579	53	9	1	41	5		
-37	2020-05-17	6449	216	0	0	158	21	1579	53	0	0	39	5		
-36	2020-05-18	6490	217	41	1	177	22	1589	53	10	0	43	5		
-35	2020-05-19	6520	222	30	5	165	16	1596	54	7	1	40	4		
-34	2020-05-20	6529	222	9	0	169	15	1598	54	2	0	41	4		
