# Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-49	2020-02-28	1	0	1	0	0.345	0.0	0.345	0.0		
-48	2020-02-29	1	0	0	0	0.345	0.0	0.0	0.0		
-47	2020-03-01	2	0	1	0	0.69	0.0	0.345	0.0		
-46	2020-03-02	2	0	0	0	0.69	0.0	0.0	0.0		
-45	2020-03-03	2	0	0	0	0.69	0.0	0.0	0.0		
-44	2020-03-04	2	0	0	0	0.69	0.0	0.0	0.0		
-43	2020-03-05	7	0	5	0	2.417	0.0	1.726	0.0		
-42	2020-03-06	7	0	0	0	2.417	0.0	0.0	0.0		
-41	2020-03-07	8	0	1	0	2.762	0.0	0.345	0.0		
-40	2020-03-08	7	0	-1	0	2.417	0.0	-0.345	0.0		
-39	2020-03-09	9	0	2	0	3.107	0.0	0.69	0.0		
-38	2020-03-10	9	0	0	0	3.107	0.0	0.0	0.0		
-37	2020-03-11	27	0	18	0	9.321	0.0	6.214	0.0		
-36	2020-03-12	31	0	4	0	10.702	0.0	1.381	0.0		
-35	2020-03-13	48	0	17	0	16.571	0.0	5.869	0.0		
-34	2020-03-14	60	0	12	0	20.713	0.0	4.143	0.0		
-33	2020-03-15	103	0	43	0	35.558	0.0	14.844	0.0		
-32	2020-03-16	123	0	20	0	42.462	0.0	6.904	0.0		
-31	2020-03-17	127	0	4	0	43.843	0.0	1.381	0.0		
-30	2020-03-18	159	0	32	0	54.89	0.0	11.047	0.0		
-29	2020-03-19	202	0	43	0	69.735	0.0	14.844	0.0		
-28	2020-03-20	266	1	64	1	91.829	0.345	22.094	0.345		
-27	2020-03-21	308	1	42	0	106.328	0.345	14.499	0.0	3.3	
-26	2020-03-22	347	1	39	0	119.791	0.345	13.464	0.0	3.7	
-25	2020-03-23	383	1	36	0	132.219	0.345	12.428	0.0	4.1	
-24	2020-03-24	478	2	95	1	165.015	0.69	32.796	0.345	4.1	3.4
-23	2020-03-25	577	3	99	1	199.192	1.036	34.177	0.345	4.1	2.2
-22	2020-03-26	675	3	98	0	233.024	1.036	33.832	0.0	4.2	2.8
-21	2020-03-27	812	4	137	1	280.319	1.381	47.295	0.345	4.1	2.8
-20	2020-03-28	915	4	103	0	315.877	1.381	35.558	0.0	4.2	3.3
-19	2020-03-29	1005	6	90	2	346.947	2.071	31.07	0.69	4.5	3.1
-18	2020-03-30	1049	7	44	1	362.136	2.417	15.19	0.345	5.2	3.2
-17	2020-03-31	1120	9	71	2	386.647	3.107	24.511	0.69	6.3	3.3
-16	2020-04-01	1246	10	126	1	430.145	3.452	43.498	0.345	7.2	3.6
-15	2020-04-02	1335	11	89	1	460.869	3.797	30.725	0.345	8.1	3.9
-14	2020-04-03	1443	15	108	4	498.153	5.178	37.284	1.381	8.8	3.7
-13	2020-04-04	1559	17	116	2	538.199	5.869	40.046	0.69	9.1	3.8
-12	2020-04-05	1631	18	72	1	563.055	6.214	24.856	0.345	9.4	4.4
-11	2020-04-06	1671	20	40	2	576.863	6.904	13.809	0.69	10.3	4.9
-10	2020-04-07	1730	24	59	4	597.231	8.285	20.368	1.381	11.8	5.1
-9	2020-04-08	1827	28	97	4	630.718	9.666	33.486	1.381	13.5	5.0
-8	2020-04-09	1932	34	105	6	666.966	11.737	36.248	2.071	14.4	4.7
-7	2020-04-10	2029	38	97	4	700.452	13.118	33.486	1.381	15.1	4.8
-6	2020-04-11	2065	39	36	1	712.88	13.464	12.428	0.345	16.3	5.3
-5	2020-04-12	2118	41	53	2	731.177	14.154	18.297	0.69	17.2	6.0
-4	2020-04-13	2134	44	16	3	736.7	15.19	5.524	1.036	19.1	7.0
-3	2020-04-14	2164	49	30	5	747.057	16.916	10.357	1.726	22.9	8.0
-2	2020-04-15	2245	54	81	5	775.02	18.642	27.963	1.726	27.2	8.6
-1	2020-04-16	2294	55	49	1	791.936	18.987	16.916	0.345	31.5	9.8
0	2020-04-17	2349	59	55	4	810.923	20.368	18.987	1.381	33.2	10.1
