# day	date	infections	deaths	new infections	new deaths	infections per million	deaths per million	new infections per million	new deaths per million	fitted_infection_doublication_time_last_7_days
-36	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0	
-35	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0	
-34	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0	
-33	2020-03-02	0	0	0	0	0.0	0.0	0.0	0.0	
-32	2020-03-03	1	0	1	0	0.245	0.0	0.245	0.0	
-31	2020-03-04	1	0	0	0	0.245	0.0	0.0	0.0	
-30	2020-03-05	1	0	0	0	0.245	0.0	0.0	0.0	
-29	2020-03-06	2	0	1	0	0.49	0.0	0.245	0.0	
-28	2020-03-07	4	0	2	0	0.981	0.0	0.49	0.0	
-27	2020-03-08	4	0	0	0	0.981	0.0	0.0	0.0	1.8
-26	2020-03-09	12	0	8	0	2.943	0.0	1.962	0.0	1.0
-25	2020-03-10	22	0	10	0	5.395	0.0	2.452	0.0	1.0
-24	2020-03-11	26	0	4	0	6.376	0.0	0.981	0.0	1.5
-23	2020-03-12	45	0	19	0	11.035	0.0	4.659	0.0	1.5
-22	2020-03-13	83	0	38	0	20.354	0.0	9.319	0.0	1.3
-21	2020-03-14	93	0	10	0	22.806	0.0	2.452	0.0	1.8
-20	2020-03-15	130	0	37	0	31.879	0.0	9.073	0.0	2.0
-19	2020-03-16	140	0	10	0	34.331	0.0	2.452	0.0	2.5
-18	2020-03-17	182	0	42	0	44.631	0.0	10.299	0.0	2.7
-17	2020-03-18	198	0	16	0	48.554	0.0	3.924	0.0	3.3
-16	2020-03-19	275	0	77	0	67.437	0.0	18.882	0.0	3.3
-15	2020-03-20	394	0	119	0	96.618	0.0	29.182	0.0	2.9
-14	2020-03-21	567	0	173	0	139.042	0.0	42.424	0.0	2.4
-13	2020-03-22	606	0	39	0	148.606	0.0	9.564	0.0	2.7
-12	2020-03-23	653	0	47	0	160.131	0.0	11.526	0.0	3.2
-11	2020-03-24	811	1	158	1	198.877	0.245	38.745	0.245	3.5
-10	2020-03-25	959	6	148	5	235.17	1.471	36.293	1.226	3.8
-9	2020-03-26	1141	7	182	1	279.801	1.717	44.631	0.245	4.0
-8	2020-03-27	1305	7	164	0	320.018	1.717	40.217	0.0	4.4
-7	2020-03-28	1432	9	127	2	351.161	2.207	31.143	0.49	4.8
-6	2020-03-29	1617	9	185	0	396.528	2.207	45.366	0.0	4.9
-5	2020-03-30	1795	9	178	0	440.178	2.207	43.65	0.0	5.3
-4	2020-03-31	1882	12	87	3	461.512	2.943	21.335	0.736	6.1
-3	2020-04-01	2034	17	152	5	498.786	4.169	37.274	1.226	7.0
-2	2020-04-02	2183	18	149	1	535.325	4.414	36.538	0.245	7.9
-1	2020-04-03	2336	21	153	3	572.844	5.15	37.519	0.736	8.7
0	2020-04-04	2591	24	255	3	635.376	5.885	62.532	0.736	8.8
