Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-116	2020-02-28	0	0	0	0	0	0	0	0	0	0	0	0		
-115	2020-02-29	0	0	0	0	0	0	0	0	0	0	0	0		
-114	2020-03-01	0	0	0	0	0	0	0	0	0	0	0	0		
-113	2020-03-02	0	0	0	0	0	0	0	0	0	0	0	0		
-112	2020-03-03	0	0	0	0	0	0	0	0	0	0	0	0		
-111	2020-03-04	0	0	0	0	0	0	0	0	0	0	0	0		
-110	2020-03-05	0	0	0	0	0	0	0	0	0	0	0	0		
-109	2020-03-06	0	0	0	0	0	0	0	0	0	0	0	0		
-108	2020-03-07	0	0	0	0	0	0	0	0	0	0	0	0		
-107	2020-03-08	0	0	0	0	0	0	0	0	0	0	0	0		
-106	2020-03-09	0	0	0	0	0	0	0	0	0	0	0	0		
-105	2020-03-10	7	0	7	0	7	0	3	0	3	0	3	0		
-104	2020-03-11	15	0	8	0	15	0	7	0	4	0	7	0		
-103	2020-03-12	27	0	12	0	27	0	12	0	5	0	12	0		
-102	2020-03-13	42	0	15	0	42	0	19	0	7	0	19	0		
-101	2020-03-14	45	0	3	0	45	0	20	0	1	0	20	0		
-100	2020-03-15	47	0	2	0	47	0	21	0	1	0	21	0		
-99	2020-03-16	77	0	30	0	77	0	35	0	14	0	35	0		
-98	2020-03-17	58	0	0	0	51	0	26	0	0	0	23	0		
-97	2020-03-18	105	0	47	0	90	0	48	0	21	0	41	0		
-96	2020-03-19	140	0	35	0	113	0	63	0	16	0	51	0		
-95	2020-03-20	180	0	40	0	138	0	82	0	18	0	62	0		
-94	2020-03-21	188	1	8	1	143	1	85	0	4	0	65	0		
-93	2020-03-22	211	0	23	0	164	0	96	0	10	0	74	0		
-92	2020-03-23	212	0	1	0	135	0	96	0	0	0	61	0		
-91	2020-03-24	321	0	109	0	263	0	145	0	49	0	119	0		
