Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-116	2020-02-28	0	0	0	0	0	0	0	0	0	0	0	0		
-115	2020-02-29	0	0	0	0	0	0	0	0	0	0	0	0		
-114	2020-03-01	0	0	0	0	0	0	0	0	0	0	0	0		
-113	2020-03-02	0	0	0	0	0	0	0	0	0	0	0	0		
-112	2020-03-03	1	0	1	0	0	0	0	0	0	0	0	0		
-111	2020-03-04	1	0	0	0	0	0	0	0	0	0	0	0		
-110	2020-03-05	1	0	0	0	0	0	0	0	0	0	0	0		
-109	2020-03-06	1	0	0	0	1	0	0	0	0	0	0	0		
-108	2020-03-07	2	0	1	0	2	0	1	0	0	0	1	0		
-107	2020-03-08	2	0	0	0	2	0	1	0	0	0	1	0		
-106	2020-03-09	2	0	0	0	2	0	1	0	0	0	1	0		
-105	2020-03-10	4	0	2	0	3	0	2	0	1	0	1	0		
-104	2020-03-11	10	0	6	0	9	0	5	0	3	0	4	0		
-103	2020-03-12	14	0	4	0	13	0	7	0	2	0	6	0		
-102	2020-03-13	29	0	15	0	28	0	14	0	7	0	13	0		
-101	2020-03-14	46	0	17	0	44	0	21	0	8	0	21	0		
-100	2020-03-15	51	0	5	0	49	0	24	0	2	0	23	0		
-99	2020-03-16	55	0	4	0	53	0	26	0	2	0	25	0		
-98	2020-03-17	51	0	0	0	47	0	24	0	0	0	22	0		
-97	2020-03-18	74	0	23	0	64	0	35	0	11	0	30	0		
-96	2020-03-19	98	0	24	0	84	0	46	0	11	0	39	0		
-95	2020-03-20	149	0	51	0	120	0	70	0	24	0	56	0		
-94	2020-03-21	187	0	38	0	141	0	87	0	18	0	66	0		
-93	2020-03-22	216	0	29	0	165	0	101	0	14	0	77	0		
-92	2020-03-23	249	0	33	0	194	0	116	0	15	0	91	0		
-91	2020-03-24	327	1	78	1	276	1	153	0	36	0	129	0		
