State	Short	a	b	Cases	Cases_Doubling_Time	factor t+1	cases t+1	factor t+7	cases t+7
Baden-Württemberg	BW	32146	32111.758	0.007	96.436	1.007	32377	1.052	33804
Bayern	BY	42658	42721.191	0.007	92.665	1.008	42978	1.054	44951
Berlin	BE	5943	5939.270	0.010	66.194	1.011	6005	1.076	6394
Brandenburg	BB	2886	2892.663	0.012	56.195	1.012	2921	1.090	3146
Bremen	HB	871	875.135	0.030	22.972	1.031	897	1.235	1075
Hamburg	HH	4609	4621.893	0.007	102.919	1.007	4640	1.048	4831
Hessen	HE	8486	8477.609	0.012	58.911	1.012	8586	1.086	9214
Mecklenburg-Vorpommern	MV	695	696.670	0.006	111.554	1.006	699	1.044	725
Niedersachsen	NI	10246	10225.643	0.008	91.782	1.008	10323	1.054	10802
Nordrhein-Westfalen	NW	33216	33255.335	0.008	83.935	1.008	33491	1.060	35192
Rheinland-Pfalz	RP	6099	6117.685	0.008	88.825	1.008	6146	1.056	6441
Saarland	SL	2597	2592.783	0.008	90.210	1.008	2617	1.055	2740
Sachsen	SN	4617	4619.815	0.007	96.848	1.007	4650	1.051	4854
Sachsen-Anhalt	ST	1571	1572.637	0.008	83.131	1.008	1584	1.060	1665
Schleswig-Holstein	SH	2728	2728.057	0.006	107.467	1.006	2745	1.046	2853
Thüringen	TH	2335	2340.488	0.020	34.745	1.020	2382	1.150	2684
Deutschland	DE-total	161703	161785.628	0.008	83.898	1.008	163044	1.060	171330
