# Country	Population	Date	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Continent
Afghanistan	37172386	2020-04-13	665	21	18.0	1.0	8.0	0.0	Asia
Albania	2866376	2020-04-13	467	23	163.0	8.0	31.0	1.0	Europe
Algeria	42228429	2020-04-13	1983	313	47.0	7.0	13.0	3.0	Africa
Andorra	77006	2020-04-13	646	29	8389.0	377.0	1571.0	104.0	Europe
Angola	30809762	2020-04-12	19	2	1.0	0.0	0.0	0.0	Africa
Antigua and Barbuda	96286	2020-04-13	23	2	239.0	21.0	83.0	21.0	North America
Argentina	44494502	2020-04-13	2208	97	50.0	2.0	15.0	1.0	South America
Armenia	2951776	2020-04-13	1039	14	352.0	5.0	70.0	2.0	Asia
Australia	24992369	2020-04-13	6351	61	254.0	2.0	22.0	1.0	Oceania
Austria	8847037	2020-04-13	14041	368	1587.0	42.0	197.0	17.0	Europe
Azerbaijan	9942334	2020-04-13	1148	12	115.0	1.0	51.0	1.0	Asia
Bahamas	385640	2020-04-13	47	8	122.0	21.0	47.0	8.0	North America
Bahrain	1569439	2020-04-13	1361	6	867.0	4.0	385.0	1.0	Asia
Bangladesh	161356039	2020-04-13	803	39	5.0	0.0	4.0	0.0	Asia
Barbados	286641	2020-04-13	72	4	251.0	14.0	42.0	7.0	North America
Belarus	9485386	2020-04-13	2919	29	308.0	3.0	234.0	2.0	Europe
Belgium	11422068	2020-04-13	30589	3903	2678.0	342.0	856.0	199.0	Europe
Belize	383071	2020-04-13	18	2	47.0	5.0	29.0	3.0	North America
Benin	11485048	2020-04-12	35	1	3.0	0.0	1.0	0.0	Africa
Bhutan	754394	2020-04-12	5	0	7.0	0.0	0.0	0.0	Asia
Bolivia	11353142	2020-04-13	330	27	29.0	2.0	13.0	1.0	South America
Bosnia and Herzegovina	3323929	2020-04-13	1037	39	312.0	12.0	109.0	3.0	Europe
Botswana	2254126	2020-04-12	13	1	6.0	0.0	3.0	0.0	Africa
Brazil	209469333	2020-04-13	23430	1328	112.0	6.0	54.0	4.0	South America
Brunei	428962	2020-04-12	136	1	317.0	2.0	2.0	0.0	Asia
Bulgaria	7000039	2020-04-13	685	32	98.0	5.0	19.0	1.0	Europe
Burkina Faso	19751535	2020-04-12	497	27	25.0	1.0	8.0	1.0	Africa
