Country	Date	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million
Austria	2020-06-23	8902600	17408	693	1967	78
Belgium	2020-06-23	11515793	60810	9713	5323	850
Canada	2020-06-23	37894799	103767	8512	2800	229
Czechia	2020-06-23	10649800	10650	339	1002	31
Denmark	2020-06-23	5822763	12761	603	2201	104
Finland	2020-06-23	5521158	7155	327	1296	59
France	2020-06-23	67022000	197804	29723	2952	443
Germany	2020-06-23	83149300	192480	8914	2321	107
Greece	2020-06-23	10768477	3302	190	307	17
Hungary	2020-06-23	9772756	4107	573	420	58
Iran	2020-06-23	83183741	209970	9863	2566	120
Italy	2020-06-23	60317546	238833	34675	3952	573
Japan	2020-06-23	126150000	17879	965	141	7
Netherlands	2020-06-23	17424978	49930	6114	2897	354
Portugal	2020-06-23	10276617	39737	1540	3864	149
South Korea	2020-06-23	51709098	12535	281	242	5
Spain	2020-06-23	46733038	246752	28325	5281	606
Sweden	2020-06-23	10333456	60837	5161	5974	506
Switzerland	2020-06-23	8570146	31332	1956	3678	229
Turkey	2020-06-23	83154997	190165	5001	2310	60
United Kingdom	2020-06-23	67545757	307682	43011	4627	646
United States	2020-06-23	328239523	2347022	121228	7173	370
