Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-69	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-67	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-66	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-65	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-64	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-63	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-62	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-61	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-60	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-59	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-58	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-57	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-56	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-55	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-54	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-53	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-52	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-51	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-50	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-49	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-48	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-47	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-46	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-45	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-44	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-43	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-42	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-41	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-40	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-39	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-38	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-37	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-36	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-35	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-34	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-33	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-32	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-31	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-30	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-29	2020-03-02	1	0	1	0	12.986	0.0	12.986	0.0						12.986	0.0
-28	2020-03-03	1	0	0	0	12.986	0.0	0.0	0.0						12.986	0.0
-27	2020-03-04	1	0	0	0	12.986	0.0	0.0	0.0						12.986	0.0
-26	2020-03-05	1	0	0	0	12.986	0.0	0.0	0.0						12.986	0.0
-25	2020-03-06	1	0	0	0	12.986	0.0	0.0	0.0						12.986	0.0
-24	2020-03-07	1	0	0	0	12.986	0.0	0.0	0.0						12.986	0.0
-23	2020-03-08	1	0	0	0	12.986	0.0	0.0	0.0						12.986	0.0
-22	2020-03-09	1	0	0	0	12.986	0.0	0.0	0.0						0.0	0.0
-21	2020-03-10	1	0	0	0	12.986	0.0	0.0	0.0						0.0	0.0
-20	2020-03-11	1	0	0	0	12.986	0.0	0.0	0.0						0.0	0.0
-19	2020-03-12	1	0	0	0	12.986	0.0	0.0	0.0						0.0	0.0
-18	2020-03-13	1	0	0	0	12.986	0.0	0.0	0.0						0.0	0.0
-17	2020-03-14	1	0	0	0	12.986	0.0	0.0	0.0						0.0	0.0
-16	2020-03-15	1	0	0	0	12.986	0.0	0.0	0.0						0.0	0.0
-15	2020-03-16	2	0	1	0	25.972	0.0	12.986	0.0						12.986	0.0
-14	2020-03-17	39	0	37	0	506.454	0.0	480.482	0.0						493.468	0.0
-13	2020-03-18	39	0	0	0	506.454	0.0	0.0	0.0						493.468	0.0
-12	2020-03-19	53	0	14	0	688.258	0.0	181.804	0.0						675.272	0.0
-11	2020-03-20	75	0	22	0	973.95	0.0	285.692	0.0						960.964	0.0
-10	2020-03-21	88	0	13	0	1142.768	0.0	168.818	0.0						1129.782	0.0
-9	2020-03-22	113	1	25	1	1467.418	12.986	324.65	12.986						1454.432	12.986
-8	2020-03-23	133	1	20	0	1727.138	12.986	259.72	0.0			1.177			1701.166	12.986
-7	2020-03-24	164	1	31	0	2129.704	12.986	402.566	0.0			1.233			1623.25	12.986
-6	2020-03-25	188	1	24	0	2441.368	12.986	311.664	0.0			1.146			1934.914	12.986
-5	2020-03-26	224	3	36	2	2908.864	38.958	467.496	25.972			1.191		0	2220.606	38.958
-4	2020-03-27	267	3	43	0	3467.262	38.958	558.398	0.0			1.192		1	2493.312	38.958
-3	2020-03-28	308	3	41	0	3999.688	38.958	532.426	0.0			1.154		2	2856.92	38.958
-2	2020-03-29	334	6	26	3	4337.324	77.916	337.636	38.958			1.084		3	2869.906	64.93
-1	2020-03-30	370	8	36	2	4804.82	103.888	467.496	25.972			1.108		4	3077.682	90.902
0	2020-03-31	376	12	6	4	4883.0	156.0	77.916	51.944			1.016		5	2753.0	143.0
