Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-106	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-105	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-104	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-103	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-102	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-101	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-100	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-99	2020-01-29	4	0	4	0	0.415	0.0	0.415	0.0						0.415	0.0
-98	2020-01-30	4	0	0	0	0.415	0.0	0.0	0.0						0.415	0.0
-97	2020-01-31	4	0	0	0	0.415	0.0	0.0	0.0						0.415	0.0
-96	2020-02-01	4	0	0	0	0.415	0.0	0.0	0.0						0.415	0.0
-95	2020-02-02	5	0	1	0	0.519	0.0	0.104	0.0						0.519	0.0
-94	2020-02-03	5	0	0	0	0.519	0.0	0.0	0.0						0.519	0.0
-93	2020-02-04	5	0	0	0	0.519	0.0	0.0	0.0						0.519	0.0
-92	2020-02-05	5	0	0	0	0.519	0.0	0.0	0.0						0.104	0.0
-91	2020-02-06	5	0	0	0	0.519	0.0	0.0	0.0						0.104	0.0
-90	2020-02-07	5	0	0	0	0.519	0.0	0.0	0.0						0.104	0.0
-89	2020-02-08	7	0	2	0	0.727	0.0	0.208	0.0						0.311	0.0
-88	2020-02-09	7	0	0	0	0.727	0.0	0.0	0.0						0.208	0.0
-87	2020-02-10	8	0	1	0	0.831	0.0	0.104	0.0						0.311	0.0
-86	2020-02-11	8	0	0	0	0.831	0.0	0.0	0.0						0.311	0.0
-85	2020-02-12	8	0	0	0	0.831	0.0	0.0	0.0						0.311	0.0
-84	2020-02-13	8	0	0	0	0.831	0.0	0.0	0.0						0.311	0.0
-83	2020-02-14	8	0	0	0	0.831	0.0	0.0	0.0						0.311	0.0
-82	2020-02-15	8	0	0	0	0.831	0.0	0.0	0.0						0.104	0.0
-81	2020-02-16	9	0	1	0	0.934	0.0	0.104	0.0						0.208	0.0
-80	2020-02-17	9	0	0	0	0.934	0.0	0.0	0.0						0.104	0.0
-79	2020-02-18	9	0	0	0	0.934	0.0	0.0	0.0						0.104	0.0
-78	2020-02-19	9	0	0	0	0.934	0.0	0.0	0.0						0.104	0.0
-77	2020-02-20	9	0	0	0	0.934	0.0	0.0	0.0						0.104	0.0
-76	2020-02-21	9	0	0	0	0.934	0.0	0.0	0.0						0.104	0.0
-75	2020-02-22	13	0	4	0	1.35	0.0	0.415	0.0						0.519	0.0
-74	2020-02-23	13	0	0	0	1.35	0.0	0.0	0.0						0.415	0.0
-73	2020-02-24	13	0	0	0	1.35	0.0	0.0	0.0						0.415	0.0
-72	2020-02-25	13	0	0	0	1.35	0.0	0.0	0.0						0.415	0.0
-71	2020-02-26	13	0	0	0	1.35	0.0	0.0	0.0						0.415	0.0
-70	2020-02-27	13	0	0	0	1.35	0.0	0.0	0.0						0.415	0.0
-69	2020-02-28	19	0	6	0	1.973	0.0	0.623	0.0						1.038	0.0
-68	2020-02-29	21	0	2	0	2.18	0.0	0.208	0.0						0.831	0.0
-67	2020-03-01	21	0	0	0	2.18	0.0	0.0	0.0						0.831	0.0
-66	2020-03-02	21	0	0	0	2.18	0.0	0.0	0.0						0.831	0.0
-65	2020-03-03	27	0	6	0	2.803	0.0	0.623	0.0						1.454	0.0
-64	2020-03-04	27	0	0	0	2.803	0.0	0.0	0.0						1.454	0.0
-63	2020-03-05	29	0	2	0	3.011	0.0	0.208	0.0						1.661	0.0
-62	2020-03-06	29	0	0	0	3.011	0.0	0.0	0.0						1.038	0.0
-61	2020-03-07	45	0	16	0	4.672	0.0	1.661	0.0						2.492	0.0
-60	2020-03-08	45	0	0	0	4.672	0.0	0.0	0.0						2.492	0.0
-59	2020-03-09	45	0	0	0	4.672	0.0	0.0	0.0						2.492	0.0
-58	2020-03-10	74	0	29	0	7.684	0.0	3.011	0.0						4.88	0.0
-57	2020-03-11	74	0	0	0	7.684	0.0	0.0	0.0						4.88	0.0
-56	2020-03-12	85	0	11	0	8.826	0.0	1.142	0.0						5.815	0.0
-55	2020-03-13	85	0	0	0	8.826	0.0	0.0	0.0						5.815	0.0
-54	2020-03-14	85	0	0	0	8.826	0.0	0.0	0.0						4.153	0.0
-53	2020-03-15	98	0	13	0	10.176	0.0	1.35	0.0						5.503	0.0
-52	2020-03-16	98	0	0	0	10.176	0.0	0.0	0.0						5.503	0.0
-51	2020-03-17	98	0	0	0	10.176	0.0	0.0	0.0						2.492	0.0
-50	2020-03-18	113	0	15	0	11.733	0.0	1.557	0.0						4.049	0.0
-49	2020-03-19	140	0	27	0	14.536	0.0	2.803	0.0			1.239			5.711	0.0
-48	2020-03-20	140	2	0	2	14.536	0.208	0.0	0.208			1.0		0	5.711	0.208
-47	2020-03-21	153	2	13	0	15.886	0.208	1.35	0.0			1.093		1	7.061	0.208
-46	2020-03-22	153	2	0	0	15.886	0.208	0.0	0.0			1.0		2	5.711	0.208
-45	2020-03-23	198	2	45	0	20.559	0.208	4.672	0.0			1.294		3	10.383	0.208
-44	2020-03-24	248	2	50	0	25.75	0.208	5.192	0.0			1.253		4	15.575	0.208
-43	2020-03-25	333	2	85	0	34.576	0.208	8.826	0.0			1.343		5	22.843	0.208
-42	2020-03-26	333	2	0	0	34.576	0.208	0.0	0.0			1.0		6	20.04	0.208
-41	2020-03-27	405	2	72	0	42.052	0.208	7.476	0.0			1.216		7	27.515	0.0
-40	2020-03-28	468	2	63	0	48.593	0.208	6.541	0.0			1.156		8	32.707	0.0
-39	2020-03-29	570	3	102	1	59.184	0.311	10.591	0.104			1.218		9	43.298	0.104
-38	2020-03-30	611	5	41	2	63.441	0.519	4.257	0.208			1.072		10	42.883	0.311
-37	2020-03-31	664	6	53	1	68.944	0.623	5.503	0.104			1.087		11	43.194	0.415
-36	2020-04-01	814	8	150	2	84.519	0.831	15.575	0.208			1.226		12	49.943	0.623
-35	2020-04-02	1024	8	210	0	106.324	0.831	21.805	0.0			1.258		13	71.748	0.623
-34	2020-04-03	1264	9	240	1	131.243	0.934	24.92	0.104			1.234		14	89.192	0.727
-33	2020-04-04	1505	10	241	1	156.267	1.038	25.023	0.104			1.191		15	107.674	0.831
-32	2020-04-05	1799	10	294	0	186.793	1.038	30.527	0.0			1.195	1.0	16	127.609	0.727
-31	2020-04-06	2076	11	277	1	215.555	1.142	28.761	0.104			1.154	1.1	17	152.114	0.623
-30	2020-04-07	2359	12	283	1	244.939	1.246	29.384	0.104			1.136	1.091	18	175.995	0.623
-29	2020-04-08	2659	12	300	0	276.089	1.246	31.15	0.0			1.127	1.0	19	191.57	0.415
-28	2020-04-09	2990	14	331	2	310.457	1.454	34.368	0.208			1.124	1.167	20	204.133	0.623
-27	2020-04-10	3360	16	370	2	348.875	1.661	38.418	0.208	5.4	8.4	1.124	1.143	21	217.631	0.727
-26	2020-04-11	3736	20	376	4	387.916	2.077	39.041	0.415	5.8	5.9	1.112	1.25	22	231.649	1.038
-25	2020-04-12	4123	22	387	2	428.099	2.284	40.183	0.208	6.1	5.3	1.104	1.1	23	241.305	1.246
-24	2020-04-13	4521	25	398	3	469.424	2.596	41.325	0.311	6.5	5.0	1.097	1.136	24	253.869	1.454
-23	2020-04-14	4933	28	412	3	512.202	2.907	42.779	0.311	6.9	5.0	1.091	1.12	25	267.263	1.661
-22	2020-04-15	5365	33	432	5	557.058	3.426	44.855	0.519	7.3	5.1	1.088	1.179	26	280.969	2.18
-21	2020-04-16	5825	35	460	2	604.82	3.634	47.763	0.208	7.7	5.6	1.086	1.061	27	294.363	2.18
-20	2020-04-17	6302	37	477	2	654.348	3.842	49.528	0.208	8.1	6.6	1.082	1.057	28	305.473	2.18
-19	2020-04-18	6302	37	0	0	654.348	3.842	0.0	0.0	9.6	8.2	1.0	1.0	29	266.432	1.765
-18	2020-04-19	6781	41	479	4	704.084	4.257	49.735	0.415	10.8	9.6	1.076	1.108	30	275.985	1.973
-17	2020-04-20	7265	43	484	2	754.338	4.465	50.255	0.208	11.6	11.3	1.071	1.049	31	284.915	1.869
-16	2020-04-21	7755	46	490	3	805.216	4.776	50.878	0.311	12.0	12.7	1.067	1.07	32	293.013	1.869
-15	2020-04-22	8238	52	483	6	855.367	5.399	50.151	0.623	12.0	10.5	1.062	1.13	33	298.309	1.973
-14	2020-04-23	8756	56	518	4	909.151	5.815	53.785	0.415	11.6	9.2	1.063	1.077	34	304.331	2.18
-13	2020-04-24	9281	64	525	8	963.663	6.645	54.512	0.831	10.9	7.7	1.06	1.143	35	309.315	2.803
-12	2020-04-25	9813	71	532	7	1018.902	7.372	55.239	0.727	11.4	7.1	1.057	1.109	36	364.554	3.53
-11	2020-04-26	10349	76	536	5	1074.556	7.891	55.654	0.519	11.8	7.0	1.055	1.07	37	370.472	3.634
-10	2020-04-27	10839	82	490	6	1125.433	8.514	50.878	0.623	12.4	7.3	1.047	1.079	38	371.095	4.049
-9	2020-04-28	11380	89	541	7	1181.606	9.241	56.173	0.727	13.0	7.8	1.05	1.085	39	376.39	4.465
-8	2020-04-29	11929	98	549	9	1238.61	10.176	57.004	0.934	13.6	8.0	1.048	1.101	40	383.243	4.776
-7	2020-04-30	12481	105	552	7	1295.925	10.902	57.315	0.727	14.2	8.5	1.046	1.071	41	386.774	5.088
-6	2020-05-01	13038	111	557	6	1353.759	11.525	57.834	0.623	14.7	9.0	1.045	1.057	42	390.096	4.88
-5	2020-05-02	13599	119	561	8	1412.009	12.356	58.25	0.831	15.2	9.3	1.043	1.072	43	393.107	4.984
-4	2020-05-03	14163	126	564	7	1470.57	13.083	58.561	0.727	15.6	9.9	1.041	1.059	44	396.015	5.192
-3	2020-05-04	14730	137	567	11	1529.443	14.225	58.873	1.142	16.2	10.2	1.04	1.087	45	404.01	5.711
-2	2020-05-05	15192	146	462	9	1577.413	15.159	47.97	0.934	17.2	10.4	1.031	1.066	46	395.807	5.918
-1	2020-05-06	15738	157	546	11	1634.105	16.302	56.692	1.142	18.1	10.2	1.036	1.075	47	395.495	6.126
0	2020-05-07	16240	165	502	8	1686.0	17.0	52.124	0.831	19.1	10.3	1.032	1.051	48	390.0	6.0
