Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-90	2020-01-22	0	0	0	0									
-89	2020-01-23	0	0	0	0									
-88	2020-01-24	0	0	0	0									
-87	2020-01-25	0	0	0	0									
-86	2020-01-26	0	0	0	0									
-85	2020-01-27	0	0	0	0									
-84	2020-01-28	0	0	0	0									
-83	2020-01-29	0	0	0	0									
-82	2020-01-30	0	0	0	0									
-81	2020-01-31	0	0	0	0									
-80	2020-02-01	0	0	0	0									
-79	2020-02-02	0	0	0	0									
-78	2020-02-03	0	0	0	0									
-77	2020-02-04	0	0	0	0									
-76	2020-02-05	0	0	0	0									
-75	2020-02-06	0	0	0	0									
-74	2020-02-07	0	0	0	0									
-73	2020-02-08	0	0	0	0									
-72	2020-02-09	0	0	0	0									
-71	2020-02-10	0	0	0	0									
-70	2020-02-11	0	0	0	0									
-69	2020-02-12	0	0	0	0									
-68	2020-02-13	0	0	0	0									
-67	2020-02-14	0	0	0	0									
-66	2020-02-15	0	0	0	0									
-65	2020-02-16	0	0	0	0									
-64	2020-02-17	0	0	0	0									
-63	2020-02-18	0	0	0	0									
-62	2020-02-19	0	0	0	0									
-61	2020-02-20	0	0	0	0									
-60	2020-02-21	0	0	0	0									
-59	2020-02-22	0	0	0	0									
-58	2020-02-23	0	0	0	0									
-57	2020-02-24	1	0	1	0	0.027		0.027						
-56	2020-02-25	1	0	0	0	0.027								
-55	2020-02-26	1	0	0	0	0.027								
-54	2020-02-27	1	0	0	0	0.027								
-53	2020-02-28	1	0	0	0	0.027								
-52	2020-02-29	1	0	0	0	0.027								
-51	2020-03-01	1	0	0	0	0.027								
-50	2020-03-02	1	0	0	0	0.027								
-49	2020-03-03	1	0	0	0	0.027								
-48	2020-03-04	1	0	0	0	0.027								
-47	2020-03-05	1	0	0	0	0.027								
-46	2020-03-06	1	0	0	0	0.027								
-45	2020-03-07	1	0	0	0	0.027								
-44	2020-03-08	4	0	3	0	0.108		0.081						
-43	2020-03-09	4	0	0	0	0.108								
-42	2020-03-10	5	0	1	0	0.135		0.027						
-41	2020-03-11	7	0	2	0	0.188		0.054						
-40	2020-03-12	7	0	0	0	0.188								
-39	2020-03-13	7	0	0	0	0.188								
-38	2020-03-14	11	0	4	0	0.296		0.108						
-37	2020-03-15	16	0	5	0	0.43		0.135						
-36	2020-03-16	21	0	5	0	0.565		0.135						
-35	2020-03-17	22	0	1	0	0.592		0.027						
-34	2020-03-18	22	0	0	0	0.592								
-33	2020-03-19	22	0	0	0	0.592								
-32	2020-03-20	24	0	2	0	0.646		0.054						
-31	2020-03-21	24	0	0	0	0.646								
-30	2020-03-22	40	1	16	1	1.076	0.027	0.43	0.027					
-29	2020-03-23	40	1	0	0	1.076	0.027							
-28	2020-03-24	74	1	34	0	1.991	0.027	0.915						
-27	2020-03-25	84	2	10	1	2.26	0.054	0.269	0.027	2.6	2.4			0
-26	2020-03-26	94	4	10	2	2.529	0.108	0.269	0.054	2.9	1.3			1
-25	2020-03-27	110	4	16	0	2.959	0.108	0.43		3.3	2.0			2
-24	2020-03-28	110	4	0	0	2.959	0.108			4.4	2.8	1.0		3
-23	2020-03-29	120	4	10	0	3.228	0.108	0.269		5.6	3.8	1.091		4
-22	2020-03-30	170	4	50	0	4.573	0.108	1.345		5.3	5.8	1.417		5
-21	2020-03-31	174	4	4	0	4.681	0.108	0.108		5.3	13.2	1.024		6
-20	2020-04-01	237	4	63	0	6.376	0.108	1.695		4.2		1.362		7
-19	2020-04-02	273	6	36	2	7.344	0.161	0.968	0.054	3.9	12.7	1.152		8
-18	2020-04-03	281	6	8	0	7.559	0.161	0.215		4.3	8.2	1.029		9
-17	2020-04-04	299	7	18	1	8.044	0.188	0.484	0.027	5.3	6.1	1.064		10
-16	2020-04-05	349	7	50	0	9.389	0.188	1.345		6.0	6.2	1.167		11
-15	2020-04-06	367	11	18	4	9.873	0.296	0.484	0.108	6.8	4.2	1.052		12
-14	2020-04-07	423	14	56	3	11.379	0.377	1.506	0.081	7.4	3.4	1.153	1.273	13
-13	2020-04-08	444	14	21	0	11.944	0.377	0.565		7.7	3.9	1.05	1.0	14
-12	2020-04-09	484	15	40	1	13.02	0.404	1.076	0.027	7.6	4.4	1.09	1.071	15
-11	2020-04-10	521	15	37	0	14.016	0.404	0.995		8.0	5.8	1.076	1.0	16
-10	2020-04-11	555	18	34	3	14.93	0.484	0.915	0.081	8.9	6.5	1.065	1.2	17
-9	2020-04-12	607	18	52	0	16.329	0.484	1.399		8.9	9.8	1.094	1.0	18
-8	2020-04-13	665	21	58	3	17.89	0.565	1.56	0.081	9.0	9.6	1.096	1.167	19
-7	2020-04-14	714	23	49	2	19.208	0.619	1.318	0.054	8.7	8.0	1.074	1.095	20
-6	2020-04-15	784	25	70	2	21.091	0.673	1.883	0.054	8.5	7.5	1.098	1.087	21
-5	2020-04-16	840	30	56	5	22.597	0.807	1.506	0.135	8.5	6.3	1.071	1.2	22
-4	2020-04-17	906	30	66	0	24.373	0.807	1.776		8.6	7.1	1.079	1.0	23
-3	2020-04-18	933	30	27	0	25.099	0.807	0.726		9.6	8.3	1.03	1.0	24
-2	2020-04-19	996	33	63	3	26.794	0.888	1.695	0.081	10.5	9.9	1.068	1.1	25
-1	2020-04-20	1026	36	30	3	27.601	0.968	0.807	0.081	12.0	10.5	1.03	1.091	26
0	2020-04-21	1092	36	66	0	29.0	1.0	1.776		13.2	12.8	1.064	1.0	27
