Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-151	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-150	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-149	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-148	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-147	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-146	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-145	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-144	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-143	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-142	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-141	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-140	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-139	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-138	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-137	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-136	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-135	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-134	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-133	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-132	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-131	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-130	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-129	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-128	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-127	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-126	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-125	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-124	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-123	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-122	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-121	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-120	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-119	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-118	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-117	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-116	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-115	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-114	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-113	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-112	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-111	2020-03-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-110	2020-03-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-109	2020-03-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-108	2020-03-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-107	2020-03-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-106	2020-03-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-105	2020-03-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-104	2020-03-09	2	0	2	0	0.698	0.0	0.698	0.0						0.698	0.0
-103	2020-03-10	10	0	8	0	3.489	0.0	2.791	0.0						3.489	0.0
-102	2020-03-11	12	1	2	1	4.186	0.349	0.698	0.349						4.186	0.349
-101	2020-03-12	23	1	11	0	8.024	0.349	3.838	0.0						8.024	0.349
-100	2020-03-13	33	1	10	0	11.513	0.349	3.489	0.0						11.513	0.349
-99	2020-03-14	38	1	5	0	13.257	0.349	1.744	0.0						13.257	0.349
-98	2020-03-15	42	1	4	0	14.653	0.349	1.395	0.0						14.653	0.349
-97	2020-03-16	51	1	9	0	17.793	0.349	3.14	0.0						17.095	0.349
-96	2020-03-17	55	1	4	0	19.188	0.349	1.395	0.0						15.699	0.349
-95	2020-03-18	59	2	4	1	20.583	0.698	1.395	0.349					0	16.397	0.349
-94	2020-03-19	64	2	5	0	22.328	0.698	1.744	0.0					1	14.304	0.349
-93	2020-03-20	70	2	6	0	24.421	0.698	2.093	0.0					2	12.908	0.349
-92	2020-03-21	76	2	6	0	26.514	0.698	2.093	0.0					3	13.257	0.349
-91	2020-03-22	89	2	13	0	31.05	0.698	4.535	0.0					4	16.397	0.349
-90	2020-03-23	104	4	15	2	36.283	1.395	5.233	0.698					5	18.49	1.047
-89	2020-03-24	123	5	19	1	42.911	1.744	6.629	0.349					6	23.723	1.395
-88	2020-03-25	146	5	23	0	50.935	1.744	8.024	0.0					7	30.352	1.047
-87	2020-03-26	174	6	28	1	60.704	2.093	9.768	0.349					8	38.376	1.395
-86	2020-03-27	186	8	12	2	64.89	2.791	4.186	0.698					9	40.469	2.093
-85	2020-03-28	197	10	11	2	68.728	3.489	3.838	0.698					10	42.214	2.791
-84	2020-03-29	212	10	15	0	73.961	3.489	5.233	0.0					11	42.911	2.791
-83	2020-03-30	223	11	11	1	77.799	3.838	3.838	0.349					12	41.516	2.442
-82	2020-03-31	243	15	20	4	84.776	5.233	6.977	1.395					13	41.865	3.489
-81	2020-04-01	259	15	16	0	90.358	5.233	5.582	0.0					14	39.423	3.489
-80	2020-04-02	277	16	18	1	96.638	5.582	6.28	0.349					15	35.934	3.489
-79	2020-04-03	304	17	27	1	106.057	5.931	9.42	0.349					16	41.167	3.14
-78	2020-04-04	333	20	29	3	116.175	6.977	10.117	1.047					17	47.447	3.489
-77	2020-04-05	361	20	28	0	125.943	6.977	9.768	0.0					18	51.982	3.489
-76	2020-04-06	377	21	16	1	131.525	7.326	5.582	0.349					19	53.726	3.489
-75	2020-04-07	383	22	6	1	133.618	7.675	2.093	0.349					20	48.842	2.442
-74	2020-04-08	400	22	17	0	139.549	7.675	5.931	0.0					21	49.191	2.442
-73	2020-04-09	409	23	9	1	142.689	8.024	3.14	0.349					22	46.051	2.442
-72	2020-04-10	416	23	7	0	145.131	8.024	2.442	0.0					23	39.074	2.093
-71	2020-04-11	433	23	17	0	151.062	8.024	5.931	0.0					24	34.887	1.047
-70	2020-04-12	446	23	13	0	155.597	8.024	4.535	0.0					25	29.654	1.047
-69	2020-04-13	467	23	21	0	162.923	8.024	7.326	0.0					26	31.399	0.698
-68	2020-04-14	475	24	8	1	165.714	8.373	2.791	0.349					27	32.096	0.698
-67	2020-04-15	494	25	19	1	172.343	8.722	6.629	0.349					28	32.794	1.047
-66	2020-04-16	518	26	24	1	180.716	9.071	8.373	0.349					29	38.027	1.047
-65	2020-04-17	539	26	21	0	188.042	9.071	7.326	0.0					30	42.911	1.047
-64	2020-04-18	548	26	9	0	191.182	9.071	3.14	0.0					31	40.12	1.047
-63	2020-04-19	562	26	14	0	196.066	9.071	4.884	0.0					32	40.469	1.047
-62	2020-04-20	584	26	22	0	203.742	9.071	7.675	0.0					33	40.818	1.047
-61	2020-04-21	609	26	25	0	212.463	9.071	8.722	0.0					34	46.749	0.698
