Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-69	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-67	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-66	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-65	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-64	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-63	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-62	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-61	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-60	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-59	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-58	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-57	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-56	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-55	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-54	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-53	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-52	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-51	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-50	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-49	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-48	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-47	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-46	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-45	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-44	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-43	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-42	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-41	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-40	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-39	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-38	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-37	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-36	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-35	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-34	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-33	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-32	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-31	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-30	2020-03-01	1	0	1	0	0.339	0.0	0.339	0.0						0.339	0.0
-29	2020-03-02	1	0	0	0	0.339	0.0	0.0	0.0						0.339	0.0
-28	2020-03-03	1	0	0	0	0.339	0.0	0.0	0.0						0.339	0.0
-27	2020-03-04	1	0	0	0	0.339	0.0	0.0	0.0						0.339	0.0
-26	2020-03-05	1	0	0	0	0.339	0.0	0.0	0.0						0.339	0.0
-25	2020-03-06	1	0	0	0	0.339	0.0	0.0	0.0						0.339	0.0
-24	2020-03-07	1	0	0	0	0.339	0.0	0.0	0.0						0.339	0.0
-23	2020-03-08	1	0	0	0	0.339	0.0	0.0	0.0						0.0	0.0
-22	2020-03-09	1	0	0	0	0.339	0.0	0.0	0.0						0.0	0.0
-21	2020-03-10	1	0	0	0	0.339	0.0	0.0	0.0						0.0	0.0
-20	2020-03-11	1	0	0	0	0.339	0.0	0.0	0.0						0.0	0.0
-19	2020-03-12	4	0	3	0	1.355	0.0	1.016	0.0						1.016	0.0
-18	2020-03-13	8	0	4	0	2.71	0.0	1.355	0.0						2.371	0.0
-17	2020-03-14	18	0	10	0	6.098	0.0	3.388	0.0						5.759	0.0
-16	2020-03-15	26	0	8	0	8.808	0.0	2.71	0.0						8.469	0.0
-15	2020-03-16	52	0	26	0	17.617	0.0	8.808	0.0						17.278	0.0
-14	2020-03-17	78	0	26	0	26.425	0.0	8.808	0.0						26.086	0.0
-13	2020-03-18	84	0	6	0	28.457	0.0	2.033	0.0						28.119	0.0
-12	2020-03-19	115	0	31	0	38.96	0.0	10.502	0.0						37.604	0.0
-11	2020-03-20	136	0	21	0	46.074	0.0	7.114	0.0			1.183			43.364	0.0
-10	2020-03-21	160	0	24	0	54.205	0.0	8.131	0.0			1.176			48.107	0.0
-9	2020-03-22	194	0	34	0	65.723	0.0	11.518	0.0			1.212			56.915	0.0
-8	2020-03-23	235	0	41	0	79.613	0.0	13.89	0.0			1.211			61.997	0.0
-7	2020-03-24	249	0	14	0	84.356	0.0	4.743	0.0			1.06			57.931	0.0
-6	2020-03-25	265	0	16	0	89.776	0.0	5.42	0.0			1.064			61.319	0.0
-5	2020-03-26	290	1	25	1	98.246	0.339	8.469	0.339			1.094			59.286	0.339
-4	2020-03-27	329	1	39	0	111.458	0.339	13.212	0.0			1.134			65.384	0.339
-3	2020-03-28	407	1	78	0	137.883	0.339	26.425	0.0			1.237			83.678	0.339
-2	2020-03-29	424	3	17	2	143.642	1.016	5.759	0.678			1.042		0	77.919	1.016
-1	2020-03-30	482	3	58	0	163.292	1.016	19.649	0.0			1.137		1	83.678	1.016
0	2020-03-31	532	3	50	0	180.0	1.0	16.939	0.0			1.104		2	96.0	1.0
