Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-176	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-175	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-174	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-173	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-172	2020-01-26	4	0	4	0	0	0	0	0.0						0	0.0
-171	2020-01-27	5	0	1	0	0	0	0	0.0						0	0.0
-170	2020-01-28	5	0	0	0	0	0	0	0.0						0	0.0
-169	2020-01-29	6	0	1	0	0	0	0	0.0						0	0.0
-168	2020-01-30	9	0	3	0	0	0	0	0.0						0	0.0
-167	2020-01-31	9	0	0	0	0	0	0	0.0						0	0.0
-166	2020-02-01	12	0	3	0	0	0	0	0.0						0	0.0
-165	2020-02-02	12	0	0	0	0	0	0	0.0						0	0.0
-164	2020-02-03	12	0	0	0	0	0	0	0.0						0	0.0
-163	2020-02-04	13	0	1	0	0	0	0	0.0						0	0.0
-162	2020-02-05	13	0	0	0	0	0	0	0.0						0	0.0
-161	2020-02-06	14	0	1	0	0	0	0	0.0						0	0.0
-160	2020-02-07	15	0	1	0	0	0	0	0.0						0	0.0
-159	2020-02-08	15	0	0	0	0	0	0	0.0						0	0.0
-158	2020-02-09	15	0	0	0	0	0	0	0.0						0	0.0
-157	2020-02-10	15	0	0	0	0	0	0	0.0						0	0.0
-156	2020-02-11	15	0	0	0	0	0	0	0.0						0	0.0
-155	2020-02-12	15	0	0	0	0	0	0	0.0						0	0.0
-154	2020-02-13	15	0	0	0	0	0	0	0.0						0	0.0
-153	2020-02-14	15	0	0	0	0	0	0	0.0						0	0.0
-152	2020-02-15	15	0	0	0	0	0	0	0.0						0	0.0
-151	2020-02-16	15	0	0	0	0	0	0	0.0						0	0.0
-150	2020-02-17	15	0	0	0	0	0	0	0.0						0	0.0
-149	2020-02-18	15	0	0	0	0	0	0	0.0						0	0.0
-148	2020-02-19	15	0	0	0	0	0	0	0.0						0	0.0
-147	2020-02-20	15	0	0	0	0	0	0	0.0						0	0.0
-146	2020-02-21	15	0	0	0	0	0	0	0.0						0	0.0
-145	2020-02-22	15	0	0	0	0	0	0	0.0						0	0.0
-144	2020-02-23	15	0	0	0	0	0	0	0.0						0	0.0
-143	2020-02-24	15	0	0	0	0	0	0	0.0						0	0.0
-142	2020-02-25	15	0	0	0	0	0	0	0.0						0	0.0
-141	2020-02-26	15	0	0	0	0	0	0	0.0						0	0.0
-140	2020-02-27	15	0	0	0	0	0	0	0.0						0	0.0
-139	2020-02-28	15	0	0	0	0	0	0	0.0						0	0.0
-138	2020-02-29	25	0	10	0	1	0	0	0.0						0	0.0
-137	2020-03-01	27	1	2	1	1	0	0	0.04						0	0.04
-136	2020-03-02	30	1	3	0	1	0	0	0.0						0	0.04
-135	2020-03-03	39	1	9	0	1	0	0	0.0						0	0.04
-134	2020-03-04	52	2	13	1	2	0	0	0.04					0	1	0.08
