Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-69	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-67	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-66	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-65	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-64	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-63	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-62	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-61	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-60	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-59	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-58	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-57	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-56	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-55	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-54	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-53	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-52	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-51	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-50	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-49	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-48	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-47	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-46	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-45	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-44	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-43	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-42	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-41	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-40	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-39	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-38	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-37	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-36	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-35	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-34	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-33	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-32	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-31	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-30	2020-03-01	3	0	3	0	0.302	0.0	0.302	0.0						0.302	0.0
-29	2020-03-02	3	0	0	0	0.302	0.0	0.0	0.0						0.302	0.0
-28	2020-03-03	3	0	0	0	0.302	0.0	0.0	0.0						0.302	0.0
-27	2020-03-04	3	0	0	0	0.302	0.0	0.0	0.0						0.302	0.0
-26	2020-03-05	6	0	3	0	0.603	0.0	0.302	0.0						0.603	0.0
-25	2020-03-06	6	0	0	0	0.603	0.0	0.0	0.0						0.603	0.0
-24	2020-03-07	9	0	3	0	0.905	0.0	0.302	0.0						0.905	0.0
-23	2020-03-08	9	0	0	0	0.905	0.0	0.0	0.0						0.603	0.0
-22	2020-03-09	9	0	0	0	0.905	0.0	0.0	0.0						0.603	0.0
-21	2020-03-10	11	0	2	0	1.106	0.0	0.201	0.0						0.805	0.0
-20	2020-03-11	11	0	0	0	1.106	0.0	0.0	0.0						0.805	0.0
-19	2020-03-12	11	0	0	0	1.106	0.0	0.0	0.0						0.503	0.0
-18	2020-03-13	15	1	4	1	1.509	0.101	0.402	0.101						0.905	0.101
-17	2020-03-14	15	1	0	0	1.509	0.101	0.0	0.0						0.603	0.101
-16	2020-03-15	23	1	8	0	2.313	0.101	0.805	0.0						1.408	0.101
-15	2020-03-16	28	1	5	0	2.816	0.101	0.503	0.0						1.911	0.101
-14	2020-03-17	28	1	0	0	2.816	0.101	0.0	0.0						1.71	0.101
-13	2020-03-18	28	1	0	0	2.816	0.101	0.0	0.0						1.71	0.101
-12	2020-03-19	44	1	16	0	4.426	0.101	1.609	0.0						3.319	0.101
-11	2020-03-20	44	1	0	0	4.426	0.101	0.0	0.0						2.917	0.0
-10	2020-03-21	53	1	9	0	5.331	0.101	0.905	0.0						3.822	0.0
-9	2020-03-22	65	1	12	0	6.538	0.101	1.207	0.0						4.224	0.0
-8	2020-03-23	72	1	7	0	7.242	0.101	0.704	0.0						4.426	0.0
-7	2020-03-24	87	1	15	0	8.75	0.101	1.509	0.0						5.934	0.0
-6	2020-03-25	93	2	6	1	9.354	0.201	0.603	0.101					0	6.538	0.101
-5	2020-03-26	122	3	29	1	12.271	0.302	2.917	0.101					1	7.845	0.201
-4	2020-03-27	165	3	43	0	16.596	0.302	4.325	0.0			1.352		2	12.17	0.201
-3	2020-03-28	182	4	17	1	18.306	0.402	1.71	0.101			1.103		3	12.975	0.302
-2	2020-03-29	209	4	27	0	21.021	0.402	2.716	0.0			1.148		4	14.484	0.302
-1	2020-03-30	273	4	64	0	27.458	0.402	6.437	0.0			1.306		5	20.217	0.302
0	2020-03-31	298	5	25	1	30.0	1.0	2.515	0.101			1.092		6	21.0	0.0
