Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-93	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0					
-92	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0					
-91	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0					
-90	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0					
-89	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0					
-88	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0					
-87	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0					
-86	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0					
-85	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0					
-84	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0					
-83	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0					
-82	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0					
-81	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0					
-80	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0					
-79	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0					
-78	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0					
-77	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0					
-76	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0					
-75	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0					
-74	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0					
-73	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0					
-72	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0					
-71	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0					
-70	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0					
-69	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0					
-68	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0					
-67	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0					
-66	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0					
-65	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0					
-64	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0					
-63	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0					
-62	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0					
-61	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0					
-60	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0					
-59	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0					
-58	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0					
-57	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0					
-56	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0					
-55	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0					
-54	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0					
-53	2020-03-02	0	0	0	0	0.0	0.0	0.0	0.0					
-52	2020-03-03	0	0	0	0	0.0	0.0	0.0	0.0					
-51	2020-03-04	0	0	0	0	0.0	0.0	0.0	0.0					
-50	2020-03-05	2	0	2	0	0.602	0.0	0.602	0.0					
-49	2020-03-06	2	0	0	0	0.602	0.0	0.0	0.0					
-48	2020-03-07	3	0	1	0	0.903	0.0	0.301	0.0					
-47	2020-03-08	3	0	0	0	0.903	0.0	0.0	0.0					
-46	2020-03-09	3	0	0	0	0.903	0.0	0.0	0.0					
-45	2020-03-10	5	0	2	0	1.504	0.0	0.602	0.0					
-44	2020-03-11	7	0	2	0	2.106	0.0	0.602	0.0					
-43	2020-03-12	11	0	4	0	3.309	0.0	1.203	0.0					
-42	2020-03-13	13	0	2	0	3.911	0.0	0.602	0.0					
-41	2020-03-14	18	0	5	0	5.415	0.0	1.504	0.0					
-40	2020-03-15	24	0	6	0	7.22	0.0	1.805	0.0					
-39	2020-03-16	25	0	1	0	7.521	0.0	0.301	0.0					
-38	2020-03-17	26	0	1	0	7.822	0.0	0.301	0.0					
-37	2020-03-18	38	0	12	0	11.432	0.0	3.61	0.0					
-36	2020-03-19	63	0	25	0	18.953	0.0	7.521	0.0					
-35	2020-03-20	89	0	26	0	26.776	0.0	7.822	0.0					
-34	2020-03-21	93	1	4	1	27.979	0.301	1.203	0.301					
-33	2020-03-22	126	1	33	0	37.907	0.301	9.928	0.0					
-32	2020-03-23	136	1	10	0	40.915	0.301	3.008	0.0			1.079		
-31	2020-03-24	166	3	30	2	49.941	0.903	9.025	0.602			1.221		0
-30	2020-03-25	176	3	10	0	52.949	0.903	3.008	0.0			1.06		1
-29	2020-03-26	191	3	15	0	57.462	0.903	4.513	0.0			1.085		2
-28	2020-03-27	237	4	46	1	71.301	1.203	13.839	0.301			1.241		3
-27	2020-03-28	258	5	21	1	77.619	1.504	6.318	0.301	5.6	3.2	1.089		4
-26	2020-03-29	323	6	65	1	97.174	1.805	19.555	0.301	4.9	3.5	1.252		5
-25	2020-03-30	368	10	45	4	110.712	3.008	13.538	1.203	4.7	2.7	1.139		6
-24	2020-03-31	420	13	52	3	126.356	3.911	15.644	0.903	4.6	2.3	1.141	1.3	7
-23	2020-04-01	459	13	39	0	138.09	3.911	11.733	0.0	4.9	2.9	1.093	1.0	8
-22	2020-04-02	533	16	74	3	160.352	4.814	22.263	0.903	5.2	3.2	1.161	1.231	9
-21	2020-04-03	579	17	46	1	174.191	5.114	13.839	0.301	5.6	4.0	1.086	1.062	10
-20	2020-04-04	624	21	45	4	187.73	6.318	13.538	1.203	6.4	4.4	1.078	1.235	11
-19	2020-04-05	654	23	30	2	196.755	6.92	9.025	0.602	7.4	5.2	1.048	1.095	12
-18	2020-04-06	674	29	20	6	202.772	8.725	6.017	1.805	9.0	4.8	1.031	1.261	13
-17	2020-04-07	764	33	90	4	229.848	9.928	27.076	1.203	9.4	4.5	1.134	1.138	14
-16	2020-04-08	804	34	40	1	241.882	10.229	12.034	0.301	10.3	5.1	1.052	1.03	15
-15	2020-04-09	858	35	54	1	258.128	10.53	16.246	0.301	10.4	6.2	1.067	1.029	16
-14	2020-04-10	901	36	43	1	271.065	10.831	12.936	0.301	10.7	8.3	1.05	1.029	17
-13	2020-04-11	946	37	45	1	284.603	11.131	13.538	0.301	11.0	11.3	1.05	1.028	18
-12	2020-04-12	1009	39	63	2	303.556	11.733	18.953	0.602	11.4	17.0	1.067	1.054	19
-11	2020-04-13	1037	39	28	0	311.98	11.733	8.424	0.0	13.3	23.4	1.028	1.0	20
-10	2020-04-14	1083	40	46	1	325.819	12.034	13.839	0.301	14.2	24.9	1.044	1.026	21
-9	2020-04-15	1110	41	27	1	333.942	12.335	8.123	0.301	16.0	26.5	1.025	1.025	22
-8	2020-04-16	1167	43	57	2	351.091	12.936	17.148	0.602	16.8	25.4	1.051	1.049	23
-7	2020-04-17	1214	46	47	3	365.23	13.839	14.14	0.903	17.6	21.1	1.04	1.07	24
-6	2020-04-18	1268	47	54	1	381.476	14.14	16.246	0.301	17.9	19.7	1.044	1.022	25
-5	2020-04-19	1285	48	17	1	386.591	14.441	5.114	0.301	18.6	18.3	1.013	1.021	26
-4	2020-04-20	1309	49	24	1	393.811	14.742	7.22	0.301	20.9	19.5	1.019	1.021	27
-3	2020-04-21	1342	51	33	2	403.739	15.343	9.928	0.602	23.2	20.6	1.025	1.041	28
-2	2020-04-22	1368	53	26	2	411.561	15.945	7.822	0.602	27.7	22.3	1.019	1.039	29
-1	2020-04-23	1413	54	45	1	425.099	16.246	13.538	0.301	29.9	24.6	1.033	1.019	30
0	2020-04-24	1421	55	8	1	428.0	17.0	2.407	0.301	33.7	24.8	1.006	1.019	31
