Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-90	2020-01-22	0	0	0	0									
-89	2020-01-23	0	0	0	0									
-88	2020-01-24	0	0	0	0									
-87	2020-01-25	0	0	0	0									
-86	2020-01-26	0	0	0	0									
-85	2020-01-27	0	0	0	0									
-84	2020-01-28	0	0	0	0									
-83	2020-01-29	0	0	0	0									
-82	2020-01-30	0	0	0	0									
-81	2020-01-31	0	0	0	0									
-80	2020-02-01	0	0	0	0									
-79	2020-02-02	0	0	0	0									
-78	2020-02-03	0	0	0	0									
-77	2020-02-04	0	0	0	0									
-76	2020-02-05	0	0	0	0									
-75	2020-02-06	0	0	0	0									
-74	2020-02-07	0	0	0	0									
-73	2020-02-08	0	0	0	0									
-72	2020-02-09	0	0	0	0									
-71	2020-02-10	0	0	0	0									
-70	2020-02-11	0	0	0	0									
-69	2020-02-12	0	0	0	0									
-68	2020-02-13	0	0	0	0									
-67	2020-02-14	0	0	0	0									
-66	2020-02-15	0	0	0	0									
-65	2020-02-16	0	0	0	0									
-64	2020-02-17	0	0	0	0									
-63	2020-02-18	0	0	0	0									
-62	2020-02-19	0	0	0	0									
-61	2020-02-20	0	0	0	0									
-60	2020-02-21	0	0	0	0									
-59	2020-02-22	0	0	0	0									
-58	2020-02-23	0	0	0	0									
-57	2020-02-24	0	0	0	0									
-56	2020-02-25	0	0	0	0									
-55	2020-02-26	0	0	0	0									
-54	2020-02-27	0	0	0	0									
-53	2020-02-28	0	0	0	0									
-52	2020-02-29	0	0	0	0									
-51	2020-03-01	0	0	0	0									
-50	2020-03-02	0	0	0	0									
-49	2020-03-03	0	0	0	0									
-48	2020-03-04	0	0	0	0									
-47	2020-03-05	0	0	0	0									
-46	2020-03-06	0	0	0	0									
-45	2020-03-07	0	0	0	0									
-44	2020-03-08	0	0	0	0									
-43	2020-03-09	0	0	0	0									
-42	2020-03-10	0	0	0	0									
-41	2020-03-11	0	0	0	0									
-40	2020-03-12	0	0	0	0									
-39	2020-03-13	0	0	0	0									
-38	2020-03-14	0	0	0	0									
-37	2020-03-15	0	0	0	0									
-36	2020-03-16	0	0	0	0									
-35	2020-03-17	2	0	2	0	6.977		6.977						
-34	2020-03-18	2	0	0	0	6.977								
-33	2020-03-19	5	0	3	0	17.443		10.466						
-32	2020-03-20	5	0	0	0	17.443								
-31	2020-03-21	6	0	1	0	20.932		3.489						
-30	2020-03-22	14	0	8	0	48.842		27.909						
-29	2020-03-23	17	0	3	0	59.308		10.466						
-28	2020-03-24	18	0	1	0	62.796		3.489						
-27	2020-03-25	18	0	0	0	62.796				3.3				
-26	2020-03-26	18	0	0	0	62.796				4.6				
-25	2020-03-27	24	0	6	0	83.728		20.932		5.4				
-24	2020-03-28	26	0	2	0	90.706		6.977		7.2				
-23	2020-03-29	33	0	7	0	115.127		24.421		5.6				
-22	2020-03-30	33	0	0	0	115.127				5.5				
-21	2020-03-31	34	0	1	0	118.615		3.489		6.1				
-20	2020-04-01	34	0	0	0	118.615				8.0				
-19	2020-04-02	46	0	12	0	160.479		41.864		7.6				
-18	2020-04-03	51	0	5	0	177.923		17.443		6.7				
-17	2020-04-04	52	0	1	0	181.412		3.489		7.2				
-16	2020-04-05	56	1	4	1	195.366	3.489	13.955	3.489	7.0				
-15	2020-04-06	60	2	4	1	209.321	6.977	13.955	3.489	7.4				0
-14	2020-04-07	63	3	3	1	219.787	10.466	10.466	3.489	8.6	1.4			1
-13	2020-04-08	63	3	0	0	219.787	10.466			13.2	2.5			2
-12	2020-04-09	66	3	3	0	230.253	10.466	10.466		15.5	3.8			3
-11	2020-04-10	67	4	1	1	233.742	13.955	3.489	3.489	17.7	3.8			4
-10	2020-04-11	68	4	1	0	237.231	13.955	3.489		23.4	4.6			5
-9	2020-04-12	71	4	3	0	247.697	13.955	10.466		27.0	7.4			6
-8	2020-04-13	72	4	1	0	251.185	13.955	3.489		28.9	11.8			7
-7	2020-04-14	72	4	0	0	251.185	13.955			31.1	15.1			8
-6	2020-04-15	73	5	1	1	254.674	17.443	3.489	3.489	38.9	12.9			9
-5	2020-04-16	75	5	2	0	261.651	17.443	6.977		39.6	16.0			10
-4	2020-04-17	75	5	0	0	261.651	17.443			47.0	14.1			11
-3	2020-04-18	75	5	0	0	261.651	17.443			67.8	15.1			12
-2	2020-04-19	75	5	0	0	261.651	17.443			84.7	19.0			13
-1	2020-04-20	75	5	0	0	262.0	17.0				32.6			14
