Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-69	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-67	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-66	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-65	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-64	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-63	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-62	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-61	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-60	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-59	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-58	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-57	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-56	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-55	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-54	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-53	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-52	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-51	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-50	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-49	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-48	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-47	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-46	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-45	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-44	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-43	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-42	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-41	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-40	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-39	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-38	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-37	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-36	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-35	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-34	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-33	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-32	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-31	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-30	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-29	2020-03-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-28	2020-03-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-27	2020-03-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-26	2020-03-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-25	2020-03-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-24	2020-03-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-23	2020-03-08	3	0	3	0	0.019	0.0	0.019	0.0						0.019	0.0
-22	2020-03-09	3	0	0	0	0.019	0.0	0.0	0.0						0.019	0.0
-21	2020-03-10	3	0	0	0	0.019	0.0	0.0	0.0						0.019	0.0
-20	2020-03-11	3	0	0	0	0.019	0.0	0.0	0.0						0.019	0.0
-19	2020-03-12	3	0	0	0	0.019	0.0	0.0	0.0						0.019	0.0
-18	2020-03-13	3	0	0	0	0.019	0.0	0.0	0.0						0.019	0.0
-17	2020-03-14	3	0	0	0	0.019	0.0	0.0	0.0						0.019	0.0
-16	2020-03-15	5	0	2	0	0.031	0.0	0.012	0.0						0.012	0.0
-15	2020-03-16	8	0	3	0	0.05	0.0	0.019	0.0						0.031	0.0
-14	2020-03-17	10	0	2	0	0.062	0.0	0.012	0.0						0.043	0.0
-13	2020-03-18	14	1	4	1	0.087	0.006	0.025	0.006						0.068	0.006
-12	2020-03-19	17	1	3	0	0.105	0.006	0.019	0.0						0.087	0.006
-11	2020-03-20	20	1	3	0	0.124	0.006	0.019	0.0						0.105	0.006
-10	2020-03-21	25	2	5	1	0.155	0.012	0.031	0.006					0	0.136	0.012
-9	2020-03-22	27	2	2	0	0.167	0.012	0.012	0.0					1	0.136	0.012
-8	2020-03-23	33	3	6	1	0.205	0.019	0.037	0.006					2	0.155	0.019
-7	2020-03-24	39	4	6	1	0.242	0.025	0.037	0.006					3	0.18	0.025
-6	2020-03-25	39	5	0	1	0.242	0.031	0.0	0.006					4	0.155	0.025
-5	2020-03-26	44	5	5	0	0.273	0.031	0.031	0.0					5	0.167	0.025
-4	2020-03-27	48	5	4	0	0.297	0.031	0.025	0.0					6	0.174	0.025
-3	2020-03-28	48	5	0	0	0.297	0.031	0.0	0.0					7	0.143	0.019
-2	2020-03-29	48	5	0	0	0.297	0.031	0.0	0.0					8	0.13	0.019
-1	2020-03-30	49	5	1	0	0.304	0.031	0.006	0.0					9	0.099	0.012
0	2020-03-31	51	5	2	0	0.0	0.0	0.012	0.0					10	0.0	0.0
