# Day	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-86	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0					
-85	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0					
-84	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0					
-83	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0					
-82	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0					
-81	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0					
-80	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0					
-79	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0					
-78	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0					
-77	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0					
-76	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0					
-75	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0					
-74	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0					
-73	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0					
-72	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0					
-71	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0					
-70	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0					
-69	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0					
-68	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0					
-67	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0					
-66	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0					
-65	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0					
-64	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0					
-63	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0					
-62	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0					
-61	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0					
-60	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0					
-59	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0					
-58	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0					
-57	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0					
-56	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0					
-55	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0					
-54	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0					
-53	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0					
-52	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0					
-51	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0					
-50	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0					
-49	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0					
-48	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0					
-47	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0					
-46	2020-03-02	0	0	0	0	0.0	0.0	0.0	0.0					
-45	2020-03-03	0	0	0	0	0.0	0.0	0.0	0.0					
-44	2020-03-04	0	0	0	0	0.0	0.0	0.0	0.0					
-43	2020-03-05	0	0	0	0	0.0	0.0	0.0	0.0					
-42	2020-03-06	0	0	0	0	0.0	0.0	0.0	0.0					
-41	2020-03-07	0	0	0	0	0.0	0.0	0.0	0.0					
-40	2020-03-08	0	0	0	0	0.0	0.0	0.0	0.0					
-39	2020-03-09	0	0	0	0	0.0	0.0	0.0	0.0					
-38	2020-03-10	0	0	0	0	0.0	0.0	0.0	0.0					
-37	2020-03-11	2	0	2	0	0.176	0.0	0.176	0.0					
-36	2020-03-12	2	0	0	0	0.176	0.0	0.0	0.0					
-35	2020-03-13	3	0	1	0	0.264	0.0	0.088	0.0					
-34	2020-03-14	10	0	7	0	0.881	0.0	0.617	0.0					
-33	2020-03-15	10	0	0	0	0.881	0.0	0.0	0.0					
-32	2020-03-16	11	0	1	0	0.969	0.0	0.088	0.0					
-31	2020-03-17	11	0	0	0	0.969	0.0	0.0	0.0					
-30	2020-03-18	12	0	1	0	1.057	0.0	0.088	0.0					
-29	2020-03-19	12	0	0	0	1.057	0.0	0.0	0.0					
-28	2020-03-20	15	0	3	0	1.321	0.0	0.264	0.0					
-27	2020-03-21	19	0	4	0	1.674	0.0	0.352	0.0	7.3				
-26	2020-03-22	24	0	5	0	2.114	0.0	0.44	0.0	4.9				
-25	2020-03-23	27	0	3	0	2.378	0.0	0.264	0.0	4.3				
-24	2020-03-24	29	0	2	0	2.554	0.0	0.176	0.0	4.4				
-23	2020-03-25	32	0	3	0	2.819	0.0	0.264	0.0	4.7				
-22	2020-03-26	43	0	11	0	3.787	0.0	0.969	0.0	4.3				
-21	2020-03-27	61	0	18	0	5.373	0.0	1.585	0.0	3.5				
-20	2020-03-28	74	0	13	0	6.518	0.0	1.145	0.0	3.2				
-19	2020-03-29	81	1	7	1	7.135	0.088	0.617	0.088	3.4				
-18	2020-03-30	97	4	16	3	8.544	0.352	1.409	0.264	3.6				0
-17	2020-03-31	107	6	10	2	9.425	0.528	0.881	0.176	3.9	1.1			1
-16	2020-04-01	115	7	8	1	10.129	0.617	0.705	0.088	4.6	1.7	1.075		2
-15	2020-04-02	123	8	8	1	10.834	0.705	0.705	0.088	5.6	2.4	1.07		3
-14	2020-04-03	132	9	9	1	11.627	0.793	0.793	0.088	6.9	3.0	1.073		4
-13	2020-04-04	139	10	7	1	12.243	0.881	0.617	0.088	8.1	3.6	1.053		5
-12	2020-04-05	157	10	18	0	13.829	0.881	1.585	0.0	8.4	4.4	1.129	1.0	6
-11	2020-04-06	183	11	26	1	16.119	0.969	2.29	0.088	8.0	6.3	1.166	1.1	7
-10	2020-04-07	194	14	11	3	17.088	1.233	0.969	0.264	7.7	6.5	1.06	1.273	8
-9	2020-04-08	210	15	16	1	18.497	1.321	1.409	0.088	7.5	6.5	1.082	1.071	9
-8	2020-04-09	264	18	54	3	23.253	1.585	4.756	0.264	6.3	5.8	1.257	1.2	10
-7	2020-04-10	268	19	4	1	23.606	1.674	0.352	0.088	6.3	5.9	1.015	1.056	11
-6	2020-04-11	275	20	7	1	24.222	1.762	0.617	0.088	7.1	6.2	1.026	1.053	12
-5	2020-04-12	300	24	25	4	26.424	2.114	2.202	0.352	7.9	5.9	1.091	1.2	13
-4	2020-04-13	330	27	30	3	29.067	2.378	2.642	0.264	8.5	6.0	1.1	1.125	14
-3	2020-04-14	354	28	24	1	31.181	2.466	2.114	0.088	8.8	6.7	1.073	1.037	15
-2	2020-04-15	397	28	43	0	34.968	2.466	3.787	0.0	8.8	7.9	1.121	1.0	16
-1	2020-04-16	441	29	44	1	38.844	2.554	3.876	0.088	8.6	9.7	1.111	1.036	17
0	2020-04-17	465	31	24	2	41.0	3.0	2.114	0.176	8.0	10.9	1.054	1.069	18
