# Day	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-86	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0					
-85	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0					
-84	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0					
-83	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0					
-82	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0					
-81	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0					
-80	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0					
-79	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0					
-78	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0					
-77	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0					
-76	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0					
-75	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0					
-74	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0					
-73	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0					
-72	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0					
-71	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0					
-70	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0					
-69	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0					
-68	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0					
-67	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0					
-66	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0					
-65	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0					
-64	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0					
-63	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0					
-62	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0					
-61	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0					
-60	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0					
-59	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0					
-58	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0					
-57	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0					
-56	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0					
-55	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0					
-54	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0					
-53	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0					
-52	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0					
-51	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0					
-50	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0					
-49	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0					
-48	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0					
-47	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0					
-46	2020-03-02	0	0	0	0	0.0	0.0	0.0	0.0					
-45	2020-03-03	0	0	0	0	0.0	0.0	0.0	0.0					
-44	2020-03-04	0	0	0	0	0.0	0.0	0.0	0.0					
-43	2020-03-05	0	0	0	0	0.0	0.0	0.0	0.0					
-42	2020-03-06	0	0	0	0	0.0	0.0	0.0	0.0					
-41	2020-03-07	0	0	0	0	0.0	0.0	0.0	0.0					
-40	2020-03-08	0	0	0	0	0.0	0.0	0.0	0.0					
-39	2020-03-09	0	0	0	0	0.0	0.0	0.0	0.0					
-38	2020-03-10	0	0	0	0	0.0	0.0	0.0	0.0					
-37	2020-03-11	0	0	0	0	0.0	0.0	0.0	0.0					
-36	2020-03-12	0	0	0	0	0.0	0.0	0.0	0.0					
-35	2020-03-13	0	0	0	0	0.0	0.0	0.0	0.0					
-34	2020-03-14	0	0	0	0	0.0	0.0	0.0	0.0					
-33	2020-03-15	0	0	0	0	0.0	0.0	0.0	0.0					
-32	2020-03-16	1	0	1	0	2.593	0.0	2.593	0.0					
-31	2020-03-17	1	0	0	0	2.593	0.0	0.0	0.0					
-30	2020-03-18	1	0	0	0	2.593	0.0	0.0	0.0					
-29	2020-03-19	3	0	2	0	7.779	0.0	5.186	0.0					
-28	2020-03-20	3	0	0	0	7.779	0.0	0.0	0.0					
-27	2020-03-21	4	0	1	0	10.372	0.0	2.593	0.0	2.2				
-26	2020-03-22	4	0	0	0	10.372	0.0	0.0	0.0	2.9				
-25	2020-03-23	4	0	0	0	10.372	0.0	0.0	0.0	3.8				
-24	2020-03-24	5	0	1	0	12.965	0.0	2.593	0.0	4.2				
-23	2020-03-25	5	0	0	0	12.965	0.0	0.0	0.0	5.6				
-22	2020-03-26	9	0	4	0	23.338	0.0	10.372	0.0	4.3				
-21	2020-03-27	10	0	1	0	25.931	0.0	2.593	0.0	3.6				
-20	2020-03-28	10	0	0	0	25.931	0.0	0.0	0.0	4.1				
-19	2020-03-29	11	0	1	0	28.524	0.0	2.593	0.0	4.4				
-18	2020-03-30	14	0	3	0	36.303	0.0	7.779	0.0	4.3				
-17	2020-03-31	14	0	0	0	36.303	0.0	0.0	0.0	5.2				
-16	2020-04-01	21	1	7	1	54.455	2.593	18.152	2.593	4.3				
-15	2020-04-02	24	1	3	0	62.234	2.593	7.779	0.0	4.3				
-14	2020-04-03	24	1	0	0	62.234	2.593	0.0	0.0	4.6				
-13	2020-04-04	28	4	4	3	72.607	10.372	10.372	7.779	4.7	0.8			0
-12	2020-04-05	28	4	0	0	72.607	10.372	0.0	0.0	5.6	1.6			1
-11	2020-04-06	29	5	1	1	75.2	12.965	2.593	2.593	7.1	2.1			2
-10	2020-04-07	33	6	4	1	85.572	15.559	10.372	2.593	8.0	2.4			3
-9	2020-04-08	40	7	7	1	103.724	18.152	18.152	2.593	8.3	2.8			4
-8	2020-04-09	41	8	1	1	106.317	20.745	2.593	2.593	8.1	3.3			5
-7	2020-04-10	42	8	1	0	108.91	20.745	2.593	0.0	8.3	4.3			6
-6	2020-04-11	46	8	4	0	119.282	20.745	10.372	0.0	8.7	6.6			7
-5	2020-04-12	46	8	0	0	119.282	20.745	0.0	0.0	9.6	8.5			8
-4	2020-04-13	47	8	1	0	121.875	20.745	2.593	0.0	11.7	13.3			9
-3	2020-04-14	49	8	2	0	127.062	20.745	5.186	0.0	15.4	24.5			10
-2	2020-04-15	49	8	0	0	127.062	20.745	0.0	0.0	22.4	66.9			11
-1	2020-04-16	53	8	4	0	137.434	20.745	10.372	0.0	21.1				12
0	2020-04-17	54	9	1	1	140.0	23.0	2.593	2.593	21.6	66.2			13
