# Day	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2_Deaths
-79	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0					
-78	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0					
-77	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0					
-76	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0					
-75	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0					
-74	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0					
-73	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0					
-72	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0					
-71	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0					
-70	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0					
-69	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0					
-68	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0					
-67	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0					
-66	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0					
-65	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0					
-64	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0					
-63	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0					
-62	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0					
-61	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0					
-60	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0					
-59	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0					
-58	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0					
-57	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0					
-56	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0					
-55	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0					
-54	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0					
-53	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0					
-52	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0					
-51	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0					
-50	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0					
-49	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0					
-48	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0					
-47	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0					
-46	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0					
-45	2020-02-25	1	0	1	0	0.117	0.0	0.117	0.0					
-44	2020-02-26	1	0	0	0	0.117	0.0	0.0	0.0					
-43	2020-02-27	8	0	7	0	0.933	0.0	0.817	0.0					
-42	2020-02-28	8	0	0	0	0.933	0.0	0.0	0.0					
-41	2020-02-29	18	0	10	0	2.1	0.0	1.167	0.0					
-40	2020-03-01	27	0	9	0	3.15	0.0	1.05	0.0					
-39	2020-03-02	42	0	15	0	4.901	0.0	1.75	0.0					
-38	2020-03-03	56	0	14	0	6.534	0.0	1.634	0.0					
-37	2020-03-04	90	0	34	0	10.502	0.0	3.967	0.0					
-36	2020-03-05	114	1	24	1	13.302	0.117	2.8	0.117					
-35	2020-03-06	214	1	100	0	24.97	0.117	11.668	0.0			1.877		
-34	2020-03-07	268	1	54	0	31.271	0.117	6.301	0.0			1.252		
-33	2020-03-08	337	2	69	1	39.323	0.233	8.051	0.117			1.257		0
-32	2020-03-09	374	2	37	0	43.64	0.233	4.317	0.0			1.11		1
-31	2020-03-10	491	3	117	1	57.292	0.35	13.652	0.117			1.313		2
-30	2020-03-11	652	4	161	1	76.078	0.467	18.786	0.117			1.328		3
-29	2020-03-12	652	4	0	0	76.078	0.467	0.0	0.0			1.0		4
-28	2020-03-13	1139	11	487	7	132.903	1.284	56.825	0.817			1.747		5
-27	2020-03-14	1359	13	220	2	158.574	1.517	25.671	0.233	2.7	1.8	1.193	1.182	6
-26	2020-03-15	2200	14	841	1	256.705	1.634	98.131	0.117	2.2	2.3	1.619	1.077	7
-25	2020-03-16	2200	14	0	0	256.705	1.634	0.0	0.0	2.6	3.0	1.0	1.0	8
-24	2020-03-17	2700	27	500	13	315.047	3.15	58.342	1.517	3.0	2.4	1.227	1.929	9
-23	2020-03-18	3028	28	328	1	353.32	3.267	38.272	0.117	3.4	2.8	1.121	1.037	10
-22	2020-03-19	4075	41	1047	13	475.488	4.784	122.168	1.517	3.4	2.6	1.346	1.464	11
-21	2020-03-20	5294	54	1219	13	617.726	6.301	142.238	1.517	3.3	2.6	1.299	1.317	12
-20	2020-03-21	6575	75	1281	21	767.198	8.751	149.472	2.45	3.2	2.4	1.242	1.389	13
-19	2020-03-22	7474	98	899	23	872.097	11.435	104.899	2.684	3.4	2.4	1.137	1.307	14
-18	2020-03-23	8795	120	1321	22	1026.237	14.002	154.14	2.567	3.5	2.5	1.177	1.224	15
