Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-91	2020-01-22	0	0	0	0									
-90	2020-01-23	0	0	0	0									
-89	2020-01-24	0	0	0	0									
-88	2020-01-25	0	0	0	0									
-87	2020-01-26	0	0	0	0									
-86	2020-01-27	0	0	0	0									
-85	2020-01-28	0	0	0	0									
-84	2020-01-29	0	0	0	0									
-83	2020-01-30	0	0	0	0									
-82	2020-01-31	0	0	0	0									
-81	2020-02-01	0	0	0	0									
-80	2020-02-02	0	0	0	0									
-79	2020-02-03	0	0	0	0									
-78	2020-02-04	0	0	0	0									
-77	2020-02-05	0	0	0	0									
-76	2020-02-06	0	0	0	0									
-75	2020-02-07	0	0	0	0									
-74	2020-02-08	0	0	0	0									
-73	2020-02-09	0	0	0	0									
-72	2020-02-10	0	0	0	0									
-71	2020-02-11	0	0	0	0									
-70	2020-02-12	0	0	0	0									
-69	2020-02-13	0	0	0	0									
-68	2020-02-14	0	0	0	0									
-67	2020-02-15	0	0	0	0									
-66	2020-02-16	0	0	0	0									
-65	2020-02-17	0	0	0	0									
-64	2020-02-18	0	0	0	0									
-63	2020-02-19	0	0	0	0									
-62	2020-02-20	0	0	0	0									
-61	2020-02-21	0	0	0	0									
-60	2020-02-22	0	0	0	0									
-59	2020-02-23	0	0	0	0									
-58	2020-02-24	0	0	0	0									
-57	2020-02-25	0	0	0	0									
-56	2020-02-26	0	0	0	0									
-55	2020-02-27	0	0	0	0									
-54	2020-02-28	0	0	0	0									
-53	2020-02-29	0	0	0	0									
-52	2020-03-01	0	0	0	0									
-51	2020-03-02	0	0	0	0									
-50	2020-03-03	0	0	0	0									
-49	2020-03-04	0	0	0	0									
-48	2020-03-05	0	0	0	0									
-47	2020-03-06	0	0	0	0									
-46	2020-03-07	0	0	0	0									
-45	2020-03-08	0	0	0	0									
-44	2020-03-09	0	0	0	0									
-43	2020-03-10	0	0	0	0									
-42	2020-03-11	0	0	0	0									
-41	2020-03-12	0	0	0	0									
-40	2020-03-13	0	0	0	0									
-39	2020-03-14	0	0	0	0									
-38	2020-03-15	0	0	0	0									
-37	2020-03-16	0	0	0	0									
-36	2020-03-17	0	0	0	0									
-35	2020-03-18	0	0	0	0									
-34	2020-03-19	0	0	0	0									
-33	2020-03-20	1	0	1	0	1.839		1.839						
-32	2020-03-21	3	0	2	0	5.517		3.678						
-31	2020-03-22	3	0	0	0	5.517								
-30	2020-03-23	3	0	0	0	5.517								
-29	2020-03-24	3	1	0	1	5.517	1.839		1.839					
-28	2020-03-25	4	1	1	0	7.356	1.839	1.839						
-27	2020-03-26	4	1	0	0	7.356	1.839			5.6				
-26	2020-03-27	5	1	1	0	9.195	1.839	1.839		7.2				
-25	2020-03-28	5	1	0	0	9.195	1.839			6.7				
-24	2020-03-29	6	1	1	0	11.034	1.839	1.839		5.9				
-23	2020-03-30	6	1	0	0	11.034	1.839			6.7				
-22	2020-03-31	6	1	0	0	11.034	1.839			9.3				
-21	2020-04-01	6	1	0	0	11.034	1.839			12.3				
-20	2020-04-02	6	1	0	0	11.034	1.839			22.9				
-19	2020-04-03	6	1	0	0	11.034	1.839			39.0				
-18	2020-04-04	7	1	1	0	12.873	1.839	1.839		38.6				
-17	2020-04-05	7	1	0	0	12.873	1.839			23.7				
-16	2020-04-06	7	1	0	0	12.873	1.839			20.6				
-15	2020-04-07	7	1	0	0	12.873	1.839			21.5				
-14	2020-04-08	7	1	0	0	12.873	1.839			26.8				
-13	2020-04-09	7	1	0	0	12.873	1.839			45.5				
-12	2020-04-10	7	1	0	0	12.873	1.839							
-11	2020-04-11	8	1	1	0	14.712	1.839	1.839		45.1				
-10	2020-04-12	8	1	0	0	14.712	1.839			27.6				
-9	2020-04-13	10	1	2	0	18.39	1.839	3.678		11.8				
-8	2020-04-14	11	1	1	0	20.229	1.839	1.839		8.0				
-7	2020-04-15	56	1	45	0	102.985	1.839	82.756		0.6				
-6	2020-04-16	56	1	0	0	102.985	1.839			1.4				
-5	2020-04-17	56	1	0	0	102.985	1.839			2.1				
-4	2020-04-18	58	1	2	0	106.663	1.839	3.678		2.9				
-3	2020-04-19	61	1	3	0	112.18	1.839	5.517		4.1				
-2	2020-04-20	67	1	6	0	123.215	1.839	11.034		6.3				
-1	2020-04-21	68	1	1	0	125.054	1.839	1.839		18.2				
0	2020-04-22	73	1	5	0	134.0	2.0	9.195		14.3				
