Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-163	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-162	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-161	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-160	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-159	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-158	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-157	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-156	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-155	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-154	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-153	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-152	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-151	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-150	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-149	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-148	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-147	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-146	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-145	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-144	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-143	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-142	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-141	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-140	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-139	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-138	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-137	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-136	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-135	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-134	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-133	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-132	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-131	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-130	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-129	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-128	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-127	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-126	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-125	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-124	2020-03-01	3	0	3	0	0	0	0	0.0						0	0.0
-123	2020-03-02	3	0	0	0	0	0	0	0.0						0	0.0
-122	2020-03-03	5	0	2	0	0	0	0	0.0						0	0.0
-121	2020-03-04	8	0	3	0	0	0	0	0.0						0	0.0
-120	2020-03-05	12	0	4	0	1	0	0	0.0						1	0.0
-119	2020-03-06	18	0	6	0	1	0	0	0.0						1	0.0
-118	2020-03-07	19	0	1	0	1	0	0	0.0						1	0.0
-117	2020-03-08	31	0	12	0	2	0	1	0.0						2	0.0
-116	2020-03-09	31	0	0	0	2	0	0	0.0						2	0.0
-115	2020-03-10	41	0	10	0	3	0	0	0.0						3	0.0
-114	2020-03-11	91	0	50	0	8	0	4	0.0						7	0.0
-113	2020-03-12	94	0	3	0	8	0	0	0.0						7	0.0
-112	2020-03-13	141	0	47	0	13	0	4	0.0						11	0.0
-111	2020-03-14	189	0	48	0	17	0	4	0.0						15	0.0
-110	2020-03-15	253	0	64	0	23	0	6	0.0						20	0.0
-109	2020-03-16	298	0	45	0	28	0	4	0.0						25	0.0
-108	2020-03-17	396	0	98	0	37	0	9	0.0						33	0.0
-107	2020-03-18	464	0	68	0	43	0	6	0.0						35	0.0
-106	2020-03-19	694	0	230	0	65	0	21	0.0						56	0.0
-105	2020-03-20	833	0	139	0	78	0	13	0.0						65	0.0
-104	2020-03-21	995	0	162	0	93	0	15	0.0						75	0.0
-103	2020-03-22	1120	1	125	1	105	0	11	0.094						81	0.09
-102	2020-03-23	1236	1	116	0	116	0	10	0.0						88	0.09
-101	2020-03-24	1394	3	158	2	131	0	14	0.188					0	93	0.28
-100	2020-03-25	1654	6	260	3	155	0	24	0.282					1	111	0.56
-99	2020-03-26	1925	9	271	3	181	0	25	0.282					2	115	0.85
-98	2020-03-27	2279	9	354	0	214	0	33	0.0					3	136	0.85
-97	2020-03-28	2631	11	352	2	247	1	33	0.188					4	153	1.04
-96	2020-03-29	2817	16	186	5	265	1	17	0.471					5	159	1.41
-95	2020-03-30	3001	23	184	7	282	2	17	0.659					6	166	2.07
-94	2020-03-31	3308	31	307	8	311	2	28	0.753					7	180	2.64
-93	2020-04-01	3508	39	200	8	330	3	18	0.753					8	174	3.11
-92	2020-04-02	3858	44	350	5	363	4	32	0.471					9	181	3.29
-91	2020-04-03	4091	53	233	9	385	4	21	0.847					10	170	4.14
-90	2020-04-04	4472	59	381	6	420	5	35	0.565					11	173	4.52
-89	2020-04-05	4587	67	115	8	431	6	10	0.753					12	166	4.8
-88	2020-04-06	4822	78	235	11	453	7	22	1.035					13	171	5.18
-87	2020-04-07	5017	88	195	10	472	8	18	0.941					14	160	5.36
-86	2020-04-08	5312	99	295	11	499	9	27	1.035					15	169	5.65
-85	2020-04-09	5569	112	257	13	524	10	24	1.223					16	161	6.4
-84	2020-04-10	5732	119	163	7	539	11	15	0.659					17	154	6.21
-83	2020-04-11	5831	129	99	10	548	12	9	0.941					18	127	6.59
-82	2020-04-12	5991	138	160	9	563	12	15	0.847					19	132	6.68
-81	2020-04-13	6059	143	68	5	570	13	6	0.471					20	116	6.12
-80	2020-04-14	6111	161	52	18	575	15	4	1.694					21	102	6.87
-79	2020-04-15	6216	166	105	5	584	15	9	0.471					22	85	6.31
-78	2020-04-16	6433	169	217	3	605	15	20	0.282					23	81	5.36
-77	2020-04-17	6549	173	116	4	616	16	10	0.376					24	76	5.08
-76	2020-04-18	6606	181	57	8	621	17	5	0.753					25	72	4.89
-75	2020-04-19	6746	186	140	5	634	17	13	0.471					26	71	4.52
-74	2020-04-20	6900	194	154	8	649	18	14	0.753					27	79	4.8
-73	2020-04-21	7033	201	133	7	661	18	12	0.659					28	86	3.76
-72	2020-04-22	7132	208	99	7	671	19	9	0.659					29	86	3.95
-71	2020-04-23	7187	210	55	2	676	19	5	0.188					30	70	3.86
-70	2020-04-24	7273	214	86	4	684	20	8	0.376					31	68	3.86
-69	2020-04-25	7352	218	79	4	691	20	7	0.376					32	70	3.48
-68	2020-04-26	7404	220	52	2	696	20	4	0.188					33	61	3.2
-67	2020-04-27	7445	223	41	3	700	20	3	0.282					34	51	2.73
-66	2020-04-28	7504	227	59	4	706	21	5	0.376					35	44	2.45
-65	2020-04-29	7579	227	75	0	713	21	7	0.0					36	42	1.79
-64	2020-04-30	7682	236	103	9	722	22	9	0.847					37	46	2.45
-63	2020-05-01	7737	240	55	4	728	22	5	0.376					38	43	2.45
-62	2020-05-02	7755	245	18	5	729	23	1	0.471					39	37	2.54
-61	2020-05-03	7781	248	26	3	732	23	2	0.282					40	35	2.64
-60	2020-05-04	7819	252	38	4	735	23	3	0.376					41	35	2.73
-59	2020-05-05	7896	257	77	5	743	24	7	0.471					42	36	2.82
-58	2020-05-06	7974	262	78	5	750	24	7	0.471					43	37	3.29
-57	2020-05-07	8031	270	57	8	755	25	5	0.753					44	32	3.2
-56	2020-05-08	8077	273	46	3	760	25	4	0.282					45	31	3.11
