Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-148	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-147	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-146	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-145	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-144	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-143	2020-01-27	1	0	1	0	0.012	0.0	0.012	0.0						0.0	0.0
-142	2020-01-28	4	0	3	0	0.048	0.0	0.036	0.0						0.0	0.0
-141	2020-01-29	4	0	0	0	0.048	0.0	0.0	0.0						0.048	0.0
-140	2020-01-30	4	0	0	0	0.048	0.0	0.0	0.0						0.048	0.0
-139	2020-01-31	5	0	1	0	0.06	0.0	0.012	0.0						0.06	0.0
-138	2020-02-01	8	0	3	0	0.096	0.0	0.036	0.0						0.096	0.0
-137	2020-02-02	10	0	2	0	0.121	0.0	0.024	0.0						0.121	0.0
-136	2020-02-03	12	0	2	0	0.145	0.0	0.024	0.0						0.133	0.0
-135	2020-02-04	12	0	0	0	0.145	0.0	0.0	0.0						0.096	0.0
-134	2020-02-05	12	0	0	0	0.145	0.0	0.0	0.0						0.096	0.0
-133	2020-02-06	12	0	0	0	0.145	0.0	0.0	0.0						0.096	0.0
-132	2020-02-07	13	0	1	0	0.157	0.0	0.012	0.0						0.096	0.0
-131	2020-02-08	13	0	0	0	0.157	0.0	0.0	0.0						0.06	0.0
-130	2020-02-09	14	0	1	0	0.169	0.0	0.012	0.0						0.048	0.0
-129	2020-02-10	14	0	0	0	0.169	0.0	0.0	0.0						0.024	0.0
-128	2020-02-11	16	0	2	0	0.193	0.0	0.024	0.0						0.048	0.0
-127	2020-02-12	16	0	0	0	0.193	0.0	0.0	0.0						0.048	0.0
-126	2020-02-13	16	0	0	0	0.193	0.0	0.0	0.0						0.048	0.0
-125	2020-02-14	16	0	0	0	0.193	0.0	0.0	0.0						0.036	0.0
-124	2020-02-15	16	0	0	0	0.193	0.0	0.0	0.0						0.036	0.0
-123	2020-02-16	16	0	0	0	0.193	0.0	0.0	0.0						0.024	0.0
-122	2020-02-17	16	0	0	0	0.193	0.0	0.0	0.0						0.024	0.0
-121	2020-02-18	16	0	0	0	0.193	0.0	0.0	0.0						0.0	0.0
-120	2020-02-19	16	0	0	0	0.193	0.0	0.0	0.0						0.0	0.0
-119	2020-02-20	16	0	0	0	0.193	0.0	0.0	0.0						0.0	0.0
-118	2020-02-21	16	0	0	0	0.193	0.0	0.0	0.0						0.0	0.0
-117	2020-02-22	16	0	0	0	0.193	0.0	0.0	0.0						0.0	0.0
-116	2020-02-23	16	0	0	0	0.193	0.0	0.0	0.0						0.0	0.0
-115	2020-02-24	16	0	0	0	0.193	0.0	0.0	0.0						0.0	0.0
-114	2020-02-25	17	0	1	0	0.205	0.0	0.012	0.0						0.012	0.0
-113	2020-02-26	27	0	10	0	0.326	0.0	0.121	0.0						0.133	0.0
-112	2020-02-27	46	0	19	0	0.555	0.0	0.229	0.0						0.362	0.0
-111	2020-02-28	48	0	2	0	0.579	0.0	0.024	0.0						0.386	0.0
-110	2020-02-29	79	0	31	0	0.953	0.0	0.374	0.0						0.76	0.0
-109	2020-03-01	130	0	51	0	1.568	0.0	0.615	0.0						1.375	0.0
-108	2020-03-02	159	0	29	0	1.917	0.0	0.35	0.0						1.724	0.0
-107	2020-03-03	196	0	37	0	2.363	0.0	0.446	0.0						2.159	0.0
-106	2020-03-04	262	0	66	0	3.159	0.0	0.796	0.0						2.834	0.0
-105	2020-03-05	482	0	220	0	5.812	0.0	2.653	0.0						5.258	0.0
-104	2020-03-06	670	0	188	0	8.079	0.0	2.267	0.0						7.5	0.0
-103	2020-03-07	799	0	129	0	9.635	0.0	1.556	0.0						8.682	0.0
-102	2020-03-08	1040	0	241	0	12.541	0.0	2.906	0.0						10.973	0.0
-101	2020-03-09	1176	2	136	2	14.181	0.024	1.64	0.024					0	12.264	0.024
-100	2020-03-10	1457	2	281	0	17.569	0.024	3.388	0.0					1	15.206	0.024
-99	2020-03-11	1908	3	451	1	23.008	0.036	5.438	0.012					2	19.849	0.036
-98	2020-03-12	2078	3	170	0	25.058	0.036	2.05	0.0					3	19.246	0.036
-97	2020-03-13	3675	7	1597	4	44.316	0.084	19.258	0.048					4	36.236	0.084
-96	2020-03-14	4585	9	910	2	55.289	0.109	10.973	0.024					5	45.654	0.109
-95	2020-03-15	5795	11	1210	2	69.88	0.133	14.591	0.024					6	57.339	0.133
-94	2020-03-16	7272	17	1477	6	87.691	0.205	17.811	0.072					7	73.51	0.181
-93	2020-03-17	9257	24	1985	7	111.627	0.289	23.936	0.084					8	94.058	0.265
-92	2020-03-18	12327	28	3070	4	148.647	0.338	37.02	0.048					9	125.639	0.301
-91	2020-03-19	15320	44	2993	16	184.739	0.531	36.092	0.193					10	159.681	0.494
-90	2020-03-20	19848	67	4528	23	239.34	0.808	54.602	0.277					11	195.025	0.724
-89	2020-03-21	22213	84	2365	17	267.859	1.013	28.519	0.205					12	212.57	0.904
-88	2020-03-22	24873	94	2660	10	299.935	1.134	32.076	0.121					13	230.055	1.001
-87	2020-03-23	29056	123	4183	29	350.377	1.483	50.441	0.35					14	262.686	1.278
-86	2020-03-24	32986	157	3930	34	397.767	1.893	47.391	0.41					15	286.14	1.604
-85	2020-03-25	37323	206	4337	49	450.066	2.484	52.298	0.591					16	301.418	2.146
-84	2020-03-26	43938	267	6615	61	529.834	3.22	79.768	0.736					17	345.095	2.689
-83	2020-03-27	50871	342	6933	75	613.436	4.124	83.603	0.904					18	374.096	3.316
-82	2020-03-28	57695	433	6824	91	695.725	5.221	82.288	1.097					19	427.866	4.208
-81	2020-03-29	62095	533	4400	100	748.783	6.427	53.058	1.206					20	448.848	5.294
-80	2020-03-30	66885	645	4790	112	806.544	7.778	57.761	1.351					21	456.167	6.295
-79	2020-03-31	71808	775	4923	130	865.909	9.345	59.365	1.568					22	468.141	7.452
-78	2020-04-01	77872	920	6064	145	939.032	11.094	73.124	1.749					23	488.967	8.61
-77	2020-04-02	84794	1107	6922	187	1022.502	13.349	83.47	2.255					24	492.669	10.129
-76	2020-04-03	91159	1275	6365	168	1099.256	15.375	76.753	2.026					25	485.819	11.251
-75	2020-04-04	96092	1444	4933	169	1158.741	17.413	59.485	2.038					26	463.017	12.191
-74	2020-04-05	100123	1584	4031	140	1207.35	19.101	48.608	1.688					27	458.567	12.674
-73	2020-04-06	103374	1810	3251	226	1246.552	21.826	39.203	2.725					28	440.009	14.048
-72	2020-04-07	107663	2016	4289	206	1298.272	24.31	51.72	2.484					29	432.363	14.965
-71	2020-04-08	113296	2349	5633	333	1366.198	28.326	67.926	4.016					30	427.166	17.232
-70	2020-04-09	118181	2607	4885	258	1425.105	31.437	58.907	3.111					31	402.603	18.088
-69	2020-04-10	122171	2767	3990	160	1473.219	33.366	48.114	1.929					32	373.963	17.992
-68	2020-04-11	124908	2736	2737	0	1506.224	32.993	33.005	0.0					33	347.482	15.58
-67	2020-04-12	127854	3022	2946	286	1541.749	36.441	35.525	3.449					34	334.399	17.34
-66	2020-04-13	130072	3194	2218	172	1568.495	38.515	26.746	2.074					35	321.942	16.689
-65	2020-04-14	131359	3294	1287	100	1584.014	39.721	15.52	1.206					36	285.742	15.411
-64	2020-04-15	134753	3804	3394	510	1624.941	45.871	40.927	6.15					37	258.743	17.545
-63	2020-04-16	137698	4052	2945	248	1660.454	48.862	35.513	2.991					38	235.349	17.425
-62	2020-04-17	141397	4352	3699	300	1705.059	52.479	44.605	3.618					39	231.84	19.113
-61	2020-04-18	143342	4459	1945	107	1728.513	53.77	23.454	1.29					40	222.289	20.777
-60	2020-04-19	145184	4586	1842	127	1750.725	55.301	22.212	1.531					41	208.977	18.86
-59	2020-04-20	147065	4862	1881	276	1773.408	58.629	22.682	3.328					42	204.913	20.114
-58	2020-04-21	148291	5033	1226	171	1788.191	60.691	14.784	2.062					43	204.177	20.97
-57	2020-04-22	150648	5279	2357	246	1816.614	63.658	28.422	2.966					44	191.672	17.787
-56	2020-04-23	153129	5575	2481	296	1846.531	67.227	29.918	3.569					45	186.077	18.365
-55	2020-04-24	154999	5760	1870	185	1869.081	69.458	22.55	2.231					46	164.022	16.979
-54	2020-04-25	156513	5877	1514	117	1887.338	70.869	18.257	1.411					47	158.825	17.099
-53	2020-04-26	157770	5976	1257	99	1902.496	72.063	15.158	1.194					48	151.77	16.762
-52	2020-04-27	158758	6126	988	150	1914.409	73.871	11.914	1.809					49	141.002	15.242
-51	2020-04-28	159912	6314	1154	188	1928.325	76.138	13.916	2.267					50	140.134	15.447
-50	2020-04-29	161539	6467	1627	153	1947.945	77.983	19.619	1.845					51	131.331	14.326
-49	2020-04-30	163009	6623	1470	156	1965.671	79.865	17.726	1.881					52	119.14	12.637
-48	2020-05-01	164077	6736	1068	113	1978.55	81.227	12.879	1.363					53	109.469	11.769
-47	2020-05-02	164967	6812	890	76	1989.282	82.144	10.732	0.916					54	101.944	11.275
-46	2020-05-03	165664	6866	697	54	1997.687	82.795	8.405	0.651					55	95.191	10.732
-45	2020-05-04	166152	6993	488	127	2003.571	84.326	5.885	1.531					56	89.162	10.455
-44	2020-05-05	167007	6993	855	0	2013.881	84.326	10.31	0.0					57	85.556	8.188
-43	2020-05-06	168162	7275	1155	282	2027.809	87.727	13.928	3.401					58	79.865	9.743
-42	2020-05-07	169430	7392	1268	117	2043.1	89.138	15.29	1.411					59	77.429	9.273
-41	2020-05-08	170588	7510	1158	118	2057.063	90.561	13.964	1.423					60	78.514	9.333
-40	2020-05-09	171324	7549	736	39	2065.939	91.031	8.875	0.47					61	76.657	8.887
-39	2020-05-10	171879	7569	555	20	2072.631	91.272	6.693	0.241					62	74.945	8.477
-38	2020-05-11	172576	7661	697	92	2081.036	92.381	8.405	1.109					63	77.465	8.055
-37	2020-05-12	173171	7738	595	77	2088.211	93.31	7.175	0.929					64	74.33	8.984
-36	2020-05-13	174098	7861	927	123	2099.389	94.793	11.178	1.483					65	71.58	7.066
-35	2020-05-14	174478	7884	380	23	2103.972	95.071	4.582	0.277					66	60.872	5.933
-34	2020-05-15	175233	7897	755	13	2113.076	95.227	9.104	0.157					67	56.012	4.667
-33	2020-05-16	175752	7938	519	41	2119.334	95.722	6.258	0.494					68	53.396	4.691
-32	2020-05-17	176369	7962	617	24	2126.775	96.011	7.44	0.289					69	54.143	4.739
-31	2020-05-18	176551	8003	182	41	2128.969	96.505	2.195	0.494					70	47.933	4.124
-30	2020-05-19	177778	8081	1227	78	2143.765	97.446	14.796	0.941					71	55.554	4.136
-29	2020-05-20	178473	8144	695	63	2152.146	98.206	8.381	0.76					72	52.757	3.413
-28	2020-05-21	179021	8203	548	59	2158.754	98.917	6.608	0.711					73	54.783	3.847
-27	2020-05-22	179710	8228	689	25	2167.063	99.219	8.308	0.301					74	53.987	3.991
-26	2020-05-23	179986	8261	276	33	2170.391	99.617	3.328	0.398					75	51.056	3.895
-25	2020-05-24	180328	8283	342	22	2174.515	99.882	4.124	0.265					76	47.74	3.871
-24	2020-05-25	180600	8309	272	26	2177.795	100.195	3.28	0.314					77	48.826	3.69
-23	2020-05-26	181200	8372	600	63	2185.03	100.955	7.235	0.76					78	41.265	3.509
-22	2020-05-27	181524	8428	324	56	2188.937	101.63	3.907	0.675					79	36.791	3.425
-21	2020-05-28	182196	8470	672	42	2197.04	102.137	8.103	0.506					80	38.286	3.22
-20	2020-05-29	182922	8504	726	34	2205.795	102.547	8.755	0.41					81	38.732	3.328
-19	2020-05-30	183189	8530	267	26	2209.015	102.86	3.22	0.314					82	38.624	3.244
-18	2020-05-31	183410	8540	221	10	2211.68	102.981	2.665	0.121					83	37.165	3.099
-17	2020-06-01	183594	8555	184	15	2213.898	103.162	2.219	0.181					84	36.104	2.966
-16	2020-06-02	183879	8563	285	8	2217.335	103.258	3.437	0.096					85	32.305	2.303
-15	2020-06-03	184121	8602	242	39	2220.253	103.729	2.918	0.47					86	31.316	2.098
-14	2020-06-04	184472	8635	351	33	2224.486	104.127	4.233	0.398					87	27.446	1.99
-13	2020-06-05	184924	8658	452	23	2229.936	104.404	5.451	0.277					88	24.141	1.857
-12	2020-06-06	185450	8673	526	15	2236.279	104.585	6.343	0.181					89	27.265	1.724
-11	2020-06-07	185750	8685	300	12	2239.897	104.73	3.618	0.145					90	28.217	1.749
-10	2020-06-08	186109	8695	359	10	2244.226	104.85	4.329	0.121					91	30.328	1.688
-9	2020-06-09	186506	8736	397	41	2249.013	105.344	4.787	0.494					92	31.678	2.086
