Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-97	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-96	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-95	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-94	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-93	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-92	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-91	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-90	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-89	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-88	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-87	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-86	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-85	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-84	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-83	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-82	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-81	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-80	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-79	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-78	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-77	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-76	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-75	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-74	2020-02-14	1	0	1	0	0.01	0.0	0.01	0.0						0.01	0.0
-73	2020-02-15	1	0	0	0	0.01	0.0	0.0	0.0						0.01	0.0
-72	2020-02-16	1	0	0	0	0.01	0.0	0.0	0.0						0.01	0.0
-71	2020-02-17	1	0	0	0	0.01	0.0	0.0	0.0						0.01	0.0
-70	2020-02-18	1	0	0	0	0.01	0.0	0.0	0.0						0.01	0.0
-69	2020-02-19	1	0	0	0	0.01	0.0	0.0	0.0						0.01	0.0
-68	2020-02-20	1	0	0	0	0.01	0.0	0.0	0.0						0.01	0.0
-67	2020-02-21	1	0	0	0	0.01	0.0	0.0	0.0						0.0	0.0
-66	2020-02-22	1	0	0	0	0.01	0.0	0.0	0.0						0.0	0.0
-65	2020-02-23	1	0	0	0	0.01	0.0	0.0	0.0						0.0	0.0
-64	2020-02-24	1	0	0	0	0.01	0.0	0.0	0.0						0.0	0.0
-63	2020-02-25	1	0	0	0	0.01	0.0	0.0	0.0						0.0	0.0
-62	2020-02-26	1	0	0	0	0.01	0.0	0.0	0.0						0.0	0.0
-61	2020-02-27	1	0	0	0	0.01	0.0	0.0	0.0						0.0	0.0
-60	2020-02-28	1	0	0	0	0.01	0.0	0.0	0.0						0.0	0.0
-59	2020-02-29	1	0	0	0	0.01	0.0	0.0	0.0						0.0	0.0
-58	2020-03-01	2	0	1	0	0.02	0.0	0.01	0.0						0.01	0.0
-57	2020-03-02	2	0	0	0	0.02	0.0	0.0	0.0						0.01	0.0
-56	2020-03-03	2	0	0	0	0.02	0.0	0.0	0.0						0.01	0.0
-55	2020-03-04	2	0	0	0	0.02	0.0	0.0	0.0						0.01	0.0
-54	2020-03-05	3	0	1	0	0.03	0.0	0.01	0.0						0.02	0.0
-53	2020-03-06	15	0	12	0	0.152	0.0	0.122	0.0						0.142	0.0
-52	2020-03-07	15	0	0	0	0.152	0.0	0.0	0.0						0.142	0.0
-51	2020-03-08	49	1	34	1	0.498	0.01	0.345	0.01						0.478	0.01
-50	2020-03-09	55	1	6	0	0.559	0.01	0.061	0.0						0.538	0.01
-49	2020-03-10	59	1	4	0	0.599	0.01	0.041	0.0						0.579	0.01
-48	2020-03-11	60	1	1	0	0.61	0.01	0.01	0.0						0.589	0.01
-47	2020-03-12	67	1	7	0	0.681	0.01	0.071	0.0						0.65	0.01
-46	2020-03-13	80	2	13	1	0.813	0.02	0.132	0.01					0	0.66	0.02
-45	2020-03-14	109	2	29	0	1.107	0.02	0.295	0.0					1	0.955	0.02
-44	2020-03-15	110	2	1	0	1.118	0.02	0.01	0.0			1.009		2	0.62	0.01
-43	2020-03-16	150	2	40	0	1.524	0.02	0.406	0.0			1.364		3	0.965	0.01
-42	2020-03-17	196	4	46	2	1.991	0.041	0.467	0.02			1.307		4	1.392	0.03
-41	2020-03-18	196	6	0	2	1.991	0.061	0.0	0.02			1.0		5	1.382	0.051
-40	2020-03-19	256	6	60	0	2.601	0.061	0.61	0.0			1.306		6	1.92	0.051
-39	2020-03-20	285	8	29	2	2.896	0.081	0.295	0.02			1.113		7	2.083	0.061
-38	2020-03-21	294	10	9	2	2.987	0.102	0.091	0.02			1.032		8	1.88	0.081
-37	2020-03-22	327	14	33	4	3.322	0.142	0.335	0.041			1.112	1.4	9	2.205	0.122
-36	2020-03-23	366	19	39	5	3.719	0.193	0.396	0.051			1.119	1.357	10	2.195	0.173
-35	2020-03-24	402	20	36	1	4.084	0.203	0.366	0.01			1.098	1.053	11	2.093	0.163
-34	2020-03-25	456	21	54	1	4.633	0.213	0.549	0.01			1.134	1.05	12	2.642	0.152
-33	2020-03-26	495	24	39	3	5.029	0.244	0.396	0.03			1.086	1.143	13	2.428	0.183
-32	2020-03-27	536	30	41	6	5.446	0.305	0.417	0.061			1.083	1.25	14	2.55	0.224
-31	2020-03-28	576	36	40	6	5.852	0.366	0.406	0.061			1.075	1.2	15	2.865	0.264
-30	2020-03-29	609	40	33	4	6.188	0.406	0.335	0.041			1.057	1.111	16	2.865	0.264
-29	2020-03-30	656	41	47	1	6.665	0.417	0.478	0.01			1.077	1.025	17	2.946	0.224
-28	2020-03-31	710	46	54	5	7.214	0.467	0.549	0.051			1.082	1.122	18	3.129	0.264
-27	2020-04-01	779	52	69	6	7.915	0.528	0.701	0.061	9.3	6.3	1.097	1.13	19	3.282	0.315
-26	2020-04-02	865	58	86	6	8.789	0.589	0.874	0.061	8.6	6.8	1.11	1.115	20	3.759	0.345
-25	2020-04-03	985	66	120	8	10.008	0.671	1.219	0.081	7.5	6.7	1.139	1.138	21	4.562	0.366
-24	2020-04-04	1070	71	85	5	10.871	0.721	0.864	0.051	7.0	6.6	1.086	1.076	22	5.019	0.356
-23	2020-04-05	1173	78	103	7	11.918	0.792	1.046	0.071	6.9	6.5	1.096	1.099	23	5.73	0.386
-22	2020-04-06	1322	85	149	7	13.432	0.864	1.514	0.071	6.7	7.0	1.127	1.09	24	6.767	0.447
-21	2020-04-07	1450	94	128	9	14.732	0.955	1.301	0.091	6.8	7.3	1.097	1.106	25	7.519	0.488
-20	2020-04-08	1560	103	110	9	15.85	1.046	1.118	0.091	7.1	7.5	1.076	1.096	26	7.935	0.518
-19	2020-04-09	1699	118	139	15	17.262	1.199	1.412	0.152	7.5	7.1	1.089	1.146	27	8.474	0.61
-18	2020-04-10	1794	135	95	17	18.227	1.372	0.965	0.173	8.1	6.4	1.056	1.144	28	8.22	0.701
-17	2020-04-11	1939	146	145	11	19.701	1.483	1.473	0.112	8.7	6.3	1.081	1.081	29	8.829	0.762
-16	2020-04-12	2065	159	126	13	20.981	1.615	1.28	0.132	9.5	6.5	1.065	1.089	30	9.063	0.823
-15	2020-04-13	2190	164	125	5	22.251	1.666	1.27	0.051	10.2	7.4	1.061	1.031	31	8.819	0.803
-14	2020-04-14	2350	178	160	14	23.876	1.809	1.626	0.142	10.4	8.3	1.073	1.085	32	9.144	0.853
-13	2020-04-15	2505	183	155	5	25.451	1.859	1.575	0.051	10.6	10.2	1.066	1.028	33	9.601	0.813
-12	2020-04-16	2673	196	168	13	27.158	1.991	1.707	0.132	10.6	11.7	1.067	1.071	34	9.896	0.792
-11	2020-04-17	2844	205	171	9	28.896	2.083	1.737	0.091	10.8	12.7	1.064	1.046	35	10.668	0.711
-10	2020-04-18	3032	224	188	19	30.806	2.276	1.91	0.193		12.2	1.066	1.093	36	11.105	0.792
-9	2020-04-19	3144	239	112	15	31.944	2.428	1.138	0.152		11.2	1.037	1.067	37	10.963	0.813
-8	2020-04-20	3333	250	189	11	33.864	2.54	1.92	0.112	12.1	11.4	1.06	1.046	38	11.613	0.874
-7	2020-04-21	3490	264	157	14	35.459	2.682	1.595	0.142	12.8	11.3	1.047	1.056	39	11.583	0.874
-6	2020-04-22	3659	276	169	12	37.176	2.804	1.717	0.122	13.5	12.0	1.048	1.045	40	11.725	0.945
-5	2020-04-23	3891	287	232	11	39.533	2.916	2.357	0.112	13.6	13.0	1.063	1.04	41	12.375	0.925
-4	2020-04-24	4092	294	201	7	41.575	2.987	2.042	0.071	13.6	15.4	1.052	1.024	42	12.68	0.904
-3	2020-04-25	4319	307	227	13	43.882	3.119	2.306	0.132	13.2	17.0	1.055	1.044	43	13.076	0.843
-2	2020-04-26	4534	317	215	10	46.066	3.221	2.184	0.102	13.3	18.2	1.05	1.033	44	14.123	0.792
-1	2020-04-27	4782	337	248	20	48.586	3.424	2.52	0.203	13.2	17.9	1.055	1.063	45	14.722	0.884
0	2020-04-28	5042	359	260	22	51.0	4.0	2.642	0.224	13.2	16.0	1.054	1.065	46	16.0	1.0
