Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-69	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-67	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-66	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-65	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-64	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-63	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-62	2020-01-29	1	0	1	0	0.181	0.0	0.181	0.0						0.181	0.0
-61	2020-01-30	1	0	0	0	0.181	0.0	0.0	0.0						0.181	0.0
-60	2020-01-31	1	0	0	0	0.181	0.0	0.0	0.0						0.181	0.0
-59	2020-02-01	1	0	0	0	0.181	0.0	0.0	0.0						0.181	0.0
-58	2020-02-02	1	0	0	0	0.181	0.0	0.0	0.0						0.181	0.0
-57	2020-02-03	1	0	0	0	0.181	0.0	0.0	0.0						0.181	0.0
-56	2020-02-04	1	0	0	0	0.181	0.0	0.0	0.0						0.181	0.0
-55	2020-02-05	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-54	2020-02-06	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-53	2020-02-07	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-52	2020-02-08	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-51	2020-02-09	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-50	2020-02-10	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-49	2020-02-11	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-48	2020-02-12	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-47	2020-02-13	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-46	2020-02-14	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-45	2020-02-15	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-44	2020-02-16	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-43	2020-02-17	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-42	2020-02-18	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-41	2020-02-19	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-40	2020-02-20	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-39	2020-02-21	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-38	2020-02-22	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-37	2020-02-23	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-36	2020-02-24	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-35	2020-02-25	1	0	0	0	0.181	0.0	0.0	0.0						0.0	0.0
-34	2020-02-26	2	0	1	0	0.362	0.0	0.181	0.0						0.181	0.0
-33	2020-02-27	2	0	0	0	0.362	0.0	0.0	0.0						0.181	0.0
-32	2020-02-28	2	0	0	0	0.362	0.0	0.0	0.0						0.181	0.0
-31	2020-02-29	3	0	1	0	0.544	0.0	0.181	0.0						0.362	0.0
-30	2020-03-01	6	0	3	0	1.087	0.0	0.544	0.0						0.906	0.0
-29	2020-03-02	6	0	0	0	1.087	0.0	0.0	0.0						0.906	0.0
-28	2020-03-03	6	0	0	0	1.087	0.0	0.0	0.0						0.906	0.0
-27	2020-03-04	6	0	0	0	1.087	0.0	0.0	0.0						0.725	0.0
-26	2020-03-05	12	0	6	0	2.175	0.0	1.087	0.0						1.812	0.0
-25	2020-03-06	15	0	3	0	2.718	0.0	0.544	0.0						2.356	0.0
-24	2020-03-07	15	0	0	0	2.718	0.0	0.0	0.0						2.175	0.0
-23	2020-03-08	23	0	8	0	4.168	0.0	1.45	0.0						3.081	0.0
-22	2020-03-09	30	0	7	0	5.437	0.0	1.269	0.0						4.349	0.0
-21	2020-03-10	40	0	10	0	7.249	0.0	1.812	0.0						6.162	0.0
-20	2020-03-11	59	0	19	0	10.692	0.0	3.443	0.0						9.605	0.0
-19	2020-03-12	59	0	0	0	10.692	0.0	0.0	0.0						8.518	0.0
-18	2020-03-13	155	0	96	0	28.09	0.0	17.397	0.0						25.371	0.0
-17	2020-03-14	225	0	70	0	40.775	0.0	12.686	0.0			1.452			38.057	0.0
-16	2020-03-15	244	0	19	0	44.219	0.0	3.443	0.0			1.084			40.05	0.0
-15	2020-03-16	277	0	33	0	50.199	0.0	5.98	0.0			1.135			44.762	0.0
-14	2020-03-17	321	0	44	0	58.173	0.0	7.974	0.0			1.159			50.924	0.0
-13	2020-03-18	336	0	15	0	60.891	0.0	2.718	0.0			1.047			50.199	0.0
-12	2020-03-19	400	0	64	0	72.489	0.0	11.598	0.0			1.19			61.797	0.0
-11	2020-03-20	450	0	50	0	81.551	0.0	9.061	0.0			1.125			53.461	0.0
-10	2020-03-21	523	1	73	1	94.78	0.181	13.229	0.181			1.162			54.005	0.181
-9	2020-03-22	626	1	103	0	113.446	0.181	18.666	0.0			1.197			69.227	0.181
-8	2020-03-23	700	1	74	0	126.856	0.181	13.411	0.0			1.118			76.658	0.181
-7	2020-03-24	792	1	92	0	143.529	0.181	16.673	0.0			1.131			85.356	0.181
-6	2020-03-25	880	3	88	2	159.477	0.544	15.948	0.362			1.111		0	98.586	0.544
-5	2020-03-26	958	5	78	2	173.612	0.906	14.135	0.362			1.089		1	101.123	0.906
-4	2020-03-27	1041	7	83	2	188.654	1.269	15.042	0.362			1.087		2	107.103	1.269
-3	2020-03-28	1167	9	126	2	211.488	1.631	22.834	0.362			1.121		3	116.708	1.45
-2	2020-03-29	1240	11	73	2	224.717	1.993	13.229	0.362			1.063		4	111.271	1.812
-1	2020-03-30	1352	13	112	2	245.014	2.356	20.297	0.362			1.09	1.182	5	118.158	2.175
0	2020-03-31	1418	17	66	4	257.0	3.0	11.961	0.725			1.049	1.308	6	113.0	3.0
