Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-138	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-137	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-136	2020-01-24	2	0	2	0	0.03	0.0	0.03	0.0						0.0	0.0
-135	2020-01-25	3	0	1	0	0.045	0.0	0.015	0.0						0.0	0.0
-134	2020-01-26	3	0	0	0	0.045	0.0	0.0	0.0						0.0	0.0
-133	2020-01-27	3	0	0	0	0.045	0.0	0.0	0.0						0.0	0.0
-132	2020-01-28	4	0	1	0	0.06	0.0	0.015	0.0						0.0	0.0
-131	2020-01-29	5	0	1	0	0.075	0.0	0.015	0.0						0.075	0.0
-130	2020-01-30	5	0	0	0	0.075	0.0	0.0	0.0						0.075	0.0
-129	2020-01-31	5	0	0	0	0.075	0.0	0.0	0.0						0.045	0.0
-128	2020-02-01	6	0	1	0	0.09	0.0	0.015	0.0						0.045	0.0
-127	2020-02-02	6	0	0	0	0.09	0.0	0.0	0.0						0.045	0.0
-126	2020-02-03	6	0	0	0	0.09	0.0	0.0	0.0						0.045	0.0
-125	2020-02-04	6	0	0	0	0.09	0.0	0.0	0.0						0.03	0.0
-124	2020-02-05	6	0	0	0	0.09	0.0	0.0	0.0						0.015	0.0
-123	2020-02-06	6	0	0	0	0.09	0.0	0.0	0.0						0.015	0.0
-122	2020-02-07	6	0	0	0	0.09	0.0	0.0	0.0						0.015	0.0
-121	2020-02-08	11	0	5	0	0.164	0.0	0.075	0.0						0.075	0.0
-120	2020-02-09	11	0	0	0	0.164	0.0	0.0	0.0						0.075	0.0
-119	2020-02-10	11	0	0	0	0.164	0.0	0.0	0.0						0.075	0.0
-118	2020-02-11	11	0	0	0	0.164	0.0	0.0	0.0						0.075	0.0
-117	2020-02-12	11	0	0	0	0.164	0.0	0.0	0.0						0.075	0.0
-116	2020-02-13	11	0	0	0	0.164	0.0	0.0	0.0						0.075	0.0
-115	2020-02-14	11	0	0	0	0.164	0.0	0.0	0.0						0.075	0.0
-114	2020-02-15	12	1	1	1	0.179	0.015	0.015	0.015						0.015	0.015
-113	2020-02-16	12	1	0	0	0.179	0.015	0.0	0.0						0.015	0.015
-112	2020-02-17	12	1	0	0	0.179	0.015	0.0	0.0						0.015	0.015
-111	2020-02-18	12	1	0	0	0.179	0.015	0.0	0.0						0.015	0.015
-110	2020-02-19	12	1	0	0	0.179	0.015	0.0	0.0						0.015	0.015
-109	2020-02-20	12	1	0	0	0.179	0.015	0.0	0.0						0.015	0.015
-108	2020-02-21	12	1	0	0	0.179	0.015	0.0	0.0						0.015	0.015
-107	2020-02-22	12	1	0	0	0.179	0.015	0.0	0.0						0.0	0.0
-106	2020-02-23	12	1	0	0	0.179	0.015	0.0	0.0						0.0	0.0
-105	2020-02-24	12	1	0	0	0.179	0.015	0.0	0.0						0.0	0.0
-104	2020-02-25	14	1	2	0	0.209	0.015	0.03	0.0						0.03	0.0
