Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-165	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-164	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-163	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-162	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-161	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-160	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-159	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-158	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-157	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-156	2020-01-31	2	0	2	0	0	0	0	0.0						0	0.0
-155	2020-02-01	2	0	0	0	0	0	0	0.0						0	0.0
-154	2020-02-02	2	0	0	0	0	0	0	0.0						0	0.0
-153	2020-02-03	8	0	6	0	0	0	0	0.0						0	0.0
-152	2020-02-04	8	0	0	0	0	0	0	0.0						0	0.0
-151	2020-02-05	9	0	1	0	0	0	0	0.0						0	0.0
-150	2020-02-06	9	0	0	0	0	0	0	0.0						0	0.0
-149	2020-02-07	9	0	0	0	0	0	0	0.0						0	0.0
-148	2020-02-08	13	0	4	0	0	0	0	0.0						0	0.0
-147	2020-02-09	14	0	1	0	0	0	0	0.0						0	0.0
-146	2020-02-10	14	0	0	0	0	0	0	0.0						0	0.0
-145	2020-02-11	15	0	1	0	0	0	0	0.0						0	0.0
-144	2020-02-12	16	0	1	0	0	0	0	0.0						0	0.0
-143	2020-02-13	17	0	1	0	0	0	0	0.0						0	0.0
-142	2020-02-14	18	0	1	0	0	0	0	0.0						0	0.0
-141	2020-02-15	18	0	0	0	0	0	0	0.0						0	0.0
-140	2020-02-16	18	0	0	0	0	0	0	0.0						0	0.0
-139	2020-02-17	19	0	1	0	0	0	0	0.0						0	0.0
-138	2020-02-18	19	0	0	0	0	0	0	0.0						0	0.0
-137	2020-02-19	20	0	1	0	0	0	0	0.0						0	0.0
-136	2020-02-20	22	0	2	0	0	0	0	0.0						0	0.0
-135	2020-02-21	23	0	1	0	0	0	0	0.0						0	0.0
-134	2020-02-22	23	0	0	0	0	0	0	0.0						0	0.0
-133	2020-02-23	28	0	5	0	0	0	0	0.0						0	0.0
-132	2020-02-24	30	0	2	0	0	0	0	0.0						0	0.0
-131	2020-02-25	34	0	4	0	0	0	0	0.0						0	0.0
-130	2020-02-26	37	0	3	0	0	0	0	0.0						0	0.0
-129	2020-02-27	44	0	7	0	0	0	0	0.0						0	0.0
-128	2020-02-28	56	0	12	0	0	0	0	0.0						0	0.0
-127	2020-02-29	61	0	5	0	0	0	0	0.0						0	0.0
-126	2020-03-01	94	0	33	0	1	0	0	0.0						0	0.0
-125	2020-03-02	134	0	40	0	2	0	0	0.0						1	0.0
-124	2020-03-03	189	0	55	0	2	0	0	0.0						2	0.0
-123	2020-03-04	246	0	57	0	3	0	0	0.0						3	0.0
-122	2020-03-05	295	0	49	0	4	0	0	0.0						3	0.0
-121	2020-03-06	374	1	79	1	5	0	1	0.015						4	0.02
-120	2020-03-07	429	2	55	1	6	0	0	0.015					0	5	0.03
-119	2020-03-08	483	2	54	0	7	0	0	0.0					1	5	0.03
-118	2020-03-09	630	3	147	1	9	0	2	0.015					2	7	0.05
-117	2020-03-10	889	7	259	4	13	0	3	0.06					3	10	0.11
-116	2020-03-11	1301	7	412	0	19	0	6	0.0					4	15	0.11
-115	2020-03-12	1790	9	489	2	26	0	7	0.03					5	22	0.14
-114	2020-03-13	2270	10	480	1	34	0	7	0.015					6	28	0.14
-113	2020-03-14	2634	28	364	18	39	0	5	0.271					7	33	0.39
-112	2020-03-15	3077	43	443	15	46	0	6	0.226					8	39	0.62
-111	2020-03-16	3692	66	615	23	55	0	9	0.346					9	46	0.95
-110	2020-03-17	4462	82	770	16	67	1	11	0.241					10	53	1.13
-109	2020-03-18	5467	116	1005	34	82	1	15	0.511					11	62	1.64
-108	2020-03-19	6533	159	1066	43	98	2	16	0.647					12	71	2.26
-107	2020-03-20	7791	195	1258	36	117	2	18	0.541					13	83	2.78
-106	2020-03-21	9006	251	1215	56	135	3	18	0.842					14	95	3.35
-105	2020-03-22	10395	286	1389	35	156	4	20	0.526					15	110	3.65
-104	2020-03-23	12744	360	2349	74	191	5	35	1.113					16	136	4.42
-103	2020-03-24	15126	509	2382	149	227	7	35	2.241					17	160	6.42
-102	2020-03-25	17843	695	2717	186	268	10	40	2.797					18	186	8.71
-101	2020-03-26	20970	879	3127	184	315	13	47	2.767					19	217	10.83
-100	2020-03-27	24219	1163	3249	284	364	17	48	4.271					20	247	14.56
-99	2020-03-28	27062	1457	2843	294	407	21	42	4.422					21	271	18.14
-98	2020-03-29	29954	1672	2892	215	450	25	43	3.234					22	294	20.85
-97	2020-03-30	34281	2046	4327	374	515	30	65	5.625					23	323	25.36
-96	2020-03-31	38815	2429	4534	383	583	36	68	5.76					24	356	28.88
-95	2020-04-01	43789	3100	4974	671	658	46	74	10.092					25	390	36.17
-94	2020-04-02	48718	3752	4929	652	732	56	74	9.806					26	417	43.21
-93	2020-04-03	53699	4467	4981	715	807	67	74	10.754					27	443	49.69
-92	2020-04-04	57772	5228	4073	761	868	78	61	11.446					28	461	56.72
-91	2020-04-05	61422	5874	3650	646	923	88	54	9.716					29	473	63.2
-90	2020-04-06	66738	6445	5316	571	1003	96	79	8.588					30	488	66.16
-89	2020-04-07	72224	7483	5486	1038	1086	112	82	15.612					31	502	76.01
-88	2020-04-08	77387	8519	5163	1036	1163	128	77	15.582					32	505	81.5
-87	2020-04-09	82293	9623	4906	1104	1237	144	73	16.604					33	504	88.3
-86	2020-04-10	86660	10776	4367	1153	1303	162	65	17.341					34	495	94.89
-85	2020-04-11	90273	11616	3613	840	1357	174	54	12.634					35	488	96.08
-84	2020-04-12	93812	12302	3539	686	1410	185	53	10.317					36	487	96.68
-83	2020-04-13	98017	13047	4205	745	1474	196	63	11.205					37	470	99.29
-82	2020-04-14	102365	14095	4348	1048	1539	211	65	15.762					38	453	99.45
-81	2020-04-15	107465	14941	5100	846	1616	224	76	12.724					39	452	96.59
-80	2020-04-16	112808	15974	5343	1033	1696	240	80	15.536					40	458	95.52
-79	2020-04-17	117798	16910	4990	936	1771	254	75	14.078					41	468	92.26
-78	2020-04-18	122534	18028	4736	1118	1842	271	71	16.815					42	485	96.44
-77	2020-04-19	126394	18527	3860	499	1900	278	58	7.505					43	490	93.62
-76	2020-04-20	131260	19092	4866	565	1974	287	73	8.498					44	499	90.92
-75	2020-04-21	136035	20264	4775	1172	2045	304	71	17.627					45	506	92.78
-74	2020-04-22	141540	21111	5505	847	2128	317	82	12.739					46	512	92.8
-73	2020-04-23	146708	21840	5168	729	2206	328	77	10.964					47	509	88.23
-72	2020-04-24	151689	22853	4981	1013	2281	343	74	15.236					48	509	89.38
-71	2020-04-25	155453	23697	3764	844	2338	356	56	12.694					49	495	85.26
-70	2020-04-26	158926	24117	3473	420	2390	362	52	6.317					50	489	84.07
-69	2020-04-27	163630	24458	4704	341	2461	367	70	5.129					51	486	80.71
-68	2020-04-28	168357	25369	4727	911	2532	381	71	13.702					52	486	76.78
-67	2020-04-29	173807	26166	5450	797	2614	393	81	11.987					53	485	76.03
-66	2020-04-30	178771	26842	4964	676	2688	403	74	10.167					54	482	75.23
-65	2020-05-01	183501	27583	4730	741	2759	414	71	11.145					55	478	71.14
-64	2020-05-02	186731	28205	3230	622	2808	424	48	9.355					56	470	67.8
-63	2020-05-03	189708	28520	2977	315	2853	428	44	4.738					57	462	66.22
-62	2020-05-04	193091	28809	3383	289	2904	433	50	4.347					58	443	65.44
-61	2020-05-05	196780	29501	3689	692	2959	443	55	10.408					59	427	62.15
-60	2020-05-06	200616	30150	3836	649	3017	453	57	9.761					60	403	59.92
-59	2020-05-07	204387	30689	3771	539	3073	461	56	8.107					61	385	57.86
-58	2020-05-08	207439	31316	3052	627	3119	470	45	9.43					62	360	56.14
-57	2020-05-09	209589	31662	2150	346	3152	476	32	5.204					63	343	51.99
-56	2020-05-10	211911	31930	2322	268	3187	480	34	4.031					64	333	51.29
-55	2020-05-11	215500	32141	3589	211	3241	483	53	3.173					65	337	50.11
-54	2020-05-12	218895	32769	3395	628	3292	492	51	9.445					66	332	49.15
-53	2020-05-13	222195	33264	3300	495	3341	500	49	7.445					67	324	46.83
-52	2020-05-14	224813	33693	2618	429	3381	506	39	6.452					68	307	45.18
-51	2020-05-15	227334	34078	2521	385	3419	512	37	5.79					69	299	41.54
-50	2020-05-16	229406	34546	2072	468	3450	519	31	7.039					70	298	43.38
-49	2020-05-17	231232	34716	1826	170	3477	522	27	2.557					71	290	41.9
-48	2020-05-18	233809	34876	2577	160	3516	524	38	2.406					72	275	41.13
-47	2020-05-19	236867	35422	3058	546	3562	532	45	8.212					73	270	39.9
-46	2020-05-20	239579	35786	2712	364	3603	538	40	5.475					74	261	37.93
-45	2020-05-21	242133	36124	2554	338	3641	543	38	5.084					75	260	36.56
-44	2020-05-22	244174	36475	2041	351	3672	548	30	5.279					76	253	36.05
-43	2020-05-23	245682	36757	1508	282	3695	552	22	4.241					77	244	33.25
-42	2020-05-24	247037	36875	1355	118	3715	554	20	1.775					78	237	32.47
-41	2020-05-25	248650	36996	1613	121	3739	556	24	1.82					79	223	31.88
-40	2020-05-26	250309	37130	1659	134	3764	558	24	2.015					80	202	25.69
-39	2020-05-27	252118	37542	1809	412	3791	564	27	6.197					81	188	26.41
-38	2020-05-28	253854	37919	1736	377	3817	570	26	5.67					82	176	27.0
-37	2020-05-29	255362	38243	1508	324	3840	575	22	4.873					83	168	26.59
-36	2020-05-30	256469	38458	1107	215	3857	578	16	3.234					84	162	25.58
-35	2020-05-31	257539	38571	1070	113	3873	580	16	1.7					85	157	25.51
-34	2020-06-01	258983	39127	1444	556	3895	588	21	8.362					86	155	32.05
-33	2020-06-02	260453	39452	1470	325	3917	593	22	4.888					87	152	34.92
-32	2020-06-03	261802	39811	1349	359	3937	598	20	5.399					88	145	34.13
-31	2020-06-04	263040	39987	1238	176	3956	601	18	2.647					89	138	31.1
-30	2020-06-05	264150	40344	1110	357	3972	606	16	5.369					90	132	31.6
-29	2020-06-06	264944	40548	794	204	3984	609	11	3.068					91	127	31.43
-28	2020-06-07	265662	40625	718	77	3995	611	10	1.158					92	122	30.89
-27	2020-06-08	266756	40680	1094	55	4012	611	16	0.827					93	116	23.36
-26	2020-06-09	267915	40968	1159	288	4029	616	17	4.332					94	112	22.8
-25	2020-06-10	269101	41213	1186	245	4047	619	17	3.685					95	109	21.09
-24	2020-06-11	270108	41364	1007	151	4062	622	15	2.271					96	106	20.71
-23	2020-06-12	271162	41566	1054	202	4078	625	15	3.038					97	105	18.38
-22	2020-06-13	272050	41747	888	181	4091	627	13	2.722					98	106	18.03
-21	2020-06-14	272857	41783	807	36	4103	628	12	0.541					99	108	17.42
-20	2020-06-15	273888	41821	1031	38	4119	628	15	0.572					100	107	17.16
-19	2020-06-16	274971	42054	1083	233	4135	632	16	3.504					101	106	16.33
-18	2020-06-17	275970	42238	999	184	4150	635	15	2.767					102	103	15.42
-17	2020-06-18	276990	42373	1020	135	4165	637	15	2.03					103	103	15.18
-16	2020-06-19	277974	42546	984	173	4180	639	14	2.602					104	102	14.74
-15	2020-06-20	278640	42674	666	128	4190	641	10	1.925					105	99	13.94
-14	2020-06-21	279264	42717	624	43	4200	642	9	0.647					106	96	14.05
-13	2020-06-22	280156	42731	892	14	4213	642	13	0.211					107	94	13.69
-12	2020-06-23	281038	43011	882	280	4226	646	13	4.211					108	91	14.39
-11	2020-06-24	281815	43165	777	154	4238	649	11	2.316					109	87	13.94
-10	2020-06-25	282512	43314	697	149	4249	651	10	2.241					110	83	14.15
-9	2020-06-26	283151	43498	639	184	4258	654	9	2.767					111	77	14.32
-8	2020-06-27	283785	43598	634	100	4268	655	9	1.504					112	77	13.9
-7	2020-06-28	284192	43634	407	36	4274	656	6	0.541					113	74	13.79
-6	2020-06-29	284812	43659	620	25	4283	656	9	0.376					114	70	13.96
-5	2020-06-30	285216	43815	404	156	4289	658	6	2.346					115	62	12.09
-4	2020-07-01	285279	43991	63	176	4290	661	0	2.647					116	52	12.42
-3	2020-07-02	285285	44080	6	89	4290	662	0	1.339					117	41	11.52
-2	2020-07-03	285787	44216	502	136	4298	665	7	2.045					118	39	10.8
-1	2020-07-04	286412	44283	625	67	4307	666	9	1.008					119	39	10.3
0	2020-07-05	286931	44305	519	22	4315	666	7	0.331					120	41	10.09
