Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-91	2020-01-22	0	0	0	0									
-90	2020-01-23	0	0	0	0									
-89	2020-01-24	0	0	0	0									
-88	2020-01-25	0	0	0	0									
-87	2020-01-26	0	0	0	0									
-86	2020-01-27	0	0	0	0									
-85	2020-01-28	0	0	0	0									
-84	2020-01-29	0	0	0	0									
-83	2020-01-30	0	0	0	0									
-82	2020-01-31	0	0	0	0									
-81	2020-02-01	0	0	0	0									
-80	2020-02-02	0	0	0	0									
-79	2020-02-03	0	0	0	0									
-78	2020-02-04	0	0	0	0									
-77	2020-02-05	0	0	0	0									
-76	2020-02-06	0	0	0	0									
-75	2020-02-07	0	0	0	0									
-74	2020-02-08	0	0	0	0									
-73	2020-02-09	0	0	0	0									
-72	2020-02-10	0	0	0	0									
-71	2020-02-11	0	0	0	0									
-70	2020-02-12	0	0	0	0									
-69	2020-02-13	0	0	0	0									
-68	2020-02-14	0	0	0	0									
-67	2020-02-15	0	0	0	0									
-66	2020-02-16	0	0	0	0									
-65	2020-02-17	0	0	0	0									
-64	2020-02-18	0	0	0	0									
-63	2020-02-19	0	0	0	0									
-62	2020-02-20	0	0	0	0									
-61	2020-02-21	0	0	0	0									
-60	2020-02-22	0	0	0	0									
-59	2020-02-23	0	0	0	0									
-58	2020-02-24	0	0	0	0									
-57	2020-02-25	0	0	0	0									
-56	2020-02-26	0	0	0	0									
-55	2020-02-27	0	0	0	0									
-54	2020-02-28	0	0	0	0									
-53	2020-02-29	0	0	0	0									
-52	2020-03-01	0	0	0	0									
-51	2020-03-02	0	0	0	0									
-50	2020-03-03	0	0	0	0									
-49	2020-03-04	0	0	0	0									
-48	2020-03-05	0	0	0	0									
-47	2020-03-06	0	0	0	0									
-46	2020-03-07	0	0	0	0									
-45	2020-03-08	0	0	0	0									
-44	2020-03-09	0	0	0	0									
-43	2020-03-10	0	0	0	0									
-42	2020-03-11	0	0	0	0									
-41	2020-03-12	0	0	0	0									
-40	2020-03-13	1	0	1	0	0.081		0.081						
-39	2020-03-14	1	0	0	0	0.081								
-38	2020-03-15	1	0	0	0	0.081								
-37	2020-03-16	1	0	0	0	0.081								
-36	2020-03-17	1	0	0	0	0.081								
-35	2020-03-18	1	0	0	0	0.081								
-34	2020-03-19	1	0	0	0	0.081								
-33	2020-03-20	1	0	0	0	0.081								
-32	2020-03-21	2	0	1	0	0.161		0.081						
-31	2020-03-22	2	0	0	0	0.161								
-30	2020-03-23	4	0	2	0	0.322		0.161						
-29	2020-03-24	4	0	0	0	0.322								
-28	2020-03-25	4	0	0	0	0.322								
-27	2020-03-26	4	0	0	0	0.322				4.4				
-26	2020-03-27	8	0	4	0	0.644		0.322		3.2				
-25	2020-03-28	8	0	0	0	0.644				3.4				
-24	2020-03-29	16	0	8	0	1.289		0.644		2.1				
-23	2020-03-30	22	0	6	0	1.772		0.483		1.9				
-22	2020-03-31	22	0	0	0	1.772				2.4				
-21	2020-04-01	30	0	8	0	2.417		0.644		2.6				
-20	2020-04-02	52	0	22	0	4.189		1.772		2.1				
-19	2020-04-03	73	0	21	0	5.88		1.692		2.0				
-18	2020-04-04	111	0	38	0	8.941		3.061		1.8				
-17	2020-04-05	121	0	10	0	9.747		0.806		2.3		1.09		
-16	2020-04-06	128	0	7	0	10.311		0.564		2.9		1.058		
-15	2020-04-07	144	0	16	0	11.6		1.289		3.7		1.125		
-14	2020-04-08	164	0	20	0	13.211		1.611		4.7		1.139		
-13	2020-04-09	194	0	30	0	15.627		2.417		5.3		1.183		
-12	2020-04-10	212	0	18	0	17.077		1.45		6.0		1.093		
-11	2020-04-11	250	0	38	0	20.138		3.061		5.4		1.179		
-10	2020-04-12	250	0	0	0	20.138				6.0		1.0		
-9	2020-04-13	319	0	69	0	25.696		5.558		5.6		1.276		
-8	2020-04-14	363	0	44	0	29.24		3.544		5.3		1.138		
-7	2020-04-15	404	1	41	1	32.543	0.081	3.303	0.081	5.4		1.113		
-6	2020-04-16	438	1	34	0	35.282	0.081	2.739		5.6		1.084		
-5	2020-04-17	477	3	39	2	38.423	0.242	3.142	0.161	6.1	0.9	1.089		0
-4	2020-04-18	518	3	41	0	41.726	0.242	3.303		6.6	1.8	1.086		1
-3	2020-04-19	579	5	61	2	46.64	0.403	4.914	0.161	7.4	1.7	1.118		2
-2	2020-04-20	622	5	43	0	50.103	0.403	3.464		7.8	2.4	1.074		3
-1	2020-04-21	688	6	66	1	55.42	0.483	5.316	0.081	7.7	2.8	1.106		4
0	2020-04-22	761	6	73	0	61.0	0.0	5.88		7.5	3.9	1.106		5
