Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-117	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-116	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-115	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-114	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-113	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-112	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-111	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-110	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-109	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-108	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-107	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-106	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-105	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-104	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-103	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-102	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-101	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-100	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-99	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-98	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-97	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-96	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-95	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-94	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-93	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-92	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-91	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-90	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-89	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-88	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-87	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-86	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-85	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-84	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-83	2020-02-25	1	0	1	0	0.245	0.0	0.245	0.0						0.245	0.0
-82	2020-02-26	3	0	2	0	0.734	0.0	0.489	0.0						0.734	0.0
-81	2020-02-27	3	0	0	0	0.734	0.0	0.0	0.0						0.734	0.0
-80	2020-02-28	5	0	2	0	1.223	0.0	0.489	0.0						1.223	0.0
-79	2020-02-29	6	0	1	0	1.467	0.0	0.245	0.0						1.467	0.0
-78	2020-03-01	7	0	1	0	1.712	0.0	0.245	0.0						1.712	0.0
-77	2020-03-02	7	0	0	0	1.712	0.0	0.0	0.0						1.712	0.0
-76	2020-03-03	9	0	2	0	2.201	0.0	0.489	0.0						1.956	0.0
-75	2020-03-04	10	0	1	0	2.445	0.0	0.245	0.0						1.712	0.0
-74	2020-03-05	10	0	0	0	2.445	0.0	0.0	0.0						1.712	0.0
-73	2020-03-06	11	0	1	0	2.69	0.0	0.245	0.0						1.467	0.0
-72	2020-03-07	12	0	1	0	2.934	0.0	0.245	0.0						1.467	0.0
-71	2020-03-08	12	0	0	0	2.934	0.0	0.0	0.0						1.223	0.0
-70	2020-03-09	12	0	0	0	2.934	0.0	0.0	0.0						1.223	0.0
-69	2020-03-10	14	0	2	0	3.423	0.0	0.489	0.0						1.223	0.0
-68	2020-03-11	19	0	5	0	4.646	0.0	1.223	0.0						2.201	0.0
-67	2020-03-12	19	0	0	0	4.646	0.0	0.0	0.0						2.201	0.0
-66	2020-03-13	32	0	13	0	7.825	0.0	3.179	0.0						5.135	0.0
-65	2020-03-14	38	0	6	0	9.292	0.0	1.467	0.0						6.358	0.0
-64	2020-03-15	49	0	11	0	11.982	0.0	2.69	0.0						9.048	0.0
-63	2020-03-16	57	0	8	0	13.938	0.0	1.956	0.0						11.004	0.0
-62	2020-03-17	65	0	8	0	15.895	0.0	1.956	0.0						12.471	0.0
-61	2020-03-18	81	0	16	0	19.807	0.0	3.913	0.0						15.161	0.0
-60	2020-03-19	105	1	24	1	25.676	0.245	5.869	0.245						21.03	0.245
-59	2020-03-20	128	1	23	0	31.3	0.245	5.624	0.0			1.219			23.475	0.245
-58	2020-03-21	206	1	78	0	50.374	0.245	19.074	0.0			1.609			41.082	0.245
-57	2020-03-22	254	1	48	0	62.112	0.245	11.738	0.0			1.233			50.13	0.245
-56	2020-03-23	315	1	61	0	77.028	0.245	14.917	0.0			1.24			63.09	0.245
-55	2020-03-24	382	1	67	0	93.412	0.245	16.384	0.0			1.213			77.517	0.245
-54	2020-03-25	442	1	60	0	108.084	0.245	14.672	0.0			1.157			88.277	0.245
-53	2020-03-26	495	3	53	2	121.045	0.734	12.96	0.489			1.12		0	95.369	0.489
-52	2020-03-27	586	3	91	0	143.297	0.734	22.253	0.0			1.184		1	111.997	0.489
-51	2020-03-28	657	5	71	2	160.659	1.223	17.362	0.489			1.121		2	110.285	0.978
-50	2020-03-29	713	6	56	1	174.353	1.467	13.694	0.245			1.085		3	112.241	1.223
-49	2020-03-30	790	6	77	0	193.182	1.467	18.829	0.0			1.108		4	116.154	1.223
-48	2020-03-31	867	6	77	0	212.012	1.467	18.829	0.0			1.097		5	118.599	1.223
-47	2020-04-01	963	6	96	0	235.487	1.467	23.475	0.0			1.111		6	127.403	1.223
