Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-179	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-178	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-177	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-176	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-175	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-174	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-173	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-172	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-171	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-170	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-169	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-168	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-167	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-166	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-165	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-164	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-163	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-162	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-161	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-160	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-159	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-158	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-157	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-156	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-155	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-154	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-153	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-152	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-151	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-150	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-149	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-148	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-147	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-146	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-145	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-144	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-143	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-142	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-141	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-140	2020-03-01	0	0	0	0	0	0	0	0.0						0	0.0
-139	2020-03-02	2	0	2	0	0	0	0	0.0						0	0.0
-138	2020-03-03	2	0	0	0	0	0	0	0.0						0	0.0
-137	2020-03-04	2	0	0	0	0	0	0	0.0						0	0.0
-136	2020-03-05	2	0	0	0	0	0	0	0.0						0	0.0
-135	2020-03-06	4	0	2	0	0	0	0	0.0						0	0.0
-134	2020-03-07	4	0	0	0	0	0	0	0.0						0	0.0
-133	2020-03-08	6	0	2	0	0	0	0	0.0						0	0.0
-132	2020-03-09	19	0	13	0	0	0	0	0.0						0	0.0
-131	2020-03-10	27	0	8	0	0	0	0	0.0						0	0.0
-130	2020-03-11	34	1	7	1	0	0	0	0.004						0	0.0
-129	2020-03-12	34	1	0	0	0	0	0	0.0						0	0.0
-128	2020-03-13	69	4	35	3	0	0	0	0.011					0	0	0.01
-127	2020-03-14	96	5	27	1	0	0	0	0.004					1	0	0.02
-126	2020-03-15	117	5	21	0	0	0	0	0.0					2	0	0.02
-125	2020-03-16	134	5	17	0	0	0	0	0.0					3	0	0.02
-124	2020-03-17	172	5	38	0	0	0	0	0.0					4	0	0.02
-123	2020-03-18	227	19	55	14	0	0	0	0.052					5	0	0.07
-122	2020-03-19	311	25	84	6	1	0	0	0.022					6	1	0.09
-121	2020-03-20	369	32	58	7	1	0	0	0.026					7	1	0.1
-120	2020-03-21	450	38	81	6	1	0	0	0.022					8	1	0.12
-119	2020-03-22	514	48	64	10	1	0	0	0.037					9	1	0.16
-118	2020-03-23	579	49	65	1	2	0	0	0.004					10	1	0.16
-117	2020-03-24	686	55	107	6	2	0	0	0.022					11	1	0.19
-116	2020-03-25	790	58	104	3	2	0	0	0.011					12	2	0.15
-115	2020-03-26	893	78	103	20	3	0	0	0.075					13	2	0.2
-114	2020-03-27	1046	87	153	9	3	0	0	0.034					14	2	0.21
-113	2020-03-28	1155	102	109	15	4	0	0	0.056					15	2	0.24
-112	2020-03-29	1285	114	130	12	4	0	0	0.045					16	2	0.25
-111	2020-03-30	1414	122	129	8	5	0	0	0.03					17	3	0.27
-110	2020-03-31	1528	136	114	14	5	0	0	0.052					18	3	0.3
-109	2020-04-01	1677	157	149	21	6	0	0	0.078					19	3	0.37
-108	2020-04-02	1790	170	113	13	6	0	0	0.049					20	3	0.34
-107	2020-04-03	1986	181	196	11	7	0	0	0.041					21	3	0.35
-106	2020-04-04	2092	191	106	10	7	0	0	0.037					22	3	0.33
-105	2020-04-05	2273	198	181	7	8	0	0	0.026					23	3	0.31
-104	2020-04-06	2491	209	218	11	9	0	0	0.041					24	4	0.33
-103	2020-04-07	2738	221	247	12	10	0	0	0.045					25	4	0.32
-102	2020-04-08	2956	240	218	19	11	0	0	0.071					26	4	0.31
-101	2020-04-09	3293	280	337	40	12	1	1	0.149					27	5	0.41
-100	2020-04-10	3512	306	219	26	13	1	0	0.097					28	5	0.47
-99	2020-04-11	3842	327	330	21	14	1	1	0.078					29	6	0.51
-98	2020-04-12	4241	373	399	46	15	1	1	0.172					30	7	0.65
-97	2020-04-13	4557	399	316	26	17	1	1	0.097					31	7	0.71
-96	2020-04-14	4839	459	282	60	18	1	1	0.224					32	7	0.89
-95	2020-04-15	5136	469	297	10	19	1	1	0.037					33	8	0.86
